2020 National Employment Matrix title,Typical education needed for entry,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associates degree,Bachelors degree,Masters degree,Doctoral or professional degree
Computer and information research scientists,Masters degree,0.0,0.7,5.0,2.2,34.8,36.6,20.8
Computer network support specialists(1),Associates degree,0.9,10.4,24.5,15.5,37.1,10.4,1.2
Computer user support specialists(1),"Some college, no degree",0.9,10.4,24.5,15.5,37.1,10.4,1.2
Computer network architects,Bachelors degree,0.8,6.5,21.2,16.2,39.7,14.0,1.5
Network and computer systems administrators,Bachelors degree,0.7,6.2,22.0,16.5,41.2,12.1,1.3
Database administrators and architects(1),Bachelors degree,0.5,5.9,12.0,7.3,45.4,26.3,2.6
Computer programmers,Bachelors degree,1.0,4.9,12.2,8.0,50.2,21.1,2.5
Software developers and software quality assurance analysts and testers(1),Bachelors degree,0.4,2.0,7.4,4.2,51.0,30.8,4.3
Web developers and digital interface designers(1),Bachelors degree,0.7,5.0,14.9,9.7,54.3,14.2,1.1
"Computer occupations, all other(1)",Bachelors degree,1.0,7.7,16.7,9.9,43.1,19.6,1.9
Actuaries,Bachelors degree,0.0,0.0,2.0,0.4,62.2,23.8,11.7
Mathematicians(1),Masters degree,0.4,2.8,6.9,3.8,37.2,35.4,13.5
Operations research analysts,Bachelors degree,0.9,5.7,13.0,6.7,40.0,28.9,4.8
Statisticians(1),Masters degree,0.4,2.8,6.9,3.8,37.2,35.4,13.5
"Data scientists and mathematical science occupations, all other(1)",Bachelors degree,0.4,2.8,6.9,3.8,37.2,35.4,13.5
"Architects, except landscape and naval",Bachelors degree,0.3,1.4,4.0,2.8,45.0,37.7,8.8
Landscape architects,Bachelors degree,1.4,4.6,6.8,5.1,56.4,22.2,3.4
Cartographers and photogrammetrists(1),Bachelors degree,0.1,3.4,11.0,12.4,60.0,9.9,3.2
Surveyors(1),Bachelors degree,0.1,3.4,11.0,12.4,60.0,9.9,3.2
Aerospace engineers,Bachelors degree,0.4,1.7,5.2,3.7,49.7,32.6,6.7
Agricultural engineers(1),Bachelors degree,0.3,7.0,4.2,8.1,42.3,26.6,11.6
Bioengineers and biomedical engineers(1),Bachelors degree,0.3,7.0,4.2,8.1,42.3,26.6,11.6
Chemical engineers,Bachelors degree,0.9,3.0,5.0,3.8,58.4,21.7,7.1
Civil engineers,Bachelors degree,0.5,2.6,4.9,4.2,57.7,25.6,4.4
Computer hardware engineers,Bachelors degree,0.1,4.8,8.1,8.7,46.1,26.3,5.9
Electrical engineers(1),Bachelors degree,0.2,3.4,6.6,6.7,50.4,26.4,6.2
"Electronics engineers, except computer(1)",Bachelors degree,0.2,3.4,6.6,6.7,50.4,26.4,6.2
Environmental engineers,Bachelors degree,0.7,3.4,2.6,2.1,48.9,36.6,5.7
"Health and safety engineers, except mining safety engineers and inspectors(1)",Bachelors degree,0.9,6.4,10.5,7.8,51.9,19.7,2.8
Industrial engineers(1),Bachelors degree,0.9,6.4,10.5,7.8,51.9,19.7,2.8
Marine engineers and naval architects,Bachelors degree,2.9,10.1,9.7,3.8,53.7,18.8,0.9
Materials engineers,Bachelors degree,0.6,4.4,9.9,9.2,50.6,19.0,6.4
Mechanical engineers,Bachelors degree,0.8,4.0,6.8,8.9,54.3,21.7,3.6
"Mining and geological engineers, including mining safety engineers(1)",Bachelors degree,1.1,4.2,5.8,3.7,57.2,18.4,9.7
Nuclear engineers(1),Bachelors degree,0.6,3.0,7.1,6.9,49.4,25.7,7.4
Petroleum engineers(1),Bachelors degree,1.1,4.2,5.8,3.7,57.2,18.4,9.7
"Engineers, all other(1)",Bachelors degree,0.6,3.0,7.1,6.9,49.4,25.7,7.4
Architectural and civil drafters,Associates degree,1.7,11.1,20.7,31.9,28.2,5.6,0.7
Electrical and electronics drafters(1),Associates degree,1.5,10.7,23.6,33.0,24.1,5.5,1.7
Mechanical drafters(1),Associates degree,1.5,10.7,23.6,33.0,24.1,5.5,1.7
"Drafters, all other(1)",Associates degree,1.5,10.7,23.6,33.0,24.1,5.5,1.7
Aerospace engineering and operations technologists and technicians(1),Associates degree,4.1,24.3,30.7,20.1,17.2,2.9,0.8
Civil engineering technologists and technicians(1),Associates degree,4.1,24.3,30.7,20.1,17.2,2.9,0.8
Electrical and electronic engineering technologists and technicians,Associates degree,2.5,17.9,33.1,29.9,14.0,2.3,0.3
Electro-mechanical and mechatronics technologists and technicians(1),Associates degree,4.1,24.3,30.7,20.1,17.2,2.9,0.8
Environmental engineering technologists and technicians(1),Associates degree,4.1,24.3,30.7,20.1,17.2,2.9,0.8
Industrial engineering technologists and technicians(1),Associates degree,4.1,24.3,30.7,20.1,17.2,2.9,0.8
Mechanical engineering technologists and technicians(1),Associates degree,4.1,24.3,30.7,20.1,17.2,2.9,0.8
Surveying and mapping technicians,High school diploma or equivalent,4.6,29.8,33.4,22.4,8.1,1.2,0.5
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other(1)",Associates degree,4.1,24.3,30.7,20.1,17.2,2.9,0.8
Animal scientists(1),Bachelors degree,0.0,0.0,0.0,0.0,60.4,26.8,12.8
Food scientists and technologists(1),Bachelors degree,0.0,0.0,0.0,0.0,60.4,26.8,12.8
Soil and plant scientists(1),Bachelors degree,0.0,0.0,0.0,0.0,60.4,26.8,12.8
Biochemists and biophysicists(1),Doctoral or professional degree,0.0,0.0,0.0,0.0,46.4,30.8,22.8
Microbiologists(1),Bachelors degree,0.0,0.0,0.0,0.0,46.4,30.8,22.8
Zoologists and wildlife biologists(1),Bachelors degree,0.0,0.0,0.0,0.0,46.4,30.8,22.8
"Biological scientists, all other(1)",Bachelors degree,0.0,0.0,0.0,0.0,46.4,30.8,22.8
Conservation scientists(1),Bachelors degree,0.0,0.0,0.0,0.0,76.2,18.7,5.1
Foresters(1),Bachelors degree,0.0,0.0,0.0,0.0,76.2,18.7,5.1
Epidemiologists(1),Masters degree,0.8,0.4,0.6,0.5,23.2,25.3,49.2
