School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate,region_name
George C Wallace State Community College-Selma,0.1644,0.7805,0.0058,0.0155,0.0,0.0,0.0174,0.001,0.0155,0.3588,0.6412,2,1,0.1936,,,,,5,3925.0,,5915.0,0.5182,0.0,,495.0,2500.0,,36066.0,0.5845,Southeast
Herzing University-Birmingham,0.3168,0.6,0.0212,0.0035,0.0053,0.0053,0.0319,0.0,0.0159,0.2124,0.7876,4,2,0.7513,0.7826,,,,5,,26680.0,6076.0,0.5862,0.7739,15.0,6.0,,2.0,27754.0,0.5845,Southeast
Huntingdon College,0.6832,0.1897,0.0497,0.006999999999999999,0.006999999999999999,0.0,0.0427,0.0,0.0209,0.4876,0.5124,3,2,0.1419,0.5929,563.0,545.0,1076.0,5,,21486.0,6678.0,0.46399999999999997,0.7225,,1.0,300.0,1.0,47975.5,0.5845,Southeast
Heritage Christian University,0.8136,0.0508,0.0678,0.0169,0.0,0.0,0.0339,0.0169,0.0,0.9661,0.0339,4,2,0.6102,0.2353,,,,5,,9990.0,4774.0,1.0,0.0392,27.0,,1000.0,1.0,47975.5,0.5845,Southeast
J. F. Drake State Community and Technical College,0.2912,0.5516,0.0447,0.0077,0.0077,0.0015,0.0709,0.02,0.0046,0.4499,0.5501,2,1,0.4563,,,,,5,3589.0,,6418.0,0.4516,0.0,,140.0,2000.0,,27754.0,0.5845,Southeast
J F Ingram State Technical College,0.4227,0.5567,0.0082,0.0021,0.0103,0.0,0.0,0.0,0.0,0.7485,0.2515,1,1,0.8433,,,,,5,3008.0,,3205.0,0.9861,0.0,,,612.0,,27754.0,0.5845,Southeast
Jacksonville State University,0.6966,0.2047,0.0059,0.0068,0.0034,0.0004,0.0,0.0187,0.0635,0.4053,0.5947,4,1,0.1376,0.5479,535.0,510.0,1084.0,5,15559.0,,7269.0,0.6903,0.61,1272.0,1006.0,1204.0,1.0,47975.5,0.5845,Southeast
Jefferson State Community College,0.5858,0.2257,0.0643,0.0151,0.0024,0.0002,0.0327,0.0235,0.0502,0.3743,0.6257,2,1,0.2568,,,,,5,9018.0,,6763.0,0.3255,0.2002,,2163.0,2162.0,,36066.0,0.5845,Southeast
John C Calhoun State Community College,0.6219,0.1689,0.0705,0.0228,0.0122,0.0012,0.0615,0.011000000000000001,0.0302,0.462,0.5379999999999999,2,1,0.2911,,,,,5,5722.0,,6708.0,0.3319,0.2035,,1587.0,2500.0,,27754.0,0.5845,Southeast
Lawson State Community College,0.1398,0.8031,0.0282,0.0039,0.0026,0.0007,0.0138,0.0039,0.0039,0.381,0.619,2,1,0.2785,,,,,5,8039.0,,6691.0,0.4417,0.0,,328.0,2300.0,,27754.0,0.5845,Southeast
University of West Alabama,0.4528,0.4076,0.0157,0.0031,0.0049,0.0004,0.0228,0.0403,0.0523,0.3946,0.6054,4,1,0.2675,0.3493,480.0,460.0,1041.0,5,15514.0,,6481.0,0.4659,0.6007,3414.0,4.0,1200.0,1.0,47975.5,0.5845,Southeast
Lurleen B Wallace Community College,0.6836,0.2508,0.0216,0.0033,0.005,0.0,0.0316,0.0008,0.0033,0.3522,0.6478,2,1,0.1534,,,,,5,8165.0,,6175.0,0.6216,0.0,,563.0,1192.0,,36066.0,0.5845,Southeast
Marion Military Institute,0.633,0.2044,0.0739,0.032,0.0099,0.0074,0.0394,0.0,0.0,0.7291,0.2709,2,1,0.0024,0.5761,605.0,595.0,1147.0,5,10924.0,,6488.0,0.8077,0.4365,,3.0,1800.0,1.0,36066.0,0.5845,Southeast
Miles College,0.0372,0.9311,0.0103,0.0007,0.0007,0.0,0.0165,0.0,0.0034,0.5021,0.4979,3,2,0.1298,,,,,5,,14303.0,4903.0,0.6471,0.9129,,4.0,250.0,,47975.5,0.5845,Southeast
University of Mobile,0.6753,0.1644,0.0126,0.0193,0.0193,0.0042,0.0252,0.0352,0.0445,0.3532,0.6468,4,2,0.1023,0.4566,565.0,520.0,1166.0,5,,17122.0,5192.0,1.0,0.5304,220.0,577.0,1800.0,1.0,47975.5,0.5845,Southeast
University of Montevallo,0.6845,0.1627,0.0518,0.0086,0.0027,0.0018,0.0409,0.0295,0.0173,0.3473,0.6527,4,1,0.07200000000000001,0.532,570.0,565.0,1135.0,5,16435.0,,7756.0,0.7034,0.5322,317.0,36.0,1020.0,1.0,47975.5,0.5845,Southeast
Northwest-Shoals Community College,0.7107,0.12300000000000001,0.0713,0.0059,0.0071,0.0004,0.0556,0.0106,0.0154,0.3524,0.6476,2,1,0.1814,,,,,5,7634.0,,6215.0,0.4894,0.1837,,975.0,2000.0,,27754.0,0.5845,Southeast
University of North Alabama,0.7422,0.1324,0.0327,0.0078,0.006,0.0007,0.031,0.0414,0.0058,0.3873,0.6127,4,1,0.1397,0.8878,565.0,533.0,1148.0,5,14130.0,,8336.0,1.0,0.5061,1652.0,537.0,1500.0,1.0,47975.5,0.5845,Southeast
Northeast Alabama Community College,0.8035,0.0213,0.121,0.0051,0.0248,0.0015,0.0223,0.0005,0.0,0.3727,0.6273,2,1,0.1852,,,,,5,3314.0,,6627.0,0.3224,0.0985,,1006.0,2400.0,,27754.0,0.5845,Southeast
Oakwood University,0.0035,0.8044,0.0513,0.0035,0.0236,0.0,0.0,0.0742,0.0395,0.4209,0.5791,4,2,0.1102,0.6473,514.0,467.0,1010.0,5,,24274.0,5218.0,0.7787,0.6806,65.0,19.0,1500.0,1.0,47975.5,0.5845,Southeast
Reid State Technical College,0.3211,0.6575,0.0061,0.0,0.0061,0.0,0.0092,0.0,0.0,0.2966,0.7034,2,1,0.3742,,,,,5,2899.0,,6698.0,0.38299999999999995,0.0,,162.0,1125.0,,27754.0,0.5845,Southeast
Bishop State Community College,0.2376,0.6748,0.026000000000000002,0.0173,0.0074,0.0009,0.0186,0.0143,0.003,0.3703,0.6297,2,1,0.2952,,,,,5,4976.0,,6561.0,0.5344,0.0,,540.0,1500.0,,27754.0,0.5845,Southeast
Samford University,0.8502,0.0667,0.0326,0.0103,0.002,0.0003,0.0232,0.0117,0.0031,0.3336,0.6664,4,2,0.0248,0.8331,595.0,565.0,1223.0,5,,29673.0,9079.0,0.9826,0.3211,2101.0,6.0,1000.0,5.0,47975.5,0.5845,Southeast
Selma University,0.0161,0.9742,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.4323,0.5677,4,2,0.5613,,,,,5,,9229.0,2702.0,1.0,0.9598,13.0,,0.0,,47975.5,0.5845,Southeast
Shelton State Community College,0.5354,0.3655,0.0366,0.0062,0.0035,0.0,0.025,0.0054,0.0223,0.4369,0.5631,2,1,0.2035,,,,,5,6217.0,,6798.0,0.4579,0.0,,486.0,2000.0,,36066.0,0.5845,Southeast
Snead State Community College,0.647,0.0802,0.1754,0.0069,0.0097,0.0011,0.0372,0.0011,0.0413,0.3943,0.6057,2,1,0.1998,,,,,5,4945.0,,7543.0,0.2617,0.1991,,492.0,2250.0,,36066.0,0.5845,Southeast
University of South Alabama,0.6109,0.2213,0.0413,0.0317,0.0066,0.0011,0.0392,0.021,0.027000000000000003,0.4029,0.5971,4,1,0.1379,0.7869,570.0,555.0,1166.0,5,15501.0,,7251.0,0.6219,0.5706,4796.0,221.0,1300.0,1.0,47975.5,0.5845,Southeast
Spring Hill College,0.6791,0.141,0.0363,0.013000000000000001,0.0026,0.0026,0.0285,0.045,0.0519,0.3763,0.6237,4,2,0.0259,0.4978,560.0,553.0,1131.0,5,,22221.0,6627.0,0.696,0.7823,130.0,4.0,1500.0,5.0,47975.5,0.5845,Southeast
Stillman College,0.0422,0.8578,0.0,0.0012,0.0024,0.0024,0.0,0.0,0.094,0.4843,0.5157,3,2,0.1452,0.3296,,,,5,,18352.0,4845.0,0.7193,0.7829,,31.0,2034.0,2.0,47975.5,0.5845,Southeast
Talladega College,0.024,0.8837,0.0359,0.0,0.0017,0.0017,0.0214,0.0282,0.0034,0.4636,0.5364,3,2,0.1016,,,,,5,,15661.0,5889.0,0.5059,0.7548,9.0,61.0,1570.0,,47975.5,0.5845,Southeast
H Councill Trenholm State Community College,0.2487,0.7019,0.0299,0.0103,0.0046,0.0017,0.0017,0.0,0.0011,0.4199,0.5801,2,1,0.3168,,,,,5,6723.0,,6421.0,0.4853,0.0,,301.0,1800.0,,27754.0,0.5845,Southeast
Troy University,0.526,0.3086,0.0398,0.0076,0.0035,0.0011,0.0339,0.0471,0.0324,0.3725,0.6275,4,1,0.2847,0.8757,510.0,500.0,1079.0,5,14285.0,,6657.0,0.4748,0.6328,3441.0,400.0,1300.0,1.0,47975.5,0.5845,Southeast
Tuskegee University,0.0042,0.8885,0.0121,0.0079,0.0038,0.005,0.0167,0.0,0.0618,0.3622,0.6378,4,2,0.033,0.5173,509.0,480.0,1029.0,5,,34575.0,7224.0,0.8736,0.3614,482.0,,1812.0,1.0,47975.5,0.5845,Southeast
United States Sports Academy,0.6161,0.1611,0.109,0.0095,0.0,0.0,0.0616,0.0142,0.0284,0.8104,0.1896,4,2,0.7931,,,,,5,,,5450.0,0.44,0.1213,267.0,21.0,,,47975.5,0.5845,Southeast
Bevill State Community College,0.7981,0.154,0.0219,0.003,0.0011,0.0004,0.0145,0.0,0.0071,0.3866,0.6134,2,1,0.2173,,,,,5,8090.0,,6749.0,0.3066,0.0,,1092.0,1400.0,,27754.0,0.5845,Southeast
University of Alaska Anchorage,0.5249,0.0326,0.0945,0.0808,0.0534,0.0334,0.1215,0.0208,0.038,0.4189,0.5811,4,1,0.4101,0.8296,,,,8,12995.0,,9124.0,0.5188,0.2131,663.0,2846.0,1440.0,2.0,47975.5,0.5845,Far West
Alaska Bible College,0.8,0.0333,0.0333,0.0333,0.0333,0.0,0.0667,0.0,0.0,0.7,0.3,3,2,0.25,,,,,8,,18217.0,2500.0,,0.2128,,10.0,600.0,,47975.5,0.5845,Far West
University of Alaska Fairbanks,0.4993,0.0361,0.0864,0.0188,0.1308,0.0082,0.1059,0.0129,0.1016,0.4224,0.5776,4,1,0.4797,0.7599,585.0,570.0,1121.0,8,10333.0,,9658.0,0.6068,0.2145,973.0,1796.0,2000.0,1.0,47975.5,0.5845,Far West
University of Alaska Southeast,0.5519,0.0078,0.0874,0.0234,0.1029,0.0329,0.1073,0.0043,0.0822,0.3227,0.6773,4,1,0.5467,0.6057,,,,8,11787.0,,8374.0,0.5625,0.1806,264.0,730.0,1400.0,2.0,27754.0,0.5845,Far West
Alaska Pacific University,0.3711,0.0314,0.0755,0.022000000000000002,0.2484,0.0157,0.1226,0.0,0.1132,0.28300000000000003,0.7170000000000001,4,2,0.4629,0.8924,,,,8,,18602.0,5769.0,0.4419,0.4751,192.0,19.0,1200.0,3.0,47975.5,0.5845,Far West
Alaska Vocational Technical Center,0.3994,0.0095,0.0317,0.0158,0.1363,0.0016,0.0792,0.0,0.3265,0.8336,0.1664,1,1,0.7211,,,,,8,8869.0,,,,0.1895,,,,,27754.0,0.5845,Far West
Charter College,0.3557,0.0578,0.2146,0.0024,0.0719,0.053,0.1536,0.0,0.0909,0.2583,0.7417,3,3,0.5901,,,,,8,,29523.0,4569.0,0.3439,0.6968,,,0.0,,27754.0,0.5845,Far West
Alaska Career College,0.3629,0.1053,0.0803,0.1967,0.1551,0.0249,0.0637,0.0,0.0111,0.14400000000000002,0.856,2,3,0.5291,,,,,8,,16278.0,3591.0,0.2188,0.7091,,,,,27754.0,0.5845,Far West
Empire Beauty School-Tucson,0.3208,0.0849,0.4811,0.0283,0.0472,0.0,0.0,0.0,0.0377,0.0472,0.9528,1,3,0.4151,,,,,6,,14496.0,,,0.513,,,,,27754.0,0.5845,Southwest
Carrington College-Phoenix North,0.2816,0.0742,0.4939,0.0286,0.059000000000000004,0.0049,0.0298,0.0061,0.0219,0.1478,0.8522,2,3,0.4915,,,,,6,,22966.0,6222.0,0.3485,0.536,,,,,27754.0,0.5845,Southwest
Arizona Academy of Beauty-East,0.3,0.15,0.375,0.05,0.05,0.0,0.075,0.0,0.0,0.025,0.975,1,3,0.625,,,,,6,,10676.0,,,0.5119,,,,,27754.0,0.5845,Southwest
Platt College-Arizona Automotive Institute Arizona,0.3633,0.1102,0.3469,0.0122,0.102,0.0163,0.0367,0.0,0.0122,0.9204,0.0796,1,3,0.6143,,,,,6,,30504.0,,,0.5947,,,,,27754.0,0.5845,Southwest
Brookline College-Phoenix,0.4301,0.1872,0.1434,0.048,0.0703,0.0049,0.032,0.0,0.0842,0.1663,0.8337,4,3,0.7314,,,,,6,,32801.0,5567.0,1.0,0.6989,14.0,,,,27754.0,0.5845,Southwest
Arizona State University Campus Immersion,0.4927,0.0383,0.2266,0.0853,0.0112,0.0017,0.0477,0.0884,0.0082,0.5525,0.4475,4,1,0.0877,0.8647,615.0,625.0,1230.0,6,11706.0,,11736.0,0.7887,0.3392,8825.0,423.0,1171.0,1.0,47975.5,0.5845,Southwest
Arizona Western College,0.1418,0.0131,0.7606,0.0086,0.0095,0.0023,0.0155,0.0125,0.036000000000000004,0.4053,0.5947,2,1,0.2392,,,,,6,10165.0,,6401.0,0.2985,0.0164,,644.0,2000.0,,27754.0,0.5845,Southwest
University of Arizona,0.4977,0.0386,0.2709,0.0532,0.0117,0.0023,0.0499,0.0624,0.0133,0.4644,0.5356,4,1,0.1113,0.8459,615.0,620.0,1228.0,6,15016.0,,11256.0,0.7567,0.3558,10061.0,801.0,800.0,5.0,47975.5,0.5845,Southwest
Central Arizona College,0.382,0.0563,0.3701,0.017,0.0454,0.0038,0.0394,0.0142,0.0718,0.3869,0.6131,2,1,0.3603,,,,,6,6260.0,,6629.0,1.0,0.0886,,16.0,1600.0,,27754.0,0.5845,Southwest
Charles of Italy Beauty College,0.5,0.0517,0.2759,0.0345,0.0172,0.0,0.0172,0.0,0.1034,0.0172,0.9828,1,3,0.431,,,,,6,,8348.0,,,0.6761,,,,,27754.0,0.5845,Southwest
Cochise County Community College District,0.4018,0.0493,0.4505,0.0162,0.0062,0.005,0.0496,0.0127,0.0086,0.452,0.5479999999999999,2,1,0.4248,,,,,6,6228.0,,6365.0,0.4275,0.0632,,285.0,1800.0,,36066.0,0.5845,Southwest
Empire Beauty School-Chandler,0.2712,0.2542,0.2203,0.0169,0.0678,0.0,0.0678,0.0,0.1017,0.0847,0.9153,1,3,0.5254,,,,,6,,14866.0,,,0.5347,,,,,27754.0,0.5845,Southwest
Avalon School of Cosmetology-Mesa,0.4401,0.0563,0.3803,0.0282,0.0387,0.0,0.0423,0.0,0.0141,0.0317,0.9683,1,3,0.3486,,,,,6,,15914.0,,,0.6306,,,,,27754.0,0.5845,Southwest
Eastern Arizona College,0.6051,0.0304,0.22399999999999998,0.0073,0.062,0.005,0.0241,0.0075,0.0345,0.4632,0.5368,2,1,0.5673,,,,,6,6195.0,,7736.0,0.28,0.0,,1385.0,992.0,,27754.0,0.5845,Southwest
Embry-Riddle Aeronautical University-Prescott,0.6222,0.0149,0.1359,0.0565,0.0045,0.0059,0.0624,0.069,0.0288,0.7362,0.2638,4,2,0.0722,0.657,,,,6,,35396.0,9256.0,0.722,0.4376,52.0,9.0,1400.0,5.0,47975.5,0.5845,Southwest
The School of Architecture,,,,,,,,,,,,4,2,,,,,,6,,,3958.0,,,23.0,,,,,0.5845,Southwest
Glendale Community College,0.4801,0.0227,0.3097,0.0783,0.0007,0.0007,0.026000000000000002,0.0418,0.04,0.4508,0.5492,2,1,0.3953,,,,,8,2416.0,,9500.0,0.3246,0.0198,,1280.0,1972.0,,36066.0,0.5845,Far West
Grand Canyon University,0.4791,0.1604,0.2165,0.0313,0.0095,0.0064,0.0417,0.0103,0.0449,0.2879,0.7121,4,3,0.569,0.7694,,,,6,,21020.0,6749.0,0.0812,0.5847,37214.0,1368.0,800.0,2.0,47975.5,0.5845,Southwest
Gateway Community and Technical College,0.8171,0.0719,0.052000000000000005,0.0108,0.0013,0.001,0.0398,0.0003,0.0057,0.4448,0.5552,2,1,0.3496,,,,,5,6231.0,,5407.0,0.8764,0.2127,,1800.0,1000.0,,27754.0,0.5845,Southeast
Mesa Community College,0.4439,0.061,0.3199,0.0409,0.0367,0.0031,0.043,0.0197,0.0318,0.4663,0.5337,2,1,0.3347,,,,,6,9669.0,,9418.0,1.0,0.1161,,4341.0,1464.0,,27754.0,0.5845,Southwest
Mohave Community College,0.6572,0.0121,0.2368,0.017,0.0177,0.0048,0.0388,0.0055,0.01,0.3102,0.6898,2,1,0.4292,,,,,6,8986.0,,6551.0,0.2971,0.1078,,1460.0,810.0,,27754.0,0.5845,Southwest
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,0.6821,0.0333,0.1095,0.006,0.0262,0.0083,0.1024,0.0024,0.0298,0.95,0.05,1,3,0.5333,,,,,6,,17837.0,,,0.5342,,,,,27754.0,0.5845,Southwest
Dine College,0.0029,0.0,0.0015,0.0015,0.9891,0.0,0.0,0.0051,0.0,0.3043,0.6957,3,1,0.4593,,,,,6,11050.0,,5957.0,0.6154,0.0,,86.0,1400.0,,36066.0,0.5845,Southwest
Northern Arizona University,0.5485,0.0319,0.2532,0.0217,0.0264,0.0029,0.0572,0.0411,0.0171,0.38,0.62,4,1,0.1735,0.8489,,,,6,12915.0,,8431.0,0.6629999999999999,0.424,4222.0,376.0,1000.0,2.0,47975.5,0.5845,Southwest
Northland Pioneer College,0.441,0.0047,0.1149,0.0078,0.382,0.0023,0.0155,0.0,0.0318,0.3439,0.6561,2,1,0.3218,,,,,6,8749.0,,5583.0,0.5149,0.0,,1720.0,1400.0,,27754.0,0.5845,Southwest
Ottawa University-Phoenix,0.5405,0.1018,0.2715,0.0183,0.0209,0.0,0.0052,0.0,0.0418,0.2559,0.7441,4,2,0.8256,,,,,6,,,6603.0,0.7143,0.6657,633.0,7.0,,,47975.5,0.5845,Southwest
Pima Community College,0.3597,0.0461,0.49200000000000005,0.0272,0.0223,0.0048,0.0171,0.0013,0.0295,0.4275,0.5725,2,1,0.3851,,,,,6,3583.0,,5425.0,0.257,0.1164,,2371.0,1920.0,,27754.0,0.5845,Southwest
Pima Medical Institute-Tucson,0.3698,0.0653,0.4096,0.0414,0.0166,0.0041,0.087,0.0,0.0062,0.1932,0.8068,3,3,0.6774,,,,,6,,,5896.0,0.5914,0.3641,,,,,27754.0,0.5845,Southwest
Prescott College,0.6903,0.027999999999999997,0.0473,0.0129,0.0237,0.0043,0.071,0.0043,0.1183,0.3312,0.6688,4,2,0.2903,0.9741,,,,6,,18798.0,5095.0,0.3696,0.5351,490.0,38.0,982.0,5.0,47975.5,0.5845,Southwest
Refrigeration School Inc,0.3743,0.0952,0.3045,0.0111,0.1307,0.0089,0.0543,0.0011,0.0199,0.938,0.062,2,3,0.6545,,,,,6,,21695.0,4308.0,0.8571,0.7152,,,,,27754.0,0.5845,Southwest
Rio Salado College,0.4865,0.1083,0.281,0.0252,0.0189,0.0024,0.0475,0.0014,0.0288,0.3182,0.6818,2,1,0.3735,,,,,6,9320.0,,7739.0,1.0,0.08199999999999999,,13274.0,1464.0,,27754.0,0.5845,Southwest
Roberto-Venn School of Luthiery,0.8421,0.0,0.0526,0.1053,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,3,0.5263,,,,,6,,22849.0,,,0.4706,,,,,27754.0,0.5845,Southwest
Scottsdale Community College,0.5454,0.0424,0.2347,0.0306,0.0559,0.0032,0.0408,0.0105,0.0366,0.4492,0.5508,2,1,0.3421,,,,,6,10397.0,,9249.0,1.0,0.0865,,2914.0,1464.0,,36066.0,0.5845,Southwest
South Mountain Community College,0.1225,0.1761,0.5843,0.0215,0.0311,0.0016,0.0311,0.0029,0.0289,0.4208,0.5792,2,1,0.2719,,,,,6,8566.0,,9280.0,1.0,0.1043,,1203.0,1464.0,,36066.0,0.5845,Southwest
Arizona Christian University,0.4558,0.1494,0.2391,0.0137,0.0075,0.0025,0.0535,0.0448,0.0336,0.6376,0.3624,3,2,0.0931,0.6793,500.0,485.0,982.0,6,,21374.0,5377.0,0.18600000000000003,0.5696,,67.0,1400.0,1.0,47975.5,0.5845,Southwest
Yavapai College,0.5688,0.0114,0.1961,0.0105,0.0223,0.0036,0.0253,0.0018,0.1601,0.3995,0.6005,2,1,0.4474,,,,,6,6965.0,,7401.0,0.3495,0.0745,,3038.0,1600.0,,27754.0,0.5845,Southwest
University of Arkansas at Little Rock,0.4864,0.2719,0.0439,0.022000000000000002,0.0037,0.0,0.1322,0.0369,0.0029,0.3686,0.6314,4,1,0.3598,0.6582,,,1120.0,5,14906.0,,6908.0,0.9704,0.4329,2461.0,1220.0,1500.0,1.0,47975.5,0.5845,Southeast
University of Arkansas for Medical Sciences,0.6903,0.1032,0.0724,0.0308,0.0062,0.0031,0.0262,0.0123,0.0555,0.1664,0.8336,4,1,0.467,,,,,5,,,9354.0,0.8471,0.6007,2102.0,17.0,,,47975.5,0.5845,Southeast
Arkansas Baptist College,0.1394,0.7853,0.0151,0.0019,0.0056,0.0,0.0038,0.0056,0.0433,0.7721,0.2279,3,2,0.1996,,,,,5,,19029.0,4367.0,0.3953,0.8362,,,1000.0,,47975.5,0.5845,Southeast
Arkansas Beauty School-Little Rock,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.875,1,3,0.25,,,,,5,,19639.0,,,0.2585,,,,,27754.0,0.5845,Southeast
Arkansas Beauty College,0.8333,0.0556,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3,0.5,,,,,5,,10004.0,,,0.6207,,,,,27754.0,0.5845,Southeast
Lyon College,0.5462,0.0938,0.0631,0.0462,0.0277,0.0,0.0,0.0138,0.2092,0.5631,0.4369,3,2,0.0242,0.444,570.0,550.0,1165.0,5,,15447.0,6577.0,1.0,0.6122,,12.0,1500.0,1.0,47975.5,0.5845,Southeast
Arkansas College of Barbering and Hair Design,0.0488,0.9268,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.8171,0.1829,1,3,0.2439,,,,,5,,,,,0.3048,,,,,27754.0,0.5845,Southeast
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,0.3125,,,,,5,,11431.0,,,0.6038,,,,,27754.0,0.5845,Southeast
Arkansas State University-Newport,0.688,0.1956,0.0503,0.0028,0.0055,0.0,0.0158,0.0014,0.0406,0.3678,0.6322,2,1,0.2891,,,,,5,8337.0,,4876.0,0.4847,0.163,,817.0,548.0,,27754.0,0.5845,Southeast
University of Arkansas at Pine Bluff,0.0287,0.9023,0.0231,0.0039,0.0039,0.0009,0.0197,0.0137,0.0039,0.4068,0.5932,4,1,0.08900000000000001,0.4394,485.0,485.0,978.0,5,12320.0,,5807.0,0.8133,0.6688,116.0,49.0,1000.0,1.0,47975.5,0.5845,Southeast
Arkansas State University-Beebe,0.8166,0.0739,0.052000000000000005,0.008,0.008,0.0021,0.0262,0.0013,0.0118,0.3621,0.6379,2,1,0.2186,,,,,5,8899.0,,5053.0,0.5492,0.1413,,950.0,1000.0,,27754.0,0.5845,Southeast
Arkansas Tech University,0.7438,0.0786,0.0787,0.0134,0.0059,0.0011,0.0454,0.0332,0.0,0.4528,0.5472,4,1,0.1396,0.9474,,,,5,10772.0,,6868.0,0.9946,0.3628,814.0,3085.0,1240.0,2.0,47975.5,0.5845,Southeast
University of Arkansas at Monticello,0.5991,0.2832,0.0336,0.0028,0.0014,0.0,0.0704,0.0076,0.0019,0.4303,0.5697,4,1,0.1743,,,,,5,12136.0,,5765.0,1.0,0.4569,331.0,409.0,1200.0,,27754.0,0.5845,Southeast
Baptist Health College Little Rock,0.6672,0.2597,0.0406,0.0114,0.0016,0.0016,0.0097,0.0016,0.0065,0.1201,0.8799,2,2,0.3831,1.0,,,1085.0,5,,23568.0,6220.0,0.6883,0.841,,,2525.0,1.0,36066.0,0.5845,Southeast
Black River Technical College,0.9212,0.0268,0.0251,0.0043,0.0035,0.0026,0.0165,0.0,0.0,0.3385,0.6615,2,1,0.3553,,,,,5,7690.0,,4233.0,0.5517,0.1909,,317.0,2565.0,,27754.0,0.5845,Southeast
University of Central Arkansas,0.6645,0.162,0.0582,0.0224,0.0057,0.0007,0.0427,0.0417,0.0021,0.391,0.609,4,1,0.0977,0.9042,535.0,525.0,1187.0,5,15376.0,,7121.0,0.7652,0.4714,1735.0,577.0,1200.0,1.0,47975.5,0.5845,Southeast
Central Baptist College,0.6867,0.155,0.0567,0.005,0.02,0.0017,0.03,0.0267,0.0183,0.53,0.47,3,2,0.2177,0.4,469.0,492.0,1027.0,5,,16619.0,5304.0,0.2667,0.6011,,66.0,1350.0,1.0,47975.5,0.5845,Southeast
Cossatot Community College of the University of Arkansas,0.5342,0.1307,0.2758,0.0031,0.0082,0.0,0.048,0.0,0.0,0.3146,0.6854,2,1,0.2133,,,,,5,4677.0,,5350.0,0.4937,0.0,,540.0,240.0,,27754.0,0.5845,Southeast
Crowley's Ridge College,0.821,0.1358,0.0123,0.0123,0.0,0.0,0.0,0.0,0.0185,0.5556,0.4444,3,2,0.0374,,,,,5,,13796.0,4005.0,0.9474,0.731,,25.0,600.0,,47975.5,0.5845,Southeast
East Arkansas Community College,0.48100000000000004,0.4684,0.019,0.0076,0.0025,0.0,0.0152,0.0063,0.0,0.3696,0.6304,2,1,0.3681,,,,,5,6290.0,,5211.0,0.5111,0.0521,,560.0,2200.0,,27754.0,0.5845,Southeast
Eastern College of Health Vocations-Little Rock,0.1875,0.7778,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.9444,1,3,0.4514,,,,,5,,12646.0,,,0.8658,,,,,27754.0,0.5845,Southeast
Paul Mitchell the School-Little Rock,0.5933,0.2869,0.0752,0.0056,0.0111,0.0028,0.0056,0.0,0.0195,0.0585,0.9415,1,3,0.3677,,,,,5,,18852.0,,,0.6377,,,,,27754.0,0.5845,Southeast
National Park College,0.7311,0.1342,0.0941,0.0117,0.0147,0.0,0.0,0.0,0.0142,0.3787,0.6213,2,1,0.3447,,,,,5,9424.0,,5268.0,1.0,0.4348,,110.0,1500.0,,27754.0,0.5845,Southeast
University of Arkansas Community College-Batesville,0.8078,0.0326,0.0861,0.0105,0.0042,0.0,0.0588,0.0,0.0,0.313,0.687,2,1,0.257,,,,,5,7236.0,,4078.0,0.2516,0.1478,,507.0,1000.0,,27754.0,0.5845,Southeast
Harding University,0.809,0.0472,0.0384,0.0088,0.0027,0.0016,0.0331,0.0584,0.0008,0.4556,0.5444,4,2,0.0429,0.6134,590.0,575.0,1204.0,5,,19375.0,7375.0,0.7929,0.5137,1100.0,30.0,1200.0,1.0,47975.5,0.5845,Southeast
Henderson State University,0.6405,0.1997,0.059000000000000004,0.0111,0.0037,0.0074,0.06,0.0101,0.0084,0.4293,0.5707,4,1,0.09300000000000001,0.7564,524.0,521.0,1102.0,5,10270.0,,6837.0,0.9955,0.46299999999999997,607.0,465.0,2000.0,1.0,47975.5,0.5845,Southeast
Hendrix College,0.6078,0.0697,0.0661,0.0317,0.0,0.0,0.0335,0.0172,0.1739,0.4783,0.5217,4,2,0.0027,0.6996,635.0,620.0,1324.0,5,,19295.0,7474.0,1.0,0.4825,12.0,5.0,1100.0,5.0,47975.5,0.5845,Southeast
Hot Springs Beauty College,0.7544,0.1053,0.0526,0.0175,0.0175,0.0,0.0526,0.0,0.0,0.0526,0.9474,1,3,0.3684,,,,,5,,9563.0,,,0.6667,,,,,27754.0,0.5845,Southeast
