School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate,region_name
Stylemaster College of Hair Design,0.875,0.0417,0.0625,0.0,0.0,0.0,0.0,0.0208,0.0,0.0208,0.9792,1,3,0.4167,,,,,8,,7012.0,,,0.5143,,,,,27754.0,0.5845,Far West
Tacoma Community College,0.4437,0.0737,0.1063,0.0718,0.006,0.0095,0.0893,0.0379,0.1619,0.3514,0.6486,3,1,0.4238,,,,,8,6504.0,,7798.0,1.0,0.1588,,395.0,900.0,,36066.0,0.5845,Far West
George C Wallace State Community College-Hanceville,0.8038,0.0621,0.0619,0.0235,0.0061,0.0009,0.019,0.0059,0.0169,0.3509,0.6491,2,1,0.2215,,,,,5,7411.0,,6563.0,0.3601,0.2789,,556.0,1600.0,,27754.0,0.5845,Southeast
Western Washington University,0.6994,0.016,0.1023,0.0627,0.0038,0.0019,0.0886,0.0087,0.0167,0.4269,0.5731,4,1,0.0763,0.9038,595.0,575.0,1181.0,8,16529.0,,10148.0,0.6872,0.3802,902.0,142.0,954.0,1.0,47975.5,0.5845,Far West
University of Washington-Seattle Campus,0.3703,0.0301,0.0892,0.2575,0.0041,0.0045,0.0762,0.1539,0.0142,0.4573,0.5427,4,1,0.0706,0.5176,650.0,695.0,1356.0,8,13297.0,,13362.0,0.7969,0.244,15530.0,1207.0,900.0,1.0,47975.5,0.5845,Far West
Wenatchee Valley College,0.4955,0.0077,0.3976,0.0081,0.0167,0.0004,0.0415,0.0024,0.0301,0.3955,0.6045,3,1,0.2849,,,,,8,6342.0,,7138.0,1.0,0.0778,,892.0,900.0,,36066.0,0.5845,Far West
Whatcom Community College,0.6009,0.0182,0.1265,0.0519,0.0089,0.0015,0.0757,0.0623,0.0542,0.4392,0.5608,3,1,0.2726,,,,,8,7683.0,,7365.0,0.3284,0.084,,1456.0,900.0,,36066.0,0.5845,Far West
Whitman College,0.644,0.022000000000000002,0.0828,0.0621,0.0045,0.0052,0.068,0.09,0.0214,0.4304,0.5696,3,2,0.0089,0.5592,670.0,675.0,1365.0,8,,38672.0,8744.0,0.75,0.402,,34.0,1400.0,5.0,47975.5,0.5845,Far West
Whitworth University,0.6484,0.0221,0.1174,0.0479,0.0075,0.0121,0.0957,0.0424,0.0067,0.4124,0.5876,4,2,0.0343,0.9138,590.0,580.0,1183.0,8,,25557.0,7480.0,0.9693,0.5574,397.0,14.0,912.0,5.0,47975.5,0.5845,Far West
Yakima Valley College,0.3265,0.0082,0.5535,0.0098,0.0157,0.0016,0.045,0.0028,0.0368,0.3309,0.6691,3,1,0.3434,,,,,8,8079.0,,7404.0,1.0,0.1461,,1474.0,900.0,,36066.0,0.5845,Far West
Alderson Broaddus University,0.5554,0.3009,0.0743,0.0037,0.0073,0.0024,0.0122,0.0438,0.0,0.5688,0.4312,4,2,0.0598,0.4713,480.0,480.0,975.0,5,,20189.0,5565.0,0.7089,0.823,77.0,15.0,1200.0,1.0,47975.5,0.5845,Southeast
Appalachian Beauty School,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3,0.25,,,,,5,,19482.0,,,0.0,,,,,27754.0,0.5845,Southeast
Appalachian Bible College,0.7302,0.0212,0.0159,0.0212,0.0106,0.0,0.0,0.0476,0.1534,0.5556,0.4444,4,2,0.16,0.3706,540.0,515.0,1061.0,5,,14019.0,2884.0,0.4667,0.2222,2.0,36.0,1110.0,1.0,47975.5,0.5845,Southeast
B M Spurr School of Practical Nursing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.9167,1,2,0.5417,0.3333,,,,5,,8455.0,,,0.0,,,,2.0,27754.0,0.5845,Southeast
