School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
New Mexico Military Institute,0.2872,0.1358,0.282,0.0235,0.0366,0.0522,0.0444,0.1279,0.0104,0.7963,0.2037,,,,,,2,1
University of New Mexico-Gallup Campus,0.0842,0.0049,0.1899,0.022,0.6569,0.0018,0.0208,0.0092,0.0104,0.3541,0.6459,,,,,,2,1
New Mexico Institute of Mining and Technology,0.5157,0.0137,0.3127,0.0435,0.0443,0.0016,0.0346,0.0161,0.0177,0.7051,0.2949,,,,,,4,1
University of New Mexico-Los Alamos Campus,0.2984,0.0247,0.5182,0.0218,0.0859,0.0,0.0262,0.0102,0.0146,0.3843,0.6157,,,,,,2,1
Eastern New Mexico University-Main Campus,0.3952,0.0577,0.4286,0.0094,0.0213,0.0076,0.0279,0.0234,0.0289,0.4001,0.5999,,,,,,4,1
New Mexico State University-Alamogordo,0.4305,0.0412,0.4168,0.0214,0.0321,0.0046,0.0366,0.0046,0.0122,0.3557,0.6443,,,,,,2,1
New Mexico State University-Carlsbad,0.3077,0.0125,0.6118,0.0125,0.0072,0.0,0.0089,0.0215,0.0179,0.2594,0.7406,,,,,,2,1
New Mexico State University-Grants,0.1523,0.0039,0.4063,0.0,0.3945,0.0,0.0117,0.0156,0.0156,0.2891,0.7109,,,,,,2,1
New Mexico State University-Main Campus,0.2486,0.0232,0.6275,0.0125,0.023,0.0016,0.0202,0.0312,0.0123,0.4404,0.5596,,,,,,4,1
University of New Mexico-Valencia County Campus,0.2173,0.0135,0.6463,0.0111,0.0579,0.0032,0.0159,0.0159,0.019,0.3569,0.6431,,,,,,2,1
Northern New Mexico College,0.0917,0.0321,0.6988,0.0143,0.0917,0.0024,0.0488,0.0071,0.0131,0.3512,0.6488,,,,,,3,1
San Juan College,0.378,0.0115,0.1735,0.0094,0.3555,0.0013,0.0202,0.0132,0.0374,0.3114,0.6886,,,,,,2,1
Santa Fe Community College,0.3523,0.0144,0.5146,0.0159,0.0432,0.0007,0.0122,0.0011,0.0457,0.3788,0.6212,,,,,,2,1
University of the Southwest,0.2736,0.1185,0.4711,0.0061,0.0334,0.003,0.0,0.0,0.0942,0.5532,0.4468,,,,,,4,2
Southwestern College,0.0722,0.0412,0.7177,0.1054,0.0022,0.0039,0.0402,0.0014,0.0158,0.4549,0.5451,,,,,,2,1
Southwestern Indian Polytechnic Institute,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4087,0.5913,,,,,,2,1
University of New Mexico-Taos Campus,0.2808,0.0097,0.5487,0.0065,0.0682,0.0032,0.0357,0.0146,0.0325,0.3685,0.6315,,,,,,2,1
Mesalands Community College,0.3858,0.0345,0.4224,0.0086,0.0216,0.0043,0.0,0.0,0.1228,0.722,0.278,,,,,,2,1
Vogue College of Cosmetology-Santa Fe,0.1233,0.0137,0.7123,0.0137,0.0137,0.0,0.0548,0.0,0.0685,0.0548,0.9452,,,,,,1,3
Western New Mexico University,0.271,0.063,0.534,0.0123,0.0265,0.0074,0.0228,0.037,0.0259,0.3364,0.6636,,,,,,4,1
Vaughn College of Aeronautics and Technology,0.1175,0.168,0.3422,0.1194,0.0055,0.0098,0.0129,0.0665,0.1582,0.8812,0.1188,,,,,,4,2
Adelphi University,0.4959,0.0876,0.1729,0.1105,0.0021,0.0006,0.0282,0.0375,0.0646,0.3094,0.6906,,,,,,4,2
SUNY Adirondack,0.8533,0.0484,0.0473,0.0106,0.0057,0.0008,0.0306,0.0023,0.0011,0.4117,0.5883,,,,,,2,1
Albany College of Pharmacy and Health Sciences,0.5431,0.0635,0.0723,0.1777,0.0025,0.0,0.0305,0.0571,0.0533,0.3832,0.6168,,,,,,4,2
Albany Law School,,,,,,,,,,,,,,,,,4,2
Albany Medical College,,,,,,,,,,,,,,,,,4,2
Alfred University,0.5833,0.1301,0.0905,0.0174,0.0012,0.0,0.0264,0.0713,0.0797,0.5288,0.4712,,,,,,4,2
Allen School-Brooklyn,0.0299,0.6347,0.2515,0.006,0.012,0.0,0.0419,0.0,0.024,0.0659,0.9341,,,,,,1,3
The Ailey School,0.1919,0.2424,0.0303,0.0202,0.0,0.0,0.101,0.3939,0.0202,0.1616,0.8384,,,,,,1,2
American Academy of Dramatic Arts-New York,0.4058,0.0833,0.0507,0.0181,0.0,0.0,0.0761,0.3623,0.0036,0.3732,0.6268,,,,,,2,2
American Academy McAllister Institute of Funeral Service,0.5196,0.25,0.1413,0.0065,0.0109,0.0043,0.0,0.0,0.0674,0.3217,0.6783,,,,,,2,2
Joffrey Ballet School,0.3665,0.0745,0.0621,0.0248,0.0062,0.0,0.0248,0.441,0.0,0.1304,0.8696,,,,,,1,3
American Musical and Dramatic Academy,0.4033,0.1935,0.2194,0.0237,0.009,0.0079,0.0361,0.0863,0.0209,0.2876,0.7124,,,,,,3,2
Apex Technical School,0.0626,0.2256,0.1645,0.0284,0.0095,0.0,0.0,0.0,0.5095,0.9716,0.0284,,,,,,1,3
Arnot Ogden Medical Center,0.8958,0.0625,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.9375,,,,,,1,2
Associated Beth Rivkah Schools,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,2
Bank Street College of Education,,,,,,,,,,,,,,,,,4,2
Longy School of Music of Bard College,0.3514,0.027,0.0,0.0541,0.0,0.027,0.0541,0.4865,0.0,0.4595,0.5405,,,,,,4,2
Barnard College,0.4973,0.0534,0.1133,0.1545,0.0011,0.0011,0.0622,0.1129,0.0042,0.0,1.0,,,,,,3,2
Berk Trade and Business School,0.2065,0.3032,0.3871,0.0774,0.0,0.0,0.0258,0.0,0.0,0.9226,0.0774,,,,,,1,3
Berkeley College-New York,0.0509,0.21,0.2306,0.0246,0.0021,0.0,0.0028,0.0907,0.3883,0.3594,0.6406,,,,,,3,3
Berkowits School of Electrolysis,0.5596,0.2294,0.2018,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,3
Beth Hamedrash Shaarei Yosher Institute,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,3,2
Phillips School of Nursing at Mount Sinai Beth Israel,0.3946,0.2682,0.1571,0.1609,0.0115,0.0077,0.0,0.0,0.0,0.1494,0.8506,,,,,,3,2
Brittany Beauty Academy,0.2174,0.3551,0.2464,0.0652,0.0,0.0,0.0725,0.0,0.0435,0.029,0.971,,,,,,1,3
Boricua College,0.0143,0.2111,0.7333,0.0,0.0,0.0,0.0413,0.0,0.0,0.2206,0.7794,,,,,,4,2
Brittany Beauty Academy,0.2174,0.3551,0.2464,0.0652,0.0,0.0,0.0725,0.0,0.0435,0.029,0.971,,,,,,1,3
American Beauty School,0.04,0.44,0.4867,0.02,0.0,0.0,0.0067,0.0,0.0067,0.0133,0.9867,,,,,,1,3
Brooklyn Law School,,,,,,,,,,,,,,,,,4,2
SUNY Broome Community College,0.6575,0.1191,0.0859,0.0372,0.0031,0.0013,0.0316,0.0121,0.052,0.4215,0.5785,,,,,,2,1
Canisius College,0.7123,0.0884,0.0674,0.0304,0.0028,0.0019,0.0234,0.0341,0.0393,0.5122,0.4878,,,,,,4,2
