School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,admissions_rate,sat_mid_overall,region
California Institute of Technology,0.2697,0.0171,0.1716,0.3657,0.0,0.0011,0.0896,0.0842,0.0011,0.5469,0.4531,4,2,0.0642,1557.0,8
California Lutheran University,0.4088,0.037000000000000005,0.3718,0.0481,0.0016,0.0049,0.0718,0.0299,0.026,0.4368,0.5632,4,2,0.7142,1168.0,8
California Polytechnic State University-San Luis Obispo,0.5364,0.0084,0.1757,0.1365,0.0014,0.0022,0.077,0.0214,0.0411,0.518,0.482,4,1,0.2842,1342.0,8
California State University-San Bernardino,0.1072,0.0464,0.6719,0.05,0.0017,0.0013,0.0214,0.0665,0.0337,0.3928,0.6072,4,1,0.6856,985.0,8
California State Polytechnic University-Pomona,0.1497,0.0335,0.4725,0.2152,0.0014,0.0021,0.036000000000000004,0.0594,0.0303,0.5286,0.4714,4,1,0.5459,1143.0,8
California State University-Chico,0.4313,0.0279,0.3455,0.056,0.005,0.0025,0.0538,0.0265,0.0514,0.4689,0.5311,4,1,0.7233,1089.0,8
California State University-Fresno,0.1792,0.0263,0.5455,0.1272,0.004,0.0018,0.0263,0.0551,0.0346,0.4095,0.5905,4,1,0.5794,1030.0,8
California State University-Fullerton,0.1799,0.0188,0.4581,0.2098,0.0011,0.0018,0.0393,0.0616,0.0295,0.4311,0.5689,4,1,0.5269,1113.0,8
California State University-Long Beach,0.1681,0.0373,0.4436,0.2104,0.0011,0.0027,0.0464,0.064,0.0266,0.4369,0.5631,4,1,0.3927,1146.0,8
California State University-Los Angeles,0.0459,0.0314,0.6972,0.1248,0.0008,0.001,0.0135,0.0644,0.0209,0.4211,0.5789,4,1,0.4781,979.0,8
California State University-Los Angeles,0.0459,0.0314,0.6972,0.1248,0.0008,0.001,0.0135,0.0644,0.0209,0.4211,0.5789,4,1,0.4781,979.0,8
California State University-Los Angeles,0.0459,0.0314,0.6972,0.1248,0.0008,0.001,0.0135,0.0644,0.0209,0.4211,0.5789,4,1,0.4781,979.0,8
California State University-Los Angeles,0.0459,0.0314,0.6972,0.1248,0.0008,0.001,0.0135,0.0644,0.0209,0.4211,0.5789,4,1,0.4781,979.0,8
California State University-Northridge,0.2036,0.0481,0.515,0.0944,0.001,0.001,0.03,0.0712,0.0357,0.4527,0.5473,4,1,0.5934,1019.0,8
California State University-Sacramento,0.2512,0.0604,0.3454,0.1938,0.0021,0.0086,0.0604,0.0342,0.0437,0.4454,0.5546,4,1,0.8226,1035.0,8
University of California-Berkeley,0.2396,0.0191,0.1609,0.3553,0.0011,0.0017,0.0586,0.1271,0.0366,0.4604,0.5396,4,1,0.1625,1449.0,8
University of California-Davis,0.2303,0.0212,0.2317,0.2764,0.0015,0.0038,0.0551,0.1675,0.0125,0.3928,0.6072,4,1,0.3887,1298.0,8
University of California-Irvine,0.133,0.0199,0.2572,0.3606,0.0007,0.0025,0.0442,0.1703,0.0117,0.4786,0.5214,4,1,0.2654,1306.0,8
University of California-Riverside,0.1149,0.0367,0.4129,0.3417,0.0013,0.0038,0.0397,0.0385,0.0104,0.4606,0.5394,4,1,0.5652,1239.0,8
University of California-San Diego,0.1936,0.0169,0.2181,0.33,0.0008,0.0026,0.0486,0.1754,0.0141,0.4998,0.5002,4,1,0.3148,1375.0,8
University of California-San Diego,0.1936,0.0169,0.2181,0.33,0.0008,0.0026,0.0486,0.1754,0.0141,0.4998,0.5002,4,1,0.3148,1375.0,8
University of California-San Diego,0.1936,0.0169,0.2181,0.33,0.0008,0.0026,0.0486,0.1754,0.0141,0.4998,0.5002,4,1,0.3148,1375.0,8
University of California-San Diego,0.1936,0.0169,0.2181,0.33,0.0008,0.0026,0.0486,0.1754,0.0141,0.4998,0.5002,4,1,0.3148,1375.0,8
University of California-Santa Barbara,0.3003,0.0197,0.2498,0.1729,0.0015,0.0013,0.0842,0.1476,0.0228,0.4544,0.5456,4,1,0.2956,1370.0,8
University of California-Santa Cruz,0.3107,0.0175,0.2629,0.2189,0.0009,0.0011,0.0819,0.09,0.0162,0.521,0.479,4,1,0.5131,1306.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Hope International University,0.3476,0.0774,0.2923,0.0442,0.0079,0.0253,0.1232,0.0174,0.0648,0.4502,0.5498,4,2,0.3679,1001.0,8
Lock Haven University,0.8361,0.0749,0.0339,0.0101,0.0026,0.0015,0.0209,0.0041,0.016,0.4024,0.5976,4,1,0.9483,1026.0,2
Lock Haven University,0.8361,0.0749,0.0339,0.0101,0.0026,0.0015,0.0209,0.0041,0.016,0.4024,0.5976,4,1,0.9483,1026.0,2
Lock Haven University,0.8361,0.0749,0.0339,0.0101,0.0026,0.0015,0.0209,0.0041,0.016,0.4024,0.5976,4,1,0.9483,1026.0,2
Lock Haven University,0.8361,0.0749,0.0339,0.0101,0.0026,0.0015,0.0209,0.0041,0.016,0.4024,0.5976,4,1,0.9483,1026.0,2
Lock Haven University,0.8361,0.0749,0.0339,0.0101,0.0026,0.0015,0.0209,0.0041,0.016,0.4024,0.5976,4,1,0.9483,1026.0,2
Lock Haven University,0.8361,0.0749,0.0339,0.0101,0.0026,0.0015,0.0209,0.0041,0.016,0.4024,0.5976,4,1,0.9483,1026.0,2
Chapman University,0.5151,0.0169,0.1612,0.1429,0.0014,0.003,0.0784,0.0388,0.0424,0.3936,0.6064,4,2,0.5565,1296.0,8
Charles R Drew University of Medicine and Science,0.0437,0.388,0.3169,0.1093,0.0,0.0,0.0601,0.0219,0.0601,0.3497,0.6503,4,2,0.3164,889.0,8
Charles R Drew University of Medicine and Science,0.0437,0.388,0.3169,0.1093,0.0,0.0,0.0601,0.0219,0.0601,0.3497,0.6503,4,2,0.3164,889.0,8
Charles R Drew University of Medicine and Science,0.0437,0.388,0.3169,0.1093,0.0,0.0,0.0601,0.0219,0.0601,0.3497,0.6503,4,2,0.3164,889.0,8
Charles R Drew University of Medicine and Science,0.0437,0.388,0.3169,0.1093,0.0,0.0,0.0601,0.0219,0.0601,0.3497,0.6503,4,2,0.3164,889.0,8
Concordia University-Irvine,0.4829,0.0412,0.253,0.0969,0.0035,0.0029,0.0708,0.0459,0.0029,0.3941,0.6059,4,2,0.7081,1100.0,8
San Diego Christian College,0.4009,0.1087,0.3305,0.0277,0.0085,0.0085,0.0597,0.0277,0.0277,0.4733,0.5267,4,2,0.5526,1050.0,8
Claremont McKenna College,0.412,0.0442,0.1536,0.1154,0.0007,0.0015,0.0652,0.1566,0.0509,0.5049,0.4951,4,2,0.103,1449.0,8
Dominican University of California,0.2895,0.0492,0.2555,0.2735,0.0028,0.0048,0.0575,0.0159,0.0512,0.3102,0.6898,4,2,0.9134,1127.0,8
Fresno Pacific University,0.2549,0.0522,0.5634,0.0421,0.0094,0.001,0.0042,0.016,0.0568,0.2625,0.7375,4,2,0.6608,1042.0,8
Harvey Mudd College,0.3068,0.0403,0.196,0.1971,0.0022,0.0056,0.1064,0.0806,0.0649,0.5028,0.4972,3,2,0.1367,1526.0,8
Holy Names University,0.1512,0.1707,0.4012,0.1093,0.003,0.0105,0.0434,0.0299,0.0808,0.3593,0.6407,4,2,0.6325,851.0,8
Humboldt State University,0.4370000000000001,0.0332,0.3465,0.0276,0.0119,0.0032,0.0672,0.0116,0.0617,0.4257,0.5743,4,1,0.9217,1085.0,8
Life Pacific University,0.3969,0.0421,0.408,0.0222,0.0067,0.0022,0.0599,0.0044,0.0576,0.4435,0.5565,4,2,0.9137,991.0,8
Life Pacific University,0.3969,0.0421,0.408,0.0222,0.0067,0.0022,0.0599,0.0044,0.0576,0.4435,0.5565,4,2,0.9137,991.0,8
Life Pacific University,0.3969,0.0421,0.408,0.0222,0.0067,0.0022,0.0599,0.0044,0.0576,0.4435,0.5565,4,2,0.9137,991.0,8
Life Pacific University,0.3969,0.0421,0.408,0.0222,0.0067,0.0022,0.0599,0.0044,0.0576,0.4435,0.5565,4,2,0.9137,991.0,8
Life Pacific University,0.3969,0.0421,0.408,0.0222,0.0067,0.0022,0.0599,0.0044,0.0576,0.4435,0.5565,4,2,0.9137,991.0,8
Life Pacific University,0.3969,0.0421,0.408,0.0222,0.0067,0.0022,0.0599,0.0044,0.0576,0.4435,0.5565,4,2,0.9137,991.0,8
University of La Verne,0.2033,0.0569,0.5565,0.0465,0.0033,0.0042,0.041,0.0421,0.0463,0.4101,0.5899,4,2,0.5482,1113.0,8
Loyola Marymount University,0.4301,0.0676,0.2267,0.0969,0.0005,0.0018,0.0687,0.1077,0.0,0.4518,0.5482,4,2,0.4384,1331.0,8
Loyola Marymount University,0.4301,0.0676,0.2267,0.0969,0.0005,0.0018,0.0687,0.1077,0.0,0.4518,0.5482,4,2,0.4384,1331.0,8
Loyola Marymount University,0.4301,0.0676,0.2267,0.0969,0.0005,0.0018,0.0687,0.1077,0.0,0.4518,0.5482,4,2,0.4384,1331.0,8
Loyola Marymount University,0.4301,0.0676,0.2267,0.0969,0.0005,0.0018,0.0687,0.1077,0.0,0.4518,0.5482,4,2,0.4384,1331.0,8
Millsaps College,0.6039,0.239,0.0455,0.0312,0.0078,0.0,0.0,0.0506,0.0221,0.4532,0.5468,4,2,0.6881,1173.0,5
Millsaps College,0.6039,0.239,0.0455,0.0312,0.0078,0.0,0.0,0.0506,0.0221,0.4532,0.5468,4,2,0.6881,1173.0,5
Millsaps College,0.6039,0.239,0.0455,0.0312,0.0078,0.0,0.0,0.0506,0.0221,0.4532,0.5468,4,2,0.6881,1173.0,5
Millsaps College,0.6039,0.239,0.0455,0.0312,0.0078,0.0,0.0,0.0506,0.0221,0.4532,0.5468,4,2,0.6881,1173.0,5
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
Mount St. Mary's University,0.58,0.1666,0.1311,0.0333,0.0049,0.0066,0.0486,0.0142,0.0147,0.4954,0.5046,4,2,0.7479,1097.0,2
