School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Galen College of Nursing-ARH,,23850.0,5258.0,0.6333,0.9575,,,,,,,,43760.0,24.0,,,,,36066.0,0.5845
The Chicago School of Professional Psychology at San Diego,,,5971.0,,,,,,,,101.0,,,,,,,,,0.5845
Tricoci University of Beauty Culture-Janesville,,14858.0,,,0.7647,,,,,,,,21527.0,10.0,,,,,27754.0,0.5845
Unlimited Cosmetology School,,14795.0,,,0.5484,,,,,,,,14500.0,13.0,,,,,27754.0,0.5845
Johnny Matthew's Hairdressing Training School,,18112.0,,,0.5789,,,,,,,,16800.0,12.0,,,,,27754.0,0.5845
The Culinary School of Fort Worth,,19546.0,,,0.2174,,,,,,,,18500.0,9.0,,,,3.0,27754.0,0.5845
Centralia Beauty College,,11136.0,,,0.5424,,,,,,,,15750.0,12.0,,,,,27754.0,0.5845
University of Wisconsin-Milwaukee Flex,,,10354.0,0.5882,0.449,,,,,,,,,,,,,,47975.5,0.5845
University of Wisconsin-Parkside Flex,,,11226.0,0.5,0.0,,,,,,,,,,,,,,27754.0,0.5845
Platt College-Edge Tech Academy,,25280.0,,,0.575,,,,,,,,15000.0,8.0,,,,,27754.0,0.5845
Bnos Zion Of Bobov Seminary,,6821.0,,,0.0,,,,,,,,,,,,200.0,3.0,27754.0,0.5845
ABC Adult School,6500.0,,,,0.0,,,,,,,,1369.0,8.0,,,,,27754.0,0.5845
Polytech Adult Education,,,,,0.0419,,,,,,,,404.0,24.0,,,,3.0,27754.0,0.5845
Blush School of Makeup,,14693.0,,,0.3333,,,,,,,,12625.0,5.0,,,,,27754.0,0.5845
California Institute of Medical Science,,20115.0,,,0.4038,,,,,,,,13490.0,8.0,,,,,27754.0,0.5845
Union Bible College,,7536.0,527.0,0.3684,0.0,,,,,,,10.0,,,,,500.0,2.0,47975.5,0.5845
Pets Playground Grooming School,,7689.0,,,0.2,,,,,,,,5740.0,4.0,,,,,27754.0,0.5845
San Bernardino Beauty College,,,,,0.305,,,,,,,,2335.0,5.0,,,,,27754.0,0.5845
Christina and Company Education Center,,7161.0,,,0.625,,,,,,,,12242.0,10.0,,,,,27754.0,0.5845
Ultrasound Medical Institute,,20285.0,3188.0,,0.3938,,,,,,,2.0,42525.0,26.0,,,,5.0,36066.0,0.5845
Mystros Barber Academy,,13261.0,,,0.3103,,,,,,,,14329.0,13.0,,,,,27754.0,0.5845
European Medical School of Massage,,24788.0,,,0.7586,,,,,,,,14437.0,10.0,,,,,27754.0,0.5845
Yeshiva Gedolah Tiferes Boruch,,6205.0,3958.0,,0.0,,,,,,,,,,,,200.0,3.0,36066.0,0.5845
Yeshiva Chemdas Hatorah,,9708.0,2182.0,,0.0,,,,,,,,,,,,200.0,3.0,36066.0,0.5845
Women's Institute of Torah Seminary and College,,,,,0.0,,,,,,,,,,,,200.0,3.0,47975.5,0.5845
Yeshiva Gedolah Keren Hatorah,,7031.0,4102.0,,0.0,,,,,,,,,,,,200.0,3.0,36066.0,0.5845
ICOHS College,,36101.0,,,0.4944,,,,,,,,18360.0,14.0,,,,,27754.0,0.5845
Neo-Esthetique European Institute,,9171.0,,,0.0,,,,,,,,9576.0,12.0,,,,,27754.0,0.5845
Lehigh Valley Barber School,,16135.0,,,0.8788,,,,,,,,21725.0,9.0,,,,,27754.0,0.5845
John Wesley International Barber and Beauty College,,8252.0,,,0.0,,,,,,,,12075.0,11.0,,,,,27754.0,0.5845
Brown Beauty Barber School,,17070.0,,,0.7447,,,,,,,,13600.0,16.0,,,,,27754.0,0.5845
Rexburg College of Massage Therapy,,,,,0.4521,,,,,,,,10000.0,8.0,,,,,27754.0,0.5845
Yeshiva Gedolah of Cliffwood,,8025.0,3894.0,,0.0,,,,,,,1.0,,,,,200.0,3.0,47975.5,0.5845
Goshen School of Cosmetology,,15273.0,,,0.7778,,,,,,,,18050.0,13.0,,,,,27754.0,0.5845
IBS School of Cosmetology and Massage,,12219.0,,,0.0463,,,,,,,,7858.0,4.0,,,,,27754.0,0.5845
Urban Barber College,,12424.0,,,0.2914,,,,,,,,19950.0,11.0,,,,,27754.0,0.5845
Yeshivas Emek Hatorah,,,5642.0,,0.0,,,,,,,3.0,,,,,200.0,3.0,47975.5,0.5845
Transitions Career Institute School of Nursing,,22326.0,,,0.3468,,,,,,,,25000.0,14.0,,,,,27754.0,0.5845
Suncoast Technical Education Center,,,,,0.0,,,,,,,6.0,4386.0,13.0,,,,,27754.0,0.5845
Stacey James Institute,,16402.0,,,0.4737,,,,,,,,20876.0,16.0,,,,,27754.0,0.5845
