School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
St. John's College-Department of Nursing,,,8918.0,0.6923,0.9836,,,,,,18.0,,,,,,,,47975.5,0.5845
Saint Xavier University,,14528.0,7474.0,0.3863,0.8041,,,,,,666.0,14.0,,,,,1200.0,1.0,47975.5,0.5845
University of Illinois Springfield,12477.0,,8063.0,0.6584,0.4407,,,,,,1601.0,61.0,,,,,1200.0,1.0,47975.5,0.5845
Saint Anthony College of Nursing - Sauk Valley Community College Campus,,,,,,,,,,,,,,,,,,,,0.5845
Shawnee Community College,10242.0,,7593.0,0.4286,0.0,,,,,,,399.0,,,,,1470.0,,36066.0,0.5845
Saint Augustine College,,12193.0,5553.0,0.093,0.0582,,,,,,,52.0,,,,,1200.0,,36066.0,0.5845
University of Saint Mary of the Lake,,,4947.0,1.0,,,,,,,202.0,,,,,,,,,0.5845
Southeastern Illinois College,5714.0,,6214.0,0.5258,0.0,,,,,,,892.0,,,,,1009.0,,36066.0,0.5845
National Latino Education Institute,,13939.0,,,0.1786,,,,,,,,16377.0,12.0,,,,3.0,27754.0,0.5845
Spertus College,,,11401.0,0.1212,,,,,,,111.0,,,,,,,,,0.5845
Spoon River College,9155.0,,6365.0,0.3951,0.1755,,,,,,,424.0,,,,,1700.0,,27754.0,0.5845
Saint Anthony College of Nursing,,,7258.0,0.5217,0.7534,,,,,,78.0,,,,,,2000.0,3.0,47975.5,0.5845
Educators of Beauty College of Cosmetology-Sterling,,10609.0,,,0.5686,,,,,,,,18975.0,13.0,,,,,27754.0,0.5845
Southern Illinois University-Carbondale,16945.0,,7698.0,0.7951,0.5267,,,,,,3229.0,91.0,,,,,1100.0,1.0,47975.5,0.5845
Southern Illinois University-Edwardsville,14423.0,,8360.0,0.7161,0.5005,,,,,,2661.0,61.0,,,,,915.0,1.0,47975.5,0.5845
Taylor Business Institute,,11260.0,3671.0,,0.0087,,,,,,,,,,,,750.0,3.0,36066.0,0.5845
Telshe Yeshiva-Chicago,,6012.0,3211.0,0.8667,0.0,,,,,,15.0,,,,,,200.0,3.0,47975.5,0.5845
South Suburban College,4746.0,,8021.0,0.3203,0.0,,,,,,,1294.0,,,,,1200.0,,27754.0,0.5845
Tri-County Beauty Academy,,12361.0,,,0.5714,,,,,,,,14711.0,13.0,,,,,27754.0,0.5845
Trinity Christian College,,21904.0,7188.0,0.4967,0.6444,,,,,,63.0,79.0,,,,,1100.0,1.0,47975.5,0.5845
Trinity International University-Illinois,,21204.0,7602.0,0.3416,0.7623,,,,,,1000.0,157.0,,,,,1200.0,1.0,47975.5,0.5845
Triton College,4988.0,,7820.0,0.2825,0.0381,,,,,,,2342.0,,,,,1440.0,,36066.0,0.5845
VanderCook College of Music,,19160.0,5077.0,0.2553,0.5909,,,,,,35.0,35.0,,,,,1900.0,1.0,47975.5,0.5845
Waubonsee Community College,5130.0,,9631.0,0.2054,0.0909,,,,,,,2254.0,,,,,1600.0,,36066.0,0.5845
Resurrection University,,,8451.0,1.0,0.7751,,,,,,106.0,,,,,,,,47975.5,0.5845
Western Illinois University,16210.0,,9001.0,0.8752,0.6599,,,,,,1666.0,,,,,,1200.0,1.0,47975.5,0.5845
Wheaton College,,25358.0,9366.0,0.6754,0.4902,,,,,,609.0,37.0,,,,,800.0,1.0,47975.5,0.5845
William Rainey Harper College,7532.0,,10071.0,0.3318,0.0487,,,,,,,2756.0,,,,,1100.0,,27754.0,0.5845
The University of Texas MD Anderson Cancer Center,,,11443.0,1.0,0.3287,,,,,,25.0,,,,,,,,47975.5,0.5845
Ball State University,15147.0,,7585.0,0.8253,0.5623,,,,,,5741.0,1092.0,,,,,1384.0,2.0,47975.5,0.5845
Bethel Seminary-San Diego,,,7213.0,,,,,,,,47.0,,,,,,,,,0.5845
Butler University,,37645.0,8777.0,1.0,0.4672,,,,,,830.0,150.0,,,,,1000.0,1.0,47975.5,0.5845
Calumet College of Saint Joseph,,10275.0,5772.0,0.2414,0.2551,,,,,,169.0,6.0,,,,,1500.0,,47975.5,0.5845
Christian Theological Seminary,,,9862.0,1.0,,,,,,,145.0,,,,,,,,,0.5845
College of Court Reporting Inc,,31390.0,,,0.7,,,,,,,1.0,,,,,3286.0,,36066.0,0.5845
Concordia Theological Seminary,,,5831.0,0.9167,,,,,,,313.0,,,,,,,,,0.5845
Tricoci University of Beauty Culture-Highland,,16363.0,,,0.7287,,,,,,,,23102.0,13.0,,,,,27754.0,0.5845
DePauw University,,23078.0,9375.0,0.8817,0.4114,,,,,,,28.0,,,,,1200.0,5.0,47975.5,0.5845
Don Roberts School of Hair Design,,14627.0,,,0.8714,,,,,,,,18300.0,13.0,,,,,27754.0,0.5845
Earlham College,,21370.0,6438.0,0.9091,0.4803,,,,,,50.0,29.0,,,,,1200.0,5.0,47975.5,0.5845
University of Evansville,,21626.0,8177.0,0.9583,0.4516,,,,,,247.0,248.0,,,,,1200.0,5.0,47975.5,0.5845
Franklin and Marshall College,,30281.0,10267.0,0.8867,0.4353,,,,,,,6.0,,,,,1200.0,3.0,47975.5,0.5845
Goshen College,,19342.0,5977.0,0.5505,0.5976,,,,,,81.0,24.0,,,,,1220.0,1.0,47975.5,0.5845
Grace College and Theological Seminary,,20820.0,7183.0,0.9828,0.5772,,,,,,338.0,242.0,,,,,1000.0,2.0,47975.5,0.5845
Empire Beauty School-Hanover Park,,16314.0,,,0.4026,,,,,,,,22010.0,11.0,,,,,27754.0,0.5845
J Michael Harrold Beauty Academy,,19105.0,,,0.6067,,,,,,,,14100.0,11.0,,,,,27754.0,0.5845
College of the Holy Cross,,37292.0,11417.0,0.882,0.5461,,,,,,,32.0,,,,,1000.0,5.0,47975.5,0.5845
PJ's College of Cosmetology-Clarksville,,13273.0,,,0.5074,,,,,,,,19716.0,12.0,,,,,27754.0,0.5845
Huntington University,,22869.0,6770.0,1.0,0.5998,,,,,,258.0,130.0,,,,,1000.0,1.0,47975.5,0.5845
Ivy Tech Community College,6919.0,,5772.0,0.3252,0.1789,,,,,,,13711.0,,,,,1440.0,,27754.0,0.5845
Purdue University Fort Wayne,10912.0,,7632.0,0.9228,0.3328,,,,,,511.0,2947.0,,,,,1240.0,1.0,47975.5,0.5845
Purdue University - Purdue Polytechnic Indianapolis,,,,,,,,,,,,,,,,,,,,0.5845
Indiana University-Purdue University-Indianapolis,11285.0,,8593.0,0.5653,0.4276,,,,,,8364.0,673.0,,,,,1110.0,1.0,47975.5,0.5845
Indiana Institute of Technology,,19305.0,7761.0,1.0,0.7393,,,,,,647.0,88.0,,,,,0.0,1.0,47975.5,0.5845
University of Southern Indiana,13437.0,,7260.0,1.0,0.384,,,,,,1543.0,2133.0,,,,,1200.0,1.0,47975.5,0.5845
Indiana State University,13896.0,,7411.0,0.7261,0.5669,,,,,,1930.0,611.0,,,,,1200.0,2.0,47975.5,0.5845
Indiana University-Kokomo,9796.0,,6365.0,0.5484,0.4186,,,,,,195.0,217.0,,,,,1110.0,1.0,47975.5,0.5845
Indiana University-South Bend,8717.0,,6536.0,0.627,0.4476,,,,,,541.0,119.0,,,,,1110.0,1.0,47975.5,0.5845
Indiana University-Bloomington,13253.0,,10670.0,0.8764,0.3146,,,,,,10176.0,290.0,,,,,1110.0,1.0,47975.5,0.5845
Indiana University-Northwest,7755.0,,7275.0,0.5,0.4344,,,,,,423.0,168.0,,,,,1110.0,1.0,47975.5,0.5845
Indiana University-Southeast,10657.0,,7119.0,0.978,0.3986,,,,,,485.0,81.0,,,,,1110.0,1.0,47975.5,0.5845
Indiana University-East,7722.0,,6940.0,0.4054,0.4188,,,,,,266.0,365.0,,,,,1110.0,1.0,47975.5,0.5845
International Business College-Fort Wayne,,17201.0,3927.0,,0.8859,,,,,,,,,,,,1500.0,3.0,36066.0,0.5845
International Business College-Indianapolis,,16282.0,4589.0,0.6,0.8566,,,,,,,,,,,,2013.0,3.0,36066.0,0.5845
Tricoci University of Beauty Culture-Lafayette,,14742.0,,,0.6903,,,,,,,,20527.0,13.0,,,,,27754.0,0.5845
Empire Beauty School-Indianapolis,,16073.0,,,0.5552,,,,,,,,22010.0,11.0,,,,,27754.0,0.5845
Lincoln College of Technology-Indianapolis,,21935.0,4447.0,0.8684,0.7037,,,,,,,6.0,33912.0,13.0,,,,,27754.0,0.5845
University of New Hampshire at Manchester,13649.0,,9815.0,0.3964,0.5062,,,,,,30.0,15.0,,,,,1000.0,5.0,47975.5,0.5845
Marian University,,19928.0,6672.0,0.8875,0.7196,,,,,,329.0,3.0,,,,,800.0,1.0,47975.5,0.5845
Indiana Wesleyan University-Marion,,20946.0,7269.0,1.0,0.5713,,,,,,403.0,180.0,,,,,1384.0,1.0,47975.5,0.5845
The University of Tennessee-Martin,10955.0,,7389.0,0.6718,0.4335,,,,,,517.0,1536.0,,,,,1400.0,1.0,47975.5,0.5845
Anabaptist Mennonite Biblical Seminary,,,5868.0,0.7778,,,,,,,88.0,,,,,,,,,0.5845
Mid-America College of Funeral Service,,18370.0,3333.0,,0.7951,,,,,,,,,,,,0.0,,36066.0,0.5845
West Michigan College of Barbering and Beauty,,11744.0,,,0.4712,,,,,,,,18195.0,11.0,,,,,27754.0,0.5845
University of Notre Dame,,33025.0,14604.0,0.903,0.313,,,,,,3951.0,43.0,,,,,1050.0,1.0,47975.5,0.5845
Oakland City University,,11894.0,5733.0,0.2079,0.2226,,,,,,170.0,663.0,,,,,1458.0,1.0,47975.5,0.5845
PJ's College of Cosmetology-Richmond,,12160.0,,,0.6098,,,,,,,,19716.0,13.0,,,,,27754.0,0.5845
Ravenscroft Beauty College,,17272.0,,,0.5861,,,,,,,,17350.0,13.0,,,,,27754.0,0.5845
Rogers Academy of Hair Design,,15502.0,,,0.6601,,,,,,,,17250.0,13.0,,,,,27754.0,0.5845
Rose-Hulman Institute of Technology,,39076.0,11090.0,0.9505,0.4542,,,,,,38.0,8.0,,,,,1500.0,1.0,47975.5,0.5845
University of Saint Francis-Fort Wayne,,17796.0,6736.0,0.4557,0.7087,,,,,,504.0,4.0,,,,,1200.0,1.0,47975.5,0.5845
Saint Mary-of-the-Woods College,,15669.0,5627.0,0.2902,0.7165,,,,,,327.0,12.0,,,,,1600.0,5.0,47975.5,0.5845
Saint Mary-of-the-Woods College,,15669.0,5627.0,0.2902,0.7165,,,,,,327.0,12.0,,,,,1600.0,5.0,47975.5,0.5845
Saint Meinrad School of Theology,,,8085.0,1.0,,,,,,,177.0,,,,,,,,,0.5845
Saint Elizabeth School of Nursing,,21932.0,,,0.7698,,,,,,,,,,,,882.0,1.0,27754.0,0.5845
Taylor University,,25888.0,6866.0,0.6473,0.419,,,,,,26.0,313.0,,,,,1100.0,1.0,47975.5,0.5845
Trine University,,23202.0,7426.0,0.4444,0.3542,,,,,,162.0,1688.0,,,,,1200.0,1.0,47975.5,0.5845
Valparaiso University,,18852.0,7866.0,0.7511,0.5674,,,,,,510.0,27.0,,,,,1200.0,1.0,47975.5,0.5845
Vincennes Beauty College,,10370.0,,,0.3125,,,,,,,,12205.0,13.0,,,,,27754.0,0.5845
Vincennes University,10845.0,,5929.0,0.2375,0.1411,,,,,,,11815.0,,,,,1298.0,,36066.0,0.5845
Wabash Valley College,6061.0,,5747.0,0.3298,0.0382,,,,,,,2134.0,,,,,1300.0,,36066.0,0.5845
Allen County Community College,7760.0,,5786.0,0.2206,0.1169,,,,,,,1078.0,,,,,392.0,,36066.0,0.5845
Briar Cliff University,,20604.0,6006.0,0.6979,0.6742,,,,,,257.0,81.0,,,,,1320.0,,47975.5,0.5845
Buena Vista University,,17544.0,6543.0,0.3647,0.7671,,,,,,337.0,64.0,,,,,999.0,1.0,47975.5,0.5845
Capri College-Dubuque,,11300.0,,,0.5877,,,,,,,,19945.0,16.0,,,,,27754.0,0.5845
Capri College-Cedar Rapids,,11024.0,,,0.4857,,,,,,,,19945.0,16.0,,,,,27754.0,0.5845
College of Central Florida,6548.0,,5982.0,0.4087,0.2349,,,,,,,1128.0,,,,,1400.0,,36066.0,0.5845
Clarke University,,34204.0,6167.0,0.5674,0.4879,,,,,,219.0,16.0,,,,,1330.0,1.0,47975.5,0.5845
Coe College,,19955.0,6852.0,1.0,0.718,,,,,,,53.0,,,,,1000.0,2.0,47975.5,0.5845
Weill Medical College of Cornell University,,,,1.0,,,,,,,1327.0,,,,,,,,,0.5845
