School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Des Moines Area Community College,10076.0,,7648.0,0.9973,0.1813,,,,,,,11746.0,,,,,904.0,,36066.0,0.5845
Divine Word College,,,5894.0,0.68,0.0877,,,,,,,1.0,,,,,300.0,2.0,47975.5,0.5845
Dordt University,,25102.0,6509.0,0.6377,0.5386,,,,,,162.0,72.0,,,,,1110.0,1.0,47975.5,0.5845
Drake University,,29432.0,9566.0,0.6694,0.4793,,,,,,1930.0,52.0,,,,,1100.0,1.0,47975.5,0.5845
University of Dubuque,,26748.0,5731.0,1.0,0.8243,,,,,,402.0,6.0,,,,,950.0,1.0,47975.5,0.5845
Ellsworth Community College,11198.0,,7268.0,1.0,0.5038,,,,,,,143.0,,,,,1200.0,,36066.0,0.5845
Emmaus Bible College,,13473.0,4543.0,0.6757,0.3908,,,,,,,12.0,,,,,600.0,1.0,47975.5,0.5845
Eastern Iowa Community College District,10650.0,,5672.0,1.0,0.2098,,,,,,,4432.0,,,,,1600.0,,36066.0,0.5845
Faith Baptist Bible College and Theological Seminary,,14419.0,5203.0,0.38,0.3276,,,,,,43.0,55.0,,,,,1305.0,5.0,47975.5,0.5845
Faust Institute of Cosmetology-Storm Lake,,5056.0,,,0.8276,,,,,,,,15550.0,15.0,,,,,27754.0,0.5845
Graceland University-Lamoni,,17650.0,6150.0,0.9873,0.7551,,,,,,701.0,66.0,,,,,1400.0,1.0,47975.5,0.5845
Grand View University,,19826.0,6675.0,0.4063,0.7097,,,,,,89.0,75.0,,,,,836.0,1.0,47975.5,0.5845
Grinnell College,,22486.0,11518.0,0.8162,0.3945,,,,,,,36.0,,,,,900.0,1.0,47975.5,0.5845
Hamilton Technical College,,19640.0,3830.0,,0.8358,,,,,,,,,,,,,,27754.0,0.5845
Hawkeye Community College,11495.0,,6368.0,1.0,0.3084,,,,,,,2106.0,,,,,1324.0,,36066.0,0.5845
American Hair Academy,,9127.0,,,0.8421,,,,,,,,19680.0,14.0,,,,,27754.0,0.5845
Indian Hills Community College,7217.0,,6196.0,0.3384,0.3282,,,,,,,1657.0,,,,,1344.0,,36066.0,0.5845
Iowa Central Community College,10102.0,,7593.0,1.0,0.3896,,,,,,,2095.0,,,,,1440.0,,36066.0,0.5845
Iowa Lakes Community College,10509.0,,5857.0,0.9859,0.2741,,,,,,,941.0,,,,,1384.0,,36066.0,0.5845
UnityPoint Health-Des Moines School of Radiologic Technology,,,,,0.4375,,,,,,,,,,,,,,27754.0,0.5845
American College of Hairstyling-Des Moines,,8450.0,,,0.6585,,,,,,,,23978.0,14.0,,,,,27754.0,0.5845
Iowa School of Beauty-Des Moines,,13237.0,,,0.6212,,,,,,,,19898.0,15.0,,,,,27754.0,0.5845
Iowa State University,15496.0,,11329.0,0.8351,0.4766,,,,,,5078.0,364.0,,,,,1041.0,1.0,47975.5,0.5845
Iowa Wesleyan University,,26312.0,6004.0,0.3304,0.6369,,,,,,29.0,2.0,,,,,1315.0,1.0,47975.5,0.5845
Iowa Western Community College,11477.0,,5626.0,1.0,0.4509,,,,,,,2314.0,,,,,1400.0,,36066.0,0.5845
University of Iowa,19145.0,,11308.0,0.8442,0.4269,,,,,,7758.0,562.0,,,,,950.0,1.0,47975.5,0.5845
Kirkwood Community College,10939.0,,7116.0,1.0,0.2879,,,,,,,5224.0,,,,,1000.0,,36066.0,0.5845
La James International College-Cedar Falls,,15202.0,,,0.6053,,,,,,,,20828.0,15.0,,,,,27754.0,0.5845
La James International College-Johnston,,14290.0,,,0.5056,,,,,,,,20815.0,15.0,,,,,27754.0,0.5845
La James College of Hairstyling and Cosmetology,,8394.0,,,0.775,,,,,,,,20250.0,15.0,,,,,27754.0,0.5845
La James International College-Ft Dodge,,14992.0,,,0.5789,,,,,,,,20828.0,15.0,,,,,27754.0,0.5845
Loras College,,20676.0,6777.0,0.7832,0.6856,,,,,,83.0,45.0,,,,,1100.0,1.0,47975.5,0.5845
Bethany Lutheran College,,16368.0,6609.0,0.6118,0.5602,,,,,,,149.0,,,,,800.0,1.0,47975.5,0.5845
Maharishi International University,,12441.0,3345.0,0.8906,0.6574,,,,,,1404.0,1.0,,,,,1000.0,3.0,47975.5,0.5845
Marshalltown Community College,7456.0,,7518.0,1.0,0.1828,,,,,,,1069.0,,,,,1352.0,,36066.0,0.5845
Mercy College of Health Sciences,,21989.0,5835.0,0.459,0.7675,,,,,,,4.0,,,,,1588.0,5.0,47975.5,0.5845
Morningside College,,21337.0,6969.0,1.0,0.7324,,,,,,1322.0,61.0,,,,,1300.0,1.0,47975.5,0.5845
Mount Mercy University,,20857.0,6087.0,1.0,0.7295,,,,,,365.0,13.0,,,,,1320.0,1.0,47975.5,0.5845
Ashford University,,20510.0,6588.0,0.0806,0.5666,,,,,,5706.0,520.0,,,,,1070.0,,47975.5,0.5845
North Iowa Area Community College,8409.0,,7210.0,1.0,0.2778,,,,,,,1146.0,,,,,1020.0,,36066.0,0.5845
University of Northern Iowa,15620.0,,8344.0,0.7728,0.5461,,,,,,1524.0,165.0,,,,,900.0,1.0,47975.5,0.5845
Northwestern College,,23875.0,5485.0,0.2456,0.8593,,,,,,,,,,,,1548.0,2.0,36066.0,0.5845
Northeast Iowa Community College,10505.0,,6027.0,0.3242,0.238,,,,,,,2377.0,,,,,1400.0,,36066.0,0.5845
Northwest Iowa Community College,12125.0,,6795.0,0.2292,0.1919,,,,,,,975.0,,,,,1312.0,,36066.0,0.5845
Des Moines University-Osteopathic Medical Center,,,8295.0,0.4878,,,,,,,1530.0,,,,,,,,,0.5845
Iowa School of Beauty-Ottumwa,,9278.0,,,0.4898,,,,,,,,19898.0,15.0,,,,,27754.0,0.5845
Palmer College of Chiropractic,,,6278.0,0.8086,0.7083,,,,,,2165.0,,,,,,,,47975.5,0.5845
PCI Academy-Ames,,15847.0,,,0.4502,,,,,,,,23624.0,14.0,,,,,27754.0,0.5845
Saint Ambrose University,,26204.0,7514.0,1.0,0.6812,,,,,,708.0,11.0,,,,,1320.0,1.0,47975.5,0.5845
Saint Luke's College of Health Sciences,,23068.0,7716.0,0.8387,0.7129,,,,,,129.0,24.0,,,,,400.0,,47975.5,0.5845
La James International College-Davenport,,13447.0,,,0.59,,,,,,,,20828.0,15.0,,,,,27754.0,0.5845
Simpson University,,22703.0,5763.0,1.0,0.6347,,,,,,152.0,1.0,,,,,1760.0,1.0,47975.5,0.5845
Southeastern Community College,7223.0,,6647.0,1.0,0.2578,,,,,,,876.0,,,,,1384.0,,36066.0,0.5845
Southwestern College,4694.0,,9979.0,0.2446,0.0107,,,,,,,1392.0,,,,,1971.0,,36066.0,0.5845
Capri College-Davenport,,11933.0,,,0.5152,,,,,,,,19945.0,16.0,,,,,27754.0,0.5845
Iowa School of Beauty-Sioux City,,13129.0,,,0.7302,,,,,,,,19898.0,15.0,,,,,27754.0,0.5845
New England School of Hair Design,,15286.0,,,0.4878,,,,,,,,20411.0,14.0,,,,,27754.0,0.5845
Upper Iowa University,,21624.0,5842.0,1.0,0.564,,,,,,599.0,242.0,,,,,1560.0,1.0,47975.5,0.5845
Waldorf University,,20036.0,5441.0,0.2459,0.5235,,,,,,519.0,91.0,,,,,1348.0,1.0,47975.5,0.5845
Wartburg College,,21787.0,6803.0,1.0,0.6756,,,,,,,27.0,,,,,1100.0,1.0,47975.5,0.5845
Wartburg Theological Seminary,,,6594.0,0.9091,,,,,,,186.0,,,,,,,,,0.5845
The Salon Professional Academy-Cedar Falls,,8387.0,,,0.493,,,,,,,,20165.0,16.0,,,,,27754.0,0.5845
Western Iowa Tech Community College,7201.0,,6592.0,0.307,0.3521,,,,,,,3088.0,,,,,1320.0,,27754.0,0.5845
William Penn University,,20637.0,5754.0,0.9574,0.8295,,,,,,63.0,33.0,,,,,1278.0,5.0,47975.5,0.5845
Allen County Community College,7760.0,,5786.0,0.2206,0.1169,,,,,,,1078.0,,,,,392.0,,36066.0,0.5845
Baker University,,22879.0,6031.0,0.2409,0.5075,,,,,,923.0,282.0,,,,,1200.0,1.0,47975.5,0.5845
Barton County Community College,8792.0,,5613.0,0.9589,0.1016,,,,,,,1940.0,,,,,1440.0,,36066.0,0.5845
Benedictine College,,23011.0,6922.0,0.6703,0.5503,,,,,,73.0,132.0,,,,,1200.0,1.0,47975.5,0.5845
Bethany Lutheran College,,16368.0,6609.0,0.6118,0.5602,,,,,,,149.0,,,,,800.0,1.0,47975.5,0.5845
Bethel College-North Newton,,21646.0,5622.0,0.6508,0.75,,,,,,,6.0,,,,,700.0,1.0,47975.5,0.5845
Butler Community College,13895.0,,6191.0,1.0,0.2208,,,,,,,1112.0,,,,,1200.0,,36066.0,0.5845
Central Christian College of Kansas,,14386.0,3708.0,0.338,0.8237,,,,,,,86.0,,,,,1000.0,,47975.5,0.5845
Cloud County Community College,10406.0,,3939.0,0.2216,0.1756,,,,,,,784.0,,,,,1554.0,,36066.0,0.5845
Coffeyville Community College,5377.0,,5046.0,0.6769,0.2471,,,,,,,713.0,,,,,1100.0,,36066.0,0.5845
Colby Community College,9905.0,,3484.0,0.98,0.1416,,,,,,,529.0,,,,,1200.0,,36066.0,0.5845
Cowley County Community College,7908.0,,5646.0,1.0,0.274,,,,,,,648.0,,,,,2000.0,,36066.0,0.5845
Dodge City Community College,4506.0,,6059.0,1.0,0.1047,,,,,,,81.0,,,,,1600.0,,36066.0,0.5845
Donnelly College,,11732.0,6159.0,1.0,0.3269,,,,,,,7.0,,,,,960.0,,36066.0,0.5845
Emporia State University,14822.0,,6946.0,0.8847,0.6397,,,,,,2472.0,147.0,,,,,1000.0,1.0,47975.5,0.5845
Flint Hills Technical College,13170.0,,5129.0,0.5152,0.1607,,,,,,,1116.0,,,,,1700.0,,27754.0,0.5845
Fort Hays State University,12053.0,,7106.0,0.521,0.3584,,,,,,2780.0,300.0,,,,,1000.0,2.0,47975.5,0.5845
Barclay College,,23153.0,4680.0,0.5143,0.6573,,,,,,36.0,1.0,,,,,1200.0,2.0,47975.5,0.5845
Friends University,,20686.0,6634.0,1.0,0.5265,,,,,,527.0,259.0,,,,,1500.0,1.0,47975.5,0.5845
Fort Scott Community College,5178.0,,4162.0,0.381,0.2323,,,,,,,712.0,,,,,1200.0,,27754.0,0.5845
Garden City Community College,4795.0,,5707.0,1.0,0.397,,,,,,,354.0,,,,,600.0,,36066.0,0.5845
Haskell Indian Nations University,2836.0,,6215.0,,0.0,,,,,,,4.0,,,,,1600.0,1.0,36066.0,0.5845
Hays Academy of Hair Design,,13149.0,,,0.7576,,,,,,,,15900.0,12.0,,,,,27754.0,0.5845
Hesston College,,21183.0,5065.0,0.5082,0.7661,,,,,,,,,,,,1400.0,,36066.0,0.5845
Pennsylvania Highlands Community College,7583.0,,4900.0,0.26,0.2111,,,,,,,1741.0,,,,,2000.0,,36066.0,0.5845
Hutchinson Community College,7922.0,,5085.0,1.0,0.1493,,,,,,,2082.0,,,,,1000.0,,36066.0,0.5845
Independence Community College,5885.0,,4783.0,1.0,0.2813,,,,,,,364.0,,,,,816.0,,27754.0,0.5845
Johnson County Community College,12632.0,,8148.0,0.4095,0.0908,,,,,,,7196.0,,,,,1560.0,,36066.0,0.5845
Concorde Career College-Kansas City,,25995.0,6754.0,0.7609,0.5977,,,,,,,,17482.0,8.0,,,,3.0,27754.0,0.5845
Kansas City Kansas Community College,15582.0,,7169.0,1.0,0.1144,,,,,,,2240.0,,,,,1000.0,,27754.0,0.5845
Central Christian College of Kansas,,14386.0,3708.0,0.338,0.8237,,,,,,,86.0,,,,,1000.0,,47975.5,0.5845
University of Kansas,18918.0,,10430.0,0.8515,0.4175,,,,,,7885.0,664.0,,,,,1212.0,1.0,47975.5,0.5845
Newman University,,16497.0,5805.0,0.9785,0.2176,,,,,,500.0,1708.0,,,,,1268.0,1.0,47975.5,0.5845
Old Town Barber College-Wichita,,16779.0,,,0.6333,,,,,,,,17850.0,10.0,,,,,27754.0,0.5845
Kansas State University,18285.0,,9289.0,0.9058,0.4455,,,,,,4509.0,261.0,,,,,924.0,2.0,47975.5,0.5845
Kansas Wesleyan University,,21804.0,5769.0,1.0,0.8132,,,,,,63.0,16.0,,,,,1200.0,1.0,47975.5,0.5845
Washburn Institute of Technology,11923.0,,,,0.2766,,,,,,,11.0,,,,,1200.0,3.0,27754.0,0.5845
Labette Community College,5753.0,,5687.0,0.2615,0.1084,,,,,,,244.0,,,,,1050.0,,36066.0,0.5845
Manhattan Area Technical College,13149.0,,4963.0,1.0,0.3308,,,,,,,463.0,,,,,2000.0,,27754.0,0.5845
Manhattan Christian College,,25199.0,5405.0,0.3939,0.6372,,,,,,,,,,,,2000.0,1.0,47975.5,0.5845
McPherson College,,23667.0,6601.0,0.6923,0.6995,,,,,,26.0,55.0,,,,,1420.0,1.0,47975.5,0.5845
MidAmerica Nazarene University,,26222.0,6313.0,0.9625,0.5896,,,,,,657.0,137.0,,,,,1514.0,5.0,47975.5,0.5845
Neosho County Community College,8552.0,,5148.0,0.3671,0.1657,,,,,,,839.0,,,,,1100.0,,27754.0,0.5845
North Central Kansas Technical College,12425.0,,4498.0,0.8065,0.4177,,,,,,,451.0,,,,,1790.0,,27754.0,0.5845
Northwest Kansas Technical College,10627.0,,5288.0,0.4366,0.3183,,,,,,,353.0,18897.0,17.0,,,,,27754.0,0.5845
Ottawa University-Ottawa,,24585.0,6335.0,0.9512,0.8881,,,,,,58.0,,,,,,1100.0,1.0,47975.5,0.5845
Ottawa University-Kansas City,,,4037.0,1.0,0.6006,,,,,,240.0,6.0,,,,,,,47975.5,0.5845
Pittsburg State University,14436.0,,7500.0,0.6964,0.5415,,,,,,1464.0,291.0,,,,,1000.0,5.0,47975.5,0.5845
Pratt Community College,7061.0,,5506.0,0.973,0.2083,,,,,,,560.0,,,,,2000.0,,27754.0,0.5845
Mount St. Mary's University,,27954.0,7945.0,1.0,0.6006,,,,,,464.0,67.0,,,,,1300.0,5.0,47975.5,0.5845
Salina Area Technical College,9292.0,,5544.0,0.3623,0.1168,,,,,,,515.0,,,,,999.0,,27754.0,0.5845
Seward County Community College,5222.0,,5323.0,0.5133,0.0674,,,,,,,740.0,,,,,800.0,,27754.0,0.5845
Southwestern College,4694.0,,9979.0,0.2446,0.0107,,,,,,,1392.0,,,,,1971.0,,36066.0,0.5845
Northeastern Junior College,13512.0,,5690.0,0.6933,0.3251,,,,,,,373.0,,,,,1800.0,,27754.0,0.5845
Tabor College,,24221.0,4766.0,1.0,0.7165,,,,,,65.0,58.0,,,,,1200.0,1.0,47975.5,0.5845
Washburn University,14481.0,,7563.0,0.6293,0.4329,,,,,,813.0,901.0,,,,,1000.0,,47975.5,0.5845
Wichita State University-Campus of Applied Sciences and Technology,11308.0,,4793.0,0.2143,0.2726,,,,,,,2389.0,,,,,1168.0,,27754.0,0.5845
