School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
Florence-Darlington Technical College,0.3836,0.3934,0.03,0.0076,0.0114,0.0,0.0136,0.0009,0.1596,0.3464,0.6536,,,,,,2,1
Francis Marion University,0.4894,0.3969,0.0332,0.0139,0.0045,0.0003,0.0354,0.0148,0.0116,0.3218,0.6782,,,,,,4,1
Furman University,0.7911,0.0618,0.0524,0.0255,0.0022,0.0007,0.0311,0.0247,0.0105,0.3954,0.6046,,,,,,4,2
Greenville Technical College,0.583,0.2173,0.1135,0.0208,0.0022,0.0011,0.0402,0.0062,0.0157,0.4075,0.5925,,,,,,2,1
Horry-Georgetown Technical College,0.6664,0.1994,0.0622,0.0095,0.0043,0.0022,0.0426,0.001,0.0123,0.3561,0.6439,,,,,,2,1
Kenneth Shuler School of Cosmetology-North Augusta,0.5954,0.3817,0.0229,0.0,0.0,0.0,0.0,0.0,0.0,0.0534,0.9466,,,,,,1,3
Kenneth Shuler School of Cosmetology and Nails-Columbia,0.3521,0.5845,0.0493,0.007,0.0,0.007,0.0,0.0,0.0,0.0352,0.9648,,,,,,1,3
Lander University,0.6353,0.263,0.0257,0.0079,0.0059,0.0007,0.0392,0.0059,0.0165,0.318,0.682,,,,,,4,1
Limestone University,0.4584,0.4338,0.0425,0.0047,0.0057,0.0009,0.0005,0.034,0.0194,0.4471,0.5529,,,,,,4,2
Medical University of South Carolina,0.7262,0.0892,0.0523,0.0338,0.0,0.0,0.04,0.0,0.0585,0.1569,0.8431,,,,,,4,1
Midlands Technical College,0.4678,0.3272,0.0675,0.0229,0.0032,0.0009,0.0483,0.0,0.0622,0.3887,0.6113,,,,,,2,1
Robert Morris University Illinois,0.2569,0.3077,0.3492,0.0294,0.0013,0.002,0.0167,0.012,0.0247,0.5552,0.4448,,,,,,4,2
Newberry College,0.5071,0.3074,0.0246,0.0055,0.004,0.0016,0.0325,0.0563,0.061,0.5658,0.4342,,,,,,3,2
North Greenville University,0.7739,0.0734,0.0418,0.0082,0.0016,0.0011,0.031,0.0011,0.0679,0.4799,0.5201,,,,,,4,2
Orangeburg Calhoun Technical College,0.4442,0.5015,0.0169,0.0072,0.0048,0.0006,0.0145,0.0,0.0103,0.2855,0.7145,,,,,,2,1
Piedmont Technical College,0.5444,0.3544,0.0648,0.0075,0.0033,0.0,0.0256,0.0,0.0,0.325,0.675,,,,,,2,1
Presbyterian College,0.693,0.1618,0.0536,0.0117,0.001,0.0,0.0439,0.0312,0.0039,0.4912,0.5088,,,,,,4,2
University of South Carolina Aiken,0.5834,0.2632,0.0524,0.0101,0.003,0.001,0.051,0.024,0.0118,0.3456,0.6544,,,,,,4,1
University of South Carolina Beaufort,0.6001,0.2196,0.0847,0.0105,0.005,0.001,0.0493,0.0144,0.0154,0.3177,0.6823,,,,,,3,1
University of South Carolina-Columbia,0.7559,0.0839,0.0504,0.0338,0.0018,0.0009,0.0399,0.026,0.0072,0.4625,0.5375,,,,,,4,1
University of South Carolina-Lancaster,0.6675,0.1881,0.049,0.0142,0.0039,0.0013,0.0399,0.009,0.0271,0.4072,0.5928,,,,,,2,1
University of South Carolina-Salkehatchie,0.4592,0.3121,0.0603,0.0,0.0018,0.0,0.0195,0.0266,0.1206,0.367,0.633,,,,,,2,1
University of South Carolina-Sumter,0.5589,0.2534,0.0715,0.0164,0.0045,0.0015,0.0492,0.0194,0.0253,0.4829,0.5171,,,,,,2,1
University of South Carolina-Union,0.5439,0.277,0.0372,0.0,0.0034,0.0,0.0439,0.0068,0.0878,0.4493,0.5507,,,,,,2,1
Coastal Carolina University,0.67,0.1803,0.0545,0.0085,0.004,0.0012,0.0473,0.0117,0.0225,0.4522,0.5478,,,,,,4,1
South Carolina State University,0.0245,0.9491,0.0047,0.0014,0.0019,0.0005,0.0028,0.0005,0.0146,0.4713,0.5287,,,,,,4,1
University of South Carolina-Upstate,0.5026,0.3272,0.066,0.0273,0.0027,0.0008,0.0428,0.0157,0.0151,0.3338,0.6662,,,,,,4,1
Sherman College of Chiropractic,,,,,,,,,,,,,,,,,4,2
Spartanburg Methodist College,0.4753,0.383,0.0901,0.0064,0.0011,0.0,0.0386,0.0054,0.0,0.5097,0.4903,,,,,,2,2
Spartanburg Community College,0.5854,0.2206,0.0902,0.0389,0.0014,0.0016,0.0458,0.0,0.0162,0.4179,0.5821,,,,,,2,1
Central Carolina Technical College,0.4679,0.4437,0.0395,0.0071,0.0015,0.0007,0.0242,0.0,0.0153,0.3274,0.6726,,,,,,2,1
Tri-County Technical College,0.7621,0.104,0.0654,0.0123,0.003,0.0002,0.0427,0.0,0.0102,0.4728,0.5272,,,,,,2,1
Trident Technical College,0.5578,0.2828,0.073,0.0184,0.0043,0.0034,0.0414,0.0,0.0189,0.3884,0.6116,,,,,,2,1
Voorhees College,0.0078,0.9765,0.0,0.0,0.0,0.0,0.0,0.0157,0.0,0.4196,0.5804,,,,,,3,2
Williamsburg Technical College,0.3607,0.6276,0.0,0.0047,0.007,0.0,0.0,0.0,0.0,0.2295,0.7705,,,,,,2,1
Winthrop University,0.5533,0.3126,0.061,0.0126,0.0041,0.0014,0.0407,0.0137,0.0007,0.313,0.687,,,,,,4,1
Wofford College,0.8005,0.0838,0.0442,0.0192,0.0012,0.0,0.0291,0.0198,0.0023,0.4788,0.5212,,,,,,3,2
CUNY New York City College of Technology,0.1011,0.2774,0.3458,0.2038,0.0036,0.0026,0.0208,0.0449,0.0,0.5614,0.4386,,,,,,3,1
Augustana University,0.8482,0.0232,0.0312,0.0159,0.0079,0.0006,0.0159,0.0555,0.0017,0.3649,0.6351,,,,,,4,2
The Salon Professional Academy,0.7193,0.0175,0.0351,0.0175,0.1579,0.0,0.0526,0.0,0.0,0.0175,0.9825,,,,,,1,3
