School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
Black Hills State University,0.8084,0.0124,0.0575,0.0091,0.0385,0.0008,0.0493,0.0137,0.0103,0.3576,0.6424,,,,,,4,1
North Dakota State University-Main Campus,0.8669,0.0268,0.028,0.0146,0.006,0.0007,0.0367,0.0123,0.0081,0.5352,0.4648,,,,,,4,1
Dakota Wesleyan University,0.8428,0.0139,0.0723,0.0083,0.0181,0.0014,0.0278,0.0153,0.0,0.4312,0.5688,,,,,,4,2
Headlines Academy Inc,0.75,0.0,0.0,0.0125,0.175,0.0125,0.0375,0.0,0.0125,0.0125,0.9875,,,,,,1,3
Lake Area Technical College,0.9058,0.0099,0.0165,0.0094,0.0248,0.0006,0.0006,0.0017,0.0308,0.5424,0.4576,,,,,,2,1
Avera McKennan Hospital School of Radiologic Technology,0.9167,0.0,0.0,0.0417,0.0,0.0417,0.0,0.0,0.0,0.125,0.875,,,,,,1,2
Mitchell Technical College,0.8976,0.0051,0.0358,0.0154,0.0287,0.001,0.0143,0.0,0.002,0.6776,0.3224,,,,,,2,1
Mount Marty University,0.7637,0.0532,0.0915,0.0067,0.0233,0.0017,0.0067,0.0349,0.0183,0.4542,0.5458,,,,,,4,2
National American University-Rapid City,0.4874,0.3054,0.0927,0.0195,0.0216,0.0035,0.0049,0.0,0.0649,0.357,0.643,,,,,,4,3
Sioux Falls Seminary,,,,,,,,,,,,,,,,,4,2
Montana State University-Northern,0.7115,0.0239,0.0542,0.0054,0.0998,0.0087,0.0748,0.0141,0.0076,0.5488,0.4512,,,,,,4,1
Oglala Lakota College,0.0253,0.0016,0.0057,0.0,0.9632,0.0,0.0033,0.0,0.0008,0.3399,0.6601,,,,,,4,1
Presentation College,0.6955,0.0973,0.0757,0.0144,0.0198,0.0036,0.0324,0.0396,0.0216,0.3712,0.6288,,,,,,3,2
Avera Sacred Heart Hospital,0.9375,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.9375,,,,,,1,2
South Dakota School of Mines and Technology,0.8311,0.0155,0.0551,0.0127,0.0094,0.0,0.0424,0.0264,0.0075,0.768,0.232,,,,,,4,1
South Dakota State University,0.8688,0.018,0.0252,0.0099,0.0107,0.0002,0.0229,0.0377,0.0064,0.4803,0.5197,,,,,,4,1
Sinte Gleska University,0.0599,0.0,0.0,0.0,0.9401,0.0,0.0,0.0,0.0,0.2603,0.7397,,,,,,4,1
University of Sioux Falls,0.8347,0.0452,0.0208,0.0096,0.0059,0.0022,0.0593,0.0104,0.0119,0.3677,0.6323,,,,,,4,2
Sanford Medical Center,0.7917,0.0,0.0417,0.0833,0.0,0.0417,0.0,0.0,0.0417,0.1667,0.8333,,,,,,1,2
Sisseton Wahpeton College,0.0696,0.0696,0.0261,0.0,0.8348,0.0,0.0,0.0,0.0,0.4348,0.5652,,,,,,2,1
Minnesota State College Southeast,0.8188,0.0501,0.0598,0.0246,0.0088,0.0009,0.029,0.0035,0.0044,0.4987,0.5013,,,,,,2,1
Stewart School,0.812,0.0513,0.0427,0.0,0.0513,0.0,0.0085,0.0,0.0342,0.0,1.0,,,,,,1,3
South Dakota State University,0.8688,0.018,0.0252,0.0099,0.0107,0.0002,0.0229,0.0377,0.0064,0.4803,0.5197,,,,,,4,1
Western Dakota Technical College,0.7483,0.021,0.0583,0.0128,0.1235,0.0047,0.0291,0.0,0.0023,0.4406,0.5594,,,,,,2,1
American Baptist College,0.0101,0.9293,0.0,0.0202,0.0,0.0,0.0,0.0404,0.0,0.6768,0.3232,,,,,,3,2
Arnolds Beauty School,0.8636,0.0,0.1061,0.0,0.0,0.0,0.0303,0.0,0.0,0.0,1.0,,,,,,1,3
Tennessee College of Applied Technology-Athens,0.9048,0.0346,0.039,0.0087,0.0043,0.0,0.0043,0.0,0.0043,0.5758,0.4242,,,,,,1,1
Austin Peay State University,0.5744,0.2266,0.0877,0.016,0.0026,0.0021,0.0652,0.0056,0.0197,0.4165,0.5835,,,,,,4,1
Baptist Health Sciences University,0.467,0.4063,0.0796,0.0168,0.0,0.001,0.0199,0.0,0.0094,0.0995,0.9005,,,,,,3,2
Belmont University,0.7989,0.0493,0.0637,0.0207,0.0034,0.001,0.0427,0.0078,0.0124,0.3515,0.6485,,,,,,4,2
Bethel Seminary-San Diego,,,,,,,,,,,,,,,,,4,2
Bryan College-Dayton,0.8434,0.0558,0.0297,0.0047,0.0047,0.0012,0.0202,0.0308,0.0095,0.4769,0.5231,,,,,,4,2
Carson-Newman University,0.7841,0.0871,0.0447,0.0062,0.0068,0.0011,0.0237,0.0339,0.0124,0.4031,0.5969,,,,,,4,2
Chattanooga State Community College,0.7214,0.139,0.0682,0.0173,0.0023,0.0008,0.0453,0.0034,0.0023,0.3764,0.6236,,,,,,2,1
Christian Brothers University,0.347,0.2195,0.0762,0.0499,0.0055,0.0035,0.0512,0.0429,0.2043,0.4848,0.5152,,,,,,4,2
Pentecostal Theological Seminary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4,2
Austin's Beauty College Inc,0.5089,0.3661,0.0625,0.0,0.0,0.0089,0.0446,0.0,0.0089,0.0357,0.9643,,,,,,1,3
Cleveland State Community College,0.8338,0.0693,0.0685,0.0125,0.0038,0.0021,0.0004,0.0004,0.0092,0.4357,0.5643,,,,,,2,1
Columbia State Community College,0.782,0.0752,0.0772,0.0137,0.0026,0.001,0.0332,0.0034,0.0117,0.3992,0.6008,,,,,,2,1
Concorde Career College-Memphis,0.093,0.4085,0.0328,0.0091,0.003,0.0008,0.0122,0.0,0.4405,0.1059,0.8941,,,,,,2,3
Tennessee College of Applied Technology-Covington,0.6655,0.2606,0.0282,0.0035,0.0,0.007,0.0246,0.0035,0.007,0.4824,0.5176,,,,,,1,1
University of the Cumberlands,0.1403,0.0072,0.0042,0.0015,0.0009,0.0,0.0015,0.0051,0.8393,0.3967,0.6033,,,,,,4,2
Lipscomb University,0.7354,0.0732,0.0749,0.031,0.0021,0.0014,0.0289,0.0352,0.0179,0.3966,0.6034,,,,,,4,2
Tennessee College of Applied Technology-Dickson,0.7111,0.1172,0.077,0.0177,0.0064,0.0016,0.0353,0.0032,0.0305,0.5474,0.4526,,,,,,1,1
Hussian College-Daymar College Nashville,0.3204,0.5028,0.0331,0.011,0.0055,0.0,0.0829,0.0221,0.0221,0.2099,0.7901,,,,,,3,3
Dyersburg State Community College,0.7196,0.2019,0.0344,0.0044,0.0058,0.0,0.0247,0.0019,0.0073,0.291,0.709,,,,,,2,1
East Tennessee State University,0.8109,0.0653,0.0322,0.0145,0.0021,0.0009,0.0396,0.0206,0.014,0.4107,0.5893,,,,,,4,1
Chattanooga College Medical Dental and Technical Careers,0.6083,0.3002,0.0676,0.0099,0.0,0.0139,0.0,0.0,0.0,0.0875,0.9125,,,,,,2,3
Tennessee College of Applied Technology-Elizabethton,0.879,0.0183,0.0297,0.0,0.0,0.0183,0.0205,0.0046,0.0297,0.5046,0.4954,,,,,,1,1
The Hair Academy LLC,0.8235,0.0784,0.0196,0.0,0.0,0.0,0.0784,0.0,0.0,0.0588,0.9412,,,,,,1,3
Fisk University,0.0048,0.8417,0.0107,0.0036,0.0,0.0,0.0179,0.056,0.0655,0.3131,0.6869,,,,,,4,2
Welch College,0.8386,0.0667,0.0456,0.0105,0.0,0.0,0.0351,0.0035,0.0,0.4421,0.5579,,,,,,4,2
Freed-Hardeman University,0.8731,0.0408,0.0037,0.0052,0.0089,0.0015,0.0111,0.0104,0.0453,0.4496,0.5504,,,,,,4,2
Tennessee College of Applied Technology-Harriman,0.8651,0.0317,0.0476,0.004,0.0,0.0,0.0317,0.004,0.0159,0.6508,0.3492,,,,,,1,1
Tennessee College of Applied Technology-Hartsville,0.8456,0.0667,0.0351,0.0035,0.0035,0.007,0.0316,0.0035,0.0035,0.7053,0.2947,,,,,,1,1
Tennessee College of Applied Technology-Hohenwald,0.7824,0.0441,0.0441,0.0088,0.0059,0.0059,0.0059,0.0,0.1029,0.5059,0.4941,,,,,,1,1
Tennessee College of Applied Technology-Jacksboro,0.9736,0.0075,0.0113,0.0,0.0,0.0075,0.0,0.0,0.0,0.566,0.434,,,,,,1,1
Jackson State Community College,0.6544,0.2352,0.0375,0.0085,0.0025,0.0,0.0263,0.0,0.0356,0.3148,0.6852,,,,,,2,1
John A Gupton College,0.8476,0.1098,0.0244,0.0122,0.0061,0.0,0.0,0.0,0.0,0.4756,0.5244,,,,,,2,2
Johnson University Florida,0.4725,0.1978,0.2033,0.0055,0.0,0.0055,0.0275,0.0495,0.0385,0.5714,0.4286,,,,,,4,2
Paul Mitchell the School-Murfreesboro,0.5945,0.2627,0.0691,0.0184,0.0,0.0,0.0138,0.0,0.0415,0.0276,0.9724,,,,,,1,3
Texas A & M University-Kingsville,0.1586,0.0475,0.7273,0.008,0.0006,0.0019,0.0122,0.041,0.003,0.5132,0.4868,,,,,,4,1
South Seattle College,0.2851,0.128,0.1226,0.1349,0.0049,0.0074,0.1137,0.1137,0.0896,0.5209,0.4791,,,,,,3,1
Laney College,0.1515,0.2034,0.2184,0.2602,0.0024,0.0055,0.0521,0.0542,0.0523,0.458,0.542,,,,,,2,1
Le Moyne-Owen College,0.0036,0.9725,0.006,0.0012,0.0024,0.0,0.0,0.0144,0.0,0.3377,0.6623,,,,,,3,2
Washington and Lee University,0.7933,0.0304,0.0553,0.0364,0.0,0.0,0.0396,0.0396,0.0054,0.4965,0.5035,,,,,,4,2
Lincoln Memorial University,0.8629,0.0654,0.0026,0.0136,0.0126,0.0,0.0,0.0,0.0429,0.2857,0.7143,,,,,,4,2
Tennessee College of Applied Technology-Livingston,0.8943,0.0086,0.0343,0.0029,0.0086,0.0,0.0086,0.0057,0.0371,0.4857,0.5143,,,,,,1,1
Martin Methodist College,0.7211,0.1157,0.0334,0.0051,0.0039,0.0013,0.0308,0.0501,0.0386,0.4203,0.5797,,,,,,4,2
Maryville College,0.7596,0.0997,0.0606,0.0084,0.0047,0.0,0.0336,0.0177,0.0158,0.4399,0.5601,,,,,,3,2
Tennessee College of Applied Technology-McKenzie,0.8219,0.0959,0.0411,0.0,0.0,0.0,0.0411,0.0,0.0,0.8767,0.1233,,,,,,1,1
Genesis Career College-Cookeville,0.2872,0.6809,0.0213,0.0,0.0,0.0,0.0106,0.0,0.0,0.2021,0.7979,,,,,,1,3
Meharry Medical College,,,,,,,,,,,,,,,,,4,2
Tennessee College of Applied Technology-Memphis,0.1909,0.6808,0.0465,0.0121,0.002,0.002,0.0202,0.0071,0.0384,0.6576,0.3424,,,,,,1,1
University of Memphis,0.4663,0.3614,0.0633,0.0373,0.0023,0.0005,0.0399,0.0141,0.0148,0.4082,0.5918,,,,,,4,1
Memphis Theological Seminary,,,,,,,,,,,,,,,,,4,2
Middle Tennessee State University,0.6324,0.1927,0.0678,0.0382,0.0023,0.0007,0.0386,0.0261,0.0011,0.4715,0.5285,,,,,,4,1
Middle Tennessee School of Anesthesia Inc,,,,,,,,,,,,,,,,,4,2
Tennessee College of Applied Technology-Morristown,0.8871,0.0186,0.0592,0.0011,0.0055,0.0022,0.0197,0.0055,0.0011,0.7292,0.2708,,,,,,1,1
Motlow State Community College,0.7135,0.1171,0.0951,0.0269,0.0025,0.0018,0.0324,0.0023,0.0084,0.376,0.624,,,,,,2,1
Tennessee College of Applied Technology-Murfreesboro,0.5779,0.2862,0.038,0.0326,0.0127,0.0054,0.0236,0.0109,0.0127,0.6775,0.3225,,,,,,1,1
Lincoln College of Technology-Nashville,0.5622,0.3329,0.0729,0.0069,0.0019,0.0019,0.0132,0.0,0.0082,0.9548,0.0452,,,,,,2,3
Nashville State Community College,0.5019,0.2957,0.0996,0.0397,0.003,0.0017,0.0406,0.0056,0.0121,0.3936,0.6064,,,,,,2,1
Tennessee College of Applied Technology-Newbern,0.7676,0.156,0.0336,0.0031,0.0031,0.0031,0.0275,0.0,0.0061,0.6361,0.3639,,,,,,1,1
Tennessee College of Applied Technology-Paris,0.8167,0.0833,0.025,0.0042,0.0042,0.0,0.0417,0.0125,0.0125,0.45,0.55,,,,,,1,1
Tennessee College of Applied Technology-Pulaski,0.8505,0.0676,0.0249,0.0071,0.0,0.0036,0.0214,0.0071,0.0178,0.6904,0.3096,,,,,,1,1
James A Rhodes State College,0.8508,0.0711,0.0159,0.0053,0.0024,0.0018,0.0217,0.0,0.0311,0.2814,0.7186,,,,,,2,1
Tennessee College of Applied Technology-Ripley,0.3871,0.5742,0.0129,0.0,0.0,0.0,0.0258,0.0,0.0,0.2968,0.7032,,,,,,1,1
Roane State Community College,0.8838,0.0282,0.0396,0.0074,0.0025,0.0014,0.0252,0.0007,0.0111,0.3328,0.6672,,,,,,2,1
Tennessee College of Applied Technology-Crump,0.8997,0.0485,0.0129,0.0,0.0,0.0,0.0194,0.0032,0.0162,0.6052,0.3948,,,,,,1,1
Southwest Tennessee Community College,0.2481,0.6219,0.0697,0.0191,0.0022,0.0014,0.0255,0.0078,0.0043,0.3439,0.6561,,,,,,2,1
Tennessee College of Applied Technology-Shelbyville,0.7661,0.0824,0.0891,0.0067,0.0022,0.0,0.0267,0.0134,0.0134,0.7639,0.2361,,,,,,1,1
The University of the South,0.8238,0.0407,0.0527,0.0132,0.0006,0.0,0.0318,0.0371,0.0,0.4883,0.5117,,,,,,4,2
Tennessee College of Applied Technology-Oneida-Huntsville,0.9621,0.0032,0.0158,0.0032,0.0063,0.0,0.0095,0.0,0.0,0.6341,0.3659,,,,,,1,1
Tennessee College of Applied Technology-Crossville,0.9309,0.0133,0.0186,0.0027,0.0027,0.0,0.016,0.0,0.016,0.617,0.383,,,,,,1,1
Tennessee College of Applied Technology-McMinnville,0.9025,0.0297,0.0381,0.0042,0.0042,0.0,0.0169,0.0,0.0042,0.7415,0.2585,,,,,,1,1
Tennessee College of Applied Technology-Jackson,0.6905,0.2148,0.0384,0.0026,0.0026,0.0,0.0332,0.0026,0.0153,0.6368,0.3632,,,,,,1,1
Tennessee College of Applied Technology-Knoxville,0.7545,0.1258,0.0485,0.0106,0.003,0.003,0.0258,0.0061,0.0227,0.5303,0.4697,,,,,,1,1
Tennessee College of Applied Technology-Whiteville,0.4074,0.5333,0.0222,0.0074,0.0,0.0,0.0148,0.0074,0.0074,0.6148,0.3852,,,,,,1,1
Pellissippi State Community College,0.7921,0.0681,0.0596,0.0231,0.0033,0.0016,0.0376,0.0086,0.0061,0.4794,0.5206,,,,,,2,1
Southern Adventist University,0.4057,0.0861,0.2446,0.1183,0.0004,0.0081,0.0724,0.0643,0.0,0.4314,0.5686,,,,,,4,2
Marshall B Ketchum University,,,,,,,,,,,,,,,,,4,2
Tennessee Wesleyan University,0.7121,0.1072,0.0464,0.0087,0.0019,0.001,0.0242,0.0599,0.0386,0.3758,0.6242,,,,,,4,2
The University of Tennessee-Chattanooga,0.7544,0.0971,0.0558,0.0243,0.0018,0.0004,0.0266,0.0132,0.0264,0.4356,0.5644,,,,,,4,1
The University of Tennessee-Knoxville,0.7843,0.0587,0.0466,0.0405,0.0017,0.001,0.0381,0.0121,0.017,0.4894,0.5106,,,,,,4,1
The University of Tennessee-Martin,0.7869,0.1343,0.0314,0.0065,0.0029,0.0,0.0274,0.0107,0.0,0.4041,0.5959,,,,,,4,1
Tennessee School of Beauty of Knoxville Inc,0.9365,0.0357,0.0,0.0238,0.0,0.004,0.0,0.0,0.0,0.0079,0.9921,,,,,,1,3
East Tennessee State University,0.8109,0.0653,0.0322,0.0145,0.0021,0.0009,0.0396,0.0206,0.014,0.4107,0.5893,,,,,,4,1
Tennessee Technological University,0.8382,0.0376,0.0373,0.0157,0.0016,0.0005,0.0423,0.0214,0.0055,0.5486,0.4514,,,,,,4,1
Trevecca Nazarene University,0.6068,0.1247,0.1005,0.0147,0.0036,0.0004,0.0286,0.067,0.0536,0.3878,0.6122,,,,,,4,2
Northeast Alabama Community College,0.8035,0.0213,0.121,0.0051,0.0248,0.0015,0.0223,0.0005,0.0,0.3727,0.6273,,,,,,2,1
Tusculum University,0.6532,0.1373,0.0405,0.0024,0.0056,0.0008,0.0111,0.0786,0.0706,0.4579,0.5421,,,,,,4,2
Union Institute & University,0.3493,0.1755,0.3129,0.0132,0.0033,0.0066,0.0248,0.0,0.1142,0.4321,0.5679,,,,,,4,2
Vanderbilt University,0.4405,0.11,0.1006,0.1431,0.0045,0.0032,0.0555,0.0962,0.0464,0.4841,0.5159,,,,,,4,2
Volunteer State Community College,0.7509,0.0963,0.0753,0.0117,0.0032,0.0015,0.033,0.0023,0.0257,0.3898,0.6102,,,,,,2,1
Walters State Community College,0.8673,0.0265,0.0569,0.0103,0.0034,0.0011,0.0267,0.0043,0.0036,0.3589,0.6411,,,,,,2,1
William R Moore College of Technology,0.4791,0.4116,0.0804,0.0032,0.0032,0.0,0.0064,0.0,0.0161,0.9421,0.0579,,,,,,2,2
Abilene Christian University,0.6269,0.0865,0.1861,0.0128,0.004,0.0009,0.0454,0.0334,0.004,0.3945,0.6055,,,,,,4,2
Alvin Community College,0.441,0.1014,0.3827,0.0364,0.008,0.0003,0.0,0.0213,0.0089,0.4126,0.5874,,,,,,2,1
Amarillo College,0.4113,0.0602,0.4542,0.0311,0.0059,0.0009,0.0231,0.0,0.0133,0.3399,0.6601,,,,,,2,1
Amberton University,0.4118,0.2567,0.1016,0.0374,0.0,0.0107,0.0,0.1604,0.0214,0.3209,0.6791,,,,,,4,2
Angelina College,0.482,0.1423,0.3212,0.0084,0.0068,0.0013,0.024,0.011,0.0029,0.3352,0.6648,,,,,,2,1
Angelo State University,0.4635,0.0711,0.3882,0.0093,0.0037,0.001,0.0327,0.0294,0.001,0.4356,0.5644,,,,,,4,1
Arlington Baptist University,0.5241,0.3034,0.131,0.0138,0.0138,0.0069,0.0,0.0,0.0069,0.6207,0.3793,,,,,,4,2
Arlington Career Institute,0.2967,0.3056,0.3294,0.003,0.0593,0.0,0.0,0.0,0.0059,0.0801,0.9199,,,,,,1,3
The Art Institute of Houston,0.2065,0.3274,0.3496,0.0354,0.0103,0.0088,0.0,0.0457,0.0162,0.5162,0.4838,,,,,,3,3
Austin's Beauty College Inc,0.5089,0.3661,0.0625,0.0,0.0,0.0089,0.0446,0.0,0.0089,0.0357,0.9643,,,,,,1,3
Austin Community College District,0.398,0.0838,0.3966,0.054,0.0058,0.002,0.0346,0.0165,0.0086,0.4306,0.5694,,,,,,2,1
Austin Presbyterian Theological Seminary,,,,,,,,,,,,,,,,,4,2
Baldwin Beauty School-South Austin,0.4423,0.0,0.4423,0.0,0.0,0.0385,0.0,0.0,0.0769,0.0577,0.9423,,,,,,1,3
Baptist Health System School of Health Professions,0.2683,0.065,0.4133,0.02,0.0033,0.0033,0.2183,0.0,0.0083,0.1633,0.8367,,,,,,3,3
Baptist Missionary Association Theological Seminary,0.4699,0.1807,0.253,0.0,0.0,0.0,0.0,0.0482,0.0482,0.8916,0.1084,,,,,,4,2
Baylor College of Medicine,,,,,,,,,,,,,,,,,4,2
University of Mary Hardin-Baylor,0.532,0.1377,0.2325,0.0168,0.006,0.0015,0.0336,0.0093,0.0306,0.3495,0.6505,,,,,,4,2
Coastal Bend College,0.1755,0.0308,0.7476,0.0056,0.0033,0.0005,0.014,0.0,0.0229,0.3476,0.6524,,,,,,2,1
Blinn College,0.5868,0.1015,0.2287,0.0238,0.0051,0.0015,0.0369,0.0037,0.012,0.4877,0.5123,,,,,,2,1
Remington College-Dallas Campus,0.1806,0.321,0.4387,0.0161,0.0016,0.0048,0.0306,0.0048,0.0016,0.2887,0.7113,,,,,,3,2
Vet Tech Institute of Houston,0.3807,0.0457,0.4264,0.0152,0.0,0.0,0.0711,0.0,0.0609,0.066,0.934,,,,,,2,3
Brazosport College,0.4266,0.0708,0.4416,0.0128,0.0036,0.0007,0.0279,0.0,0.0161,0.481,0.519,,,,,,3,1
North Central Texas College,0.5317,0.0859,0.264,0.0338,0.008,0.0013,0.0375,0.0341,0.0036,0.4287,0.5713,,,,,,2,1
Charles and Sues School of Hair Design,0.4706,0.1176,0.3529,0.0,0.0,0.0,0.0588,0.0,0.0,0.0588,0.9412,,,,,,1,3
Cisco College,0.5904,0.0744,0.2702,0.0064,0.0064,0.0087,0.0386,0.0046,0.0003,0.3693,0.6307,,,,,,2,1
Clarendon College,0.492,0.0675,0.2327,0.0047,0.0077,0.0006,0.0006,0.0148,0.1794,0.4654,0.5346,,,,,,2,1
Concordia University Texas,0.4181,0.1145,0.3446,0.0409,0.0072,0.0017,0.0343,0.0006,0.0382,0.3153,0.6847,,,,,,4,2
North Central Texas College,0.5317,0.0859,0.264,0.0338,0.008,0.0013,0.0375,0.0341,0.0036,0.4287,0.5713,,,,,,2,1
Cosmetology Career Center LLC,0.4067,0.2416,0.2355,0.0245,0.0,0.0031,0.0795,0.0,0.0092,0.0428,0.9572,,,,,,1,3
Dallas Baptist University,0.6052,0.0953,0.1858,0.0243,0.0043,0.0025,0.017,0.0656,0.0,0.4143,0.5857,,,,,,4,2
Dallas Christian College,0.4197,0.2487,0.1554,0.0207,0.0104,0.0,0.1244,0.0052,0.0155,0.5751,0.4249,,,,,,3,2
Dallas Institute of Funeral Service,0.5472,0.2559,0.1181,0.0039,0.0157,0.0,0.0551,0.0,0.0039,0.3268,0.6732,,,,,,2,2
Dallas Theological Seminary,,,,,,,,,,,,,,,,,4,2
The University of Texas at Dallas,0.3014,0.0547,0.1823,0.3509,0.0011,0.0017,0.041,0.0428,0.0239,0.5678,0.4322,,,,,,4,1
Del Mar College,0.2302,0.0271,0.694,0.0219,0.0022,0.0015,0.009,0.003,0.011,0.4061,0.5939,,,,,,2,1
East Texas Baptist University,0.6321,0.1766,0.1244,0.0066,0.0052,0.0015,0.0427,0.0081,0.0029,0.4459,0.5541,,,,,,4,2
