School,enrolled,over_25,over_23,independent,dependent,unemployment,median_family_income,poverty_rate,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_writing,sat_mid_overall,region
Yeshiva Yesoda Hatorah Vetz Chaim,,,,,,,,,,,,,,2
Glendale Career College-Brightwood Teachout,,0.9198,,,,,,,,,,,,8
West Virginia Junior College-United Career Institute,,0.3718,,,,,,,,,,,,2
Aviation Institute of Maintenance-Charlotte,,0.5,,,,,,,,,,,,5
Ponce Health Sciences University-East,,0.0976,,,,,,,0.4308,,,,,9
Fortis College-Landover,,0.3632,,,,,,,,,,,,2
Stautzenberger College-Rockford Career College,,0.4746,,,,,,,,,,,,3
WellSpring School of Allied Health-Wichita,,0.5789,,,,,,,,,,,,4
Access Careers-Islandia,,0.4921,,,,,,,,,,,,2
Troy University-Phenix City Campus,,,,,,,,,,,,,,5
Troy University-Montgomery Campus,,,,,,,,,,,,,,5
Troy University-Dothan Campus,,,,,,,,,,,,,,5
Troy University-Online,,,,,,,,,,,,,,5
Troy University-Support Sites,,,,,,,,,,,,,,5
Arkansas College of Barbering and Hair Design,,0.2439,,,,,,,,,,,,5
Harding School of Theology,,,,,,,,,,,,,,5
Career Academy of Hair Design-Siloam Springs,,,,,,,,,,,,,,5
Career Academy of Hair Design-Rogers,,,,,,,,,,,,,,5
Career Academy of Hair Design-Fayetteville,,,,,,,,,,,,,,5
Career Academy of Hair Design - Fort Smith,,,,,,,,,,,,,,5
University of Arkansas Community College at Hope - Texarkana,,,,,,,,,,,,,,5
Alliant International University-Fresno,,,,,,,,,,,,,,8
Alliant International University-Los Angeles,,,,,,,,,,,,,,8
Alliant International University-San Francisco,,,,,,,,,,,,,,8
Alliant International University-Irvine,,,,,,,,,,,,,,8
Alliant International University-Sacramento,,,,,,,,,,,,,,8
Flashpoint Chicago A Campus of Columbia College Hollywood,,,,,,,,,,,,,,3
San Jose Campus,,,,,,,,,,,,,,8
Golden Gate University-Seattle,,,,,,,,,,,,,,8
Golden Gate University-Silicon Valley,,,,,,,,,,,,,,8
