School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,region
Reid State Technical College,0.3211,0.6575,0.0061,0.0,0.0061,0.0,0.0092,0.0,0.0,0.2966,0.7034,2,1,5
Bishop State Community College,0.2376,0.6748,0.026,0.0173,0.0074,0.0009,0.0186,0.0143,0.003,0.3703,0.6297,2,1,5
Samford University,0.8502,0.0667,0.0326,0.0103,0.002,0.0003,0.0232,0.0117,0.0031,0.3336,0.6664,4,2,5
Selma University,0.0161,0.9742,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.4323,0.5677,4,2,5
Shelton State Community College,0.5354,0.3655,0.0366,0.0062,0.0035,0.0,0.025,0.0054,0.0223,0.4369,0.5631,2,1,5
Snead State Community College,0.647,0.0802,0.1754,0.0069,0.0097,0.0011,0.0372,0.0011,0.0413,0.3943,0.6057,2,1,5
University of South Alabama,0.6109,0.2213,0.0413,0.0317,0.0066,0.0011,0.0392,0.021,0.027000000000000003,0.4029,0.5971,4,1,5
Spring Hill College,0.6791,0.141,0.0363,0.013,0.0026,0.0026,0.0285,0.045,0.0519,0.3763,0.6237,4,2,5
Stillman College,0.0422,0.8578,0.0,0.0012,0.0024,0.0024,0.0,0.0,0.094,0.4843,0.5157,3,2,5
Talladega College,0.024,0.8837,0.0359,0.0,0.0017,0.0017,0.0214,0.0282,0.0034,0.4636,0.5364,3,2,5
H Councill Trenholm State Community College,0.2487,0.7019,0.0299,0.0103,0.0046,0.0017,0.0017,0.0,0.0011,0.4199,0.5801,2,1,5
Troy University,0.526,0.3086,0.0398,0.0076,0.0035,0.0011,0.0339,0.0471,0.0324,0.3725,0.6275,4,1,5
Tuskegee University,0.0042,0.8885,0.0121,0.0079,0.0038,0.005,0.0167,0.0,0.0618,0.3622,0.6378,4,2,5
United States Sports Academy,0.6161,0.1611,0.109,0.0095,0.0,0.0,0.0616,0.0142,0.0284,0.8104,0.1896,4,2,5
United States Sports Academy,0.6161,0.1611,0.109,0.0095,0.0,0.0,0.0616,0.0142,0.0284,0.8104,0.1896,4,2,5
Bevill State Community College,0.7981,0.154,0.0219,0.003,0.0011,0.0004,0.0145,0.0,0.0071,0.3866,0.6134,2,1,5
University of Alaska Anchorage,0.5249,0.0326,0.0945,0.0808,0.0534,0.0334,0.1215,0.0208,0.038,0.4189,0.5811,4,1,8
Alaska Bible College,0.8,0.0333,0.0333,0.0333,0.0333,0.0,0.0667,0.0,0.0,0.7,0.3,3,2,8
University of Alaska Fairbanks,0.4993,0.0361,0.0864,0.0188,0.1308,0.0082,0.1059,0.0129,0.1016,0.4224,0.5776,4,1,8
University of Alaska Southeast,0.5519,0.0078,0.0874,0.0234,0.1029,0.0329,0.1073,0.0043,0.0822,0.3227,0.6773,4,1,8
Alaska Pacific University,0.3711,0.0314,0.0755,0.022,0.2484,0.0157,0.1226,0.0,0.1132,0.28300000000000003,0.7170000000000001,4,2,8
Alaska Vocational Technical Center,0.3994,0.0095,0.0317,0.0158,0.1363,0.0016,0.0792,0.0,0.3265,0.8336,0.1664,1,1,8
Charter College,0.3557,0.0578,0.2146,0.0024,0.0719,0.053,0.1536,0.0,0.0909,0.2583,0.7417,3,3,8
Alaska Career College,0.3629,0.1053,0.0803,0.1967,0.1551,0.0249,0.0637,0.0,0.0111,0.14400000000000002,0.856,2,3,8
