School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
Richland Community College,0.7161,0.1691,0.0368,0.0137,0.0038,0.0016,0.0417,0.0027,0.0143,0.3476,0.6524,,,,,,2,1
Rock Valley College,0.5768,0.0869,0.2335,0.0345,0.0028,0.0013,0.0234,0.0046,0.0362,0.4565,0.5435,,,,,,2,1
Rockford University,0.5483,0.1029,0.1909,0.0276,0.0032,0.0,0.0329,0.087,0.0074,0.4401,0.5599,,,,,,4,2
Roosevelt University,0.4331,0.1452,0.2634,0.0536,0.0039,0.0022,0.0336,0.0436,0.0214,0.3371,0.6629,,,,,,4,2
Dominican University,0.2677,0.0519,0.5788,0.0351,0.0023,0.0009,0.0126,0.015,0.0356,0.3154,0.6846,,,,,,4,2
Rush University,0.2909,0.1818,0.3182,0.0364,0.0,0.0091,0.0182,0.0091,0.1364,0.3818,0.6182,,,,,,4,2
Saint Francis Medical Center College of Nursing,0.8531,0.0469,0.025,0.025,0.0,0.0,0.0438,0.0031,0.0031,0.1313,0.8688,,,,,,4,2
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0.0,0.0339,0.0109,0.0132,0.301,0.699,,,,,,4,2
St. John's College-Department of Nursing,0.8571,0.084,0.0336,0.0168,0.0084,0.0,0.0,0.0,0.0,0.1092,0.8908,,,,,,3,2
Saint Xavier University,0.3979,0.1125,0.4152,0.0265,0.001,0.0007,0.0221,0.0,0.0241,0.3772,0.6228,,,,,,4,2
University of Illinois Springfield,0.6276,0.145,0.1068,0.0379,0.0019,0.0008,0.0409,0.0272,0.0119,0.4914,0.5086,,,,,,4,1
Saint Anthony College of Nursing - Sauk Valley Community College Campus,,,,,,,,,,,,,,,,,0,2
Shawnee Community College,0.7398,0.1637,0.0497,0.0044,0.0117,0.0015,0.0,0.0,0.0292,0.3129,0.6871,,,,,,2,1
Saint Augustine College,0.1907,0.032,0.6891,0.0617,0.0,0.0022,0.0011,0.0077,0.0154,0.2514,0.7486,,,,,,3,2
University of Saint Mary of the Lake,,,,,,,,,,,,,,,,,4,2
Southeastern Illinois College,0.8667,0.05,0.0167,0.006,0.0048,0.0,0.0214,0.006,0.0286,0.4071,0.5929,,,,,,2,1
National Latino Education Institute,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,2
Spertus College,,,,,,,,,,,,,,,,,4,2
Spoon River College,0.8586,0.0842,0.0312,0.0031,0.0062,0.001,0.0125,0.0,0.0031,0.3669,0.6331,,,,,,2,1
Saint Anthony College of Nursing,0.7426,0.0545,0.1436,0.0248,0.0099,0.005,0.0198,0.0,0.0,0.1287,0.8713,,,,,,4,2
Educators of Beauty College of Cosmetology-Sterling,0.8205,0.0769,0.1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0513,0.9487,,,,,,1,3
Southern Illinois University-Carbondale,0.6759,0.1376,0.0965,0.0199,0.0037,0.0012,0.0309,0.0336,0.0007,0.5378,0.4622,,,,,,4,1
Southern Illinois University-Edwardsville,0.7251,0.1362,0.0466,0.0238,0.0024,0.0014,0.0388,0.0144,0.0113,0.4612,0.5388,,,,,,4,1
Taylor Business Institute,0.0,0.283,0.0377,0.0,0.0,0.0,0.0,0.6792,0.0,0.5189,0.4811,,,,,,2,3
Telshe Yeshiva-Chicago,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,3,2
South Suburban College,0.149,0.5873,0.2031,0.0115,0.0029,0.0007,0.0296,0.0007,0.0152,0.3377,0.6623,,,,,,2,1
Tri-County Beauty Academy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,3
Trinity Christian College,0.6447,0.0972,0.1501,0.0194,0.0054,0.0032,0.0086,0.041,0.0302,0.3348,0.6652,,,,,,4,2
Trinity International University-Illinois,0.6053,0.1628,0.1009,0.0283,0.0018,0.0,0.0336,0.0265,0.0407,0.5965,0.4035,,,,,,4,2
Triton College,0.3082,0.1581,0.4302,0.0275,0.0019,0.0014,0.023,0.0138,0.0358,0.4727,0.5273,,,,,,2,1
