School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Yeshivah Gedolah Rabbinical College,,10383.0,5009.0,,0.0,,,,,,,,,,,,,,47975.5,0.5845
University of the District of Columbia-David A Clarke School of Law,,,14885.0,0.9615,,,,,,,253.0,,,,,,,,,0.5845
Raphael's School of Beauty Culture Inc-Brunswick,,11136.0,,,0.552,,,,,,,,12450.0,7.0,,,,,27754.0,0.5845
Caribbean University-Ponce,,2745.0,2493.0,0.198,0.4396,,,,,,178.0,,,,,,1272.0,,47975.5,0.5845
Caribbean University-Vega Baja,,4073.0,2100.0,0.2083,0.2157,,,,,,9.0,,,,,,1272.0,,47975.5,0.5845
University of Advancing Technology,,21440.0,5486.0,0.4407,0.6233,,,,,,38.0,,,,,,0.0,2.0,47975.5,0.5845
Paradise Valley Community College,9239.0,,9275.0,1.0,0.0895,,,,,,,2068.0,,,,,1464.0,,27754.0,0.5845
Chandler-Gilbert Community College,9926.0,,9093.0,1.0,0.0802,,,,,,,6352.0,,,,,1464.0,,27754.0,0.5845
Great Plains Technology Center,10217.0,,,,0.0,,,,,,,,4491.0,12.0,,,,,27754.0,0.5845
Roane-Jackson Technical Center,4458.0,,,,0.0,,,,,,,,6210.0,12.0,,,,,27754.0,0.5845
Pioneer Technology Center,9710.0,,,,0.0,,,,,,,322.0,4628.0,14.0,,,,,27754.0,0.5845
Portage Lakes Career Center,17084.0,,,,0.5785,,,,,,,,13995.0,10.0,,,,,27754.0,0.5845
Eastern College of Health Vocations-New Orleans,,13605.0,,,0.7785,,,,,,,,10700.0,10.0,,,,,27754.0,0.5845
Bell Mar Beauty College,,6757.0,,,0.0,,,,,,,,11300.0,13.0,,,,,27754.0,0.5845
Caddo Kiowa Technology Center,4048.0,,,,0.0,,,,,,,297.0,4500.0,14.0,,,,,27754.0,0.5845
Palomar Institute of Cosmetology,,15541.0,,,0.4355,,,,,,,,21950.0,12.0,,,,,27754.0,0.5845
Southern Oklahoma Technology Center,4411.0,,,,0.0,,,,,,,544.0,5868.0,20.0,,,,,27754.0,0.5845
Autry Technology Center,,,,,0.0,,,,,,,371.0,2233.0,10.0,,,,,27754.0,0.5845
Greene County Vocational School District,11254.0,,,,0.5294,,,,,,,,5796.0,6.0,,,,,27754.0,0.5845
Canadian Valley Technology Center,6425.0,,,,0.0,,,,,,,875.0,4716.0,19.0,,,,,27754.0,0.5845
Wilkes-Barre Area Career and Technical Center Practical Nursing,16014.0,,,,0.9524,,,,,,,,21600.0,13.0,,,,3.0,27754.0,0.5845
Meridian Technology Center,,,,,0.0,,,,,,,752.0,2891.0,9.0,,,,,27754.0,0.5845
Waynesville Career Center,26452.0,,,,0.5588,,,,,,,,15500.0,12.0,,,,,27754.0,0.5845
Capitol School of Hairstyling and Esthetics,,12809.0,,,0.4732,,,,,,,,19945.0,13.0,,,,,27754.0,0.5845
Morris County Vocational School District,14096.0,,,,0.4265,,,,,,,,12079.0,11.0,,,,3.0,27754.0,0.5845
Ross Medical Education Center-Roosevelt Park,,18987.0,,,0.6412,,,,,,,,15990.0,8.0,,,,,27754.0,0.5845
Ross Medical Education Center-Kentwood,,19920.0,,,0.6498,,,,,,,,15990.0,8.0,,,,,27754.0,0.5845
South Florida Bible College and Theological Seminary,,,3379.0,0.3091,0.28,,,,,,88.0,9.0,,,,,600.0,,47975.5,0.5845
Cloyd's Barber School 2 Inc,,2590.0,,,0.0,,,,,,,,8475.0,15.0,,,,,27754.0,0.5845
Universal Technical Institute of Illinois Inc,,19326.0,,,0.6567,,,,,,,,46815.0,19.0,,,,,27754.0,0.5845
Pennsylvania College of Technology,25794.0,,9782.0,0.6396,0.6759,,,,,,,48.0,,,,,1549.0,,36066.0,0.5845
Commonwealth Institute of Funeral Service,,26767.0,5330.0,,0.4439,,,,,,,,,,,,,,36066.0,0.5845
InterCoast Colleges-Santa Ana,,23908.0,5413.0,0.5,0.883,,,,,,,,22550.0,13.0,,,,,27754.0,0.5845
Stone Child College,3506.0,,4993.0,0.3214,0.0,,,,,,,120.0,,,,,1300.0,,36066.0,0.5845
American Academy of Dramatic Arts-New York,,47801.0,7230.0,0.3448,0.6111,,,,,,,,,,,,570.0,3.0,36066.0,0.5845
Suffolk County Community College,5533.0,,10665.0,0.3471,0.1099,,,,,,,6368.0,,,,,1500.0,,36066.0,0.5845
Las Positas College,3307.0,,9608.0,0.3448,0.0032,,,,,,,856.0,,,,,1971.0,,36066.0,0.5845
Blades School of Hair Design,,14331.0,,,0.8762,,,,,,,,19800.0,13.0,,,,,27754.0,0.5845
Ogeechee Technical College,391.0,,4586.0,,0.0,,,,,,,337.0,,,,,724.0,,27754.0,0.5845
Remington College-Mobile Campus,,20110.0,2723.0,,0.6957,,,,,,,,,,,,0.0,,27754.0,0.5845
Southern Regional Technical College,-884.0,,4681.0,1.0,0.0,,,,,,,2007.0,,,,,1150.0,,27754.0,0.5845
Mercy-St Luke's School of Radiologic Technology,,,,,0.4091,,,,,,,,,,,,,,27754.0,0.5845
Southwest Acupuncture College-Santa Fe,,,,,,,,,,,29.0,,,,,,,,,0.5845
Northwest Technology Center-Alva,,,,,0.0,,,,,,,221.0,2625.0,9.0,,,,,27754.0,0.5845
Mercer County Career Center,10271.0,,,,0.7143,,,,,,,,17380.0,12.0,,,,,27754.0,0.5845
California State University-San Marcos,13399.0,,10090.0,0.4717,0.333,,,,,,1216.0,72.0,,,,,2000.0,1.0,47975.5,0.5845
Hairmasters Institute of Cosmetology,,8066.0,,,0.7479,,,,,,,,16850.0,13.0,,,,,27754.0,0.5845
Tricoci University of Beauty Cuture LLC-Bloomington,,13650.0,,,0.7609,,,,,,,,19920.0,13.0,,,,,27754.0,0.5845
Interactive College of Technology-Newport,,14489.0,4036.0,,0.8,,,,,,,,,,,,1800.0,,27754.0,0.5845
Platt College-McCann-Monroe,,23707.0,3331.0,0.2857,0.7782,,,,,,,,33640.0,18.0,,,,,36066.0,0.5845
Ross Medical Education Center-Taylor,,18810.0,,,0.7465,,,,,,,,15990.0,8.0,,,,,27754.0,0.5845
National Tractor Trailer School Inc-Liverpool,,19558.0,,,0.768,,,,,,,,10373.0,5.0,,,,,27754.0,0.5845
Interactive College of Technology-Chamblee,,14413.0,3516.0,0.2381,0.6301,,,,,,,,,,,,1800.0,,27754.0,0.5845
Butler Beauty Academy-New Castle Beauty Academy,,10846.0,,,0.4706,,,,,,,,15700.0,15.0,,,,,27754.0,0.5845
