School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,over_25,admissions_rate,sat_mid_reading,sat_mid_math,sat_mid_overall,region,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,grad_students,undergrads_non_degree_seeking,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Tricoci University of Beauty Culture-Danville,0.85,0.1,0.025,0,0.025,0,0,0,0,0.025,0.975,1,3,0.425,,,,,3,,14757,,,0.6812,,,,,27754,0.5845
DePaul University,0.519,0.0792,0.1965,0.1056,0.0016,0.0017,0.0423,0.0311,0.023,0.4671,0.5329,4,2,0.1363,0.6822,,,,3,,30090,11071,0.4736,0.5445,7850,205,1104,2,47975.5,0.5845
College of DuPage,0.4754,0.0847,0.2638,0.1111,0.0014,0,0.0306,0.0139,0.0191,0.4724,0.5276,2,1,0.3146,,,,,3,7566,,10902,0.22,0.0914,,7821,1384,,36066,0.5845
East-West University,0.0313,0.66,0.1588,0.0157,0.0022,0,0.0089,0.123,0,0.5056,0.4944,3,2,0.2595,,,,,3,,20633,5853,1,0.6025,,,1500,,47975.5,0.5845
Eastern Illinois University,0.5914,0.2218,0.0856,0.0138,0.0031,0.0009,0.0293,0.0277,0.0264,0.4035,0.5965,4,1,0.123,0.525,520,515,1051,3,14607,,8477,0.7803,0.4812,1577,1652,150,1,47975.5,0.5845
Elgin Community College,0.4032,0.0434,0.4215,0.0639,0.0014,0.0009,0.0397,0.0067,0.0195,0.4748,0.5252,2,1,0.3073,,,,,3,4185,,10943,0.2405,0.0581,,2118,1500,,36066,0.5845
Elmhurst University,0.58,0.0545,0.248,0.0599,0.0021,0.0014,0.0271,0.0114,0.0157,0.3819,0.6181,4,2,0.1214,0.6778,550,550,1114,3,,21485,7989,0.4015,0.5913,562,84,1200,1,47975.5,0.5845
Eureka College,0.8028,0.0946,0.0282,0.006,0.008,0.002,0.0282,0.0101,0.0201,0.5312,0.4688,3,2,0.0838,0.6184,525,515,1044,3,,21344,5690,0.6066,0.7407,,16,1200,1,47975.5,0.5845
First Institute of Travel Inc.,0.4915,0.0513,0.4487,0,0,0,0.0043,0,0.0043,0.0726,0.9274,1,3,0.4359,,,,,3,,20122,,,0.7959,,,,,27754,0.5845
Garrett-Evangelical Theological Seminary,,,,,,,,,,,,4,2,,,,,,3,,,9610,1,,314,,,,,0.5845
Gem City College,0.9615,0.0385,0,0,0,0,0,0,0,0.3462,0.6538,1,3,0.5769,,,,,3,,12005,,,0.55,,,,,27754,0.5845
Governors State University,0.3008,0.3991,0.1523,0.0186,0.0003,0.0013,0.0284,0.0104,0.0889,0.3682,0.6318,4,1,0.4766,0.4561,480,455,955,3,12077,,7343,0.4525,0.5573,1583,34,1000,1,47975.5,0.5845
Graham Hospital School of Nursing,0.9231,0.0385,0.0192,0.0192,0,0,0,0,0,0.0192,0.9808,1,2,0.5385,1,,,,3,,,,,0.6341,,,3477,1,27754,0.5845
Greenville University,0.6564,0.1279,0.0662,0.0046,0,0.0023,0.0342,0.0868,0.0217,0.5468,0.4532,4,2,0.1051,0.5612,530,535,1076,3,,20689,5681,1,0.7147,179,37,950,1,47975.5,0.5845
Hair Professionals Career College,0.5349,0.2791,0.093,0,0,0.0233,0.0465,0,0.0233,0.0698,0.9302,1,3,0.5116,,,,,3,,13495,,,0.5472,,,,,27754,0.5845
Hair Professionals School of Cosmetology,0.4308,0.1385,0.2769,0.0538,0,0.0077,0.0846,0.0077,0,0.0308,0.9692,1,3,0.3308,,,,,3,,19336,,,0.6337,,,,,27754,0.5845
Hebrew Theological College,0.9626,0,0.0187,0,0,0,0,0.0093,0.0093,0.243,0.757,3,2,0.0725,1,,,,3,,15281,3175,0.3902,0.1856,,86,1776,5,47975.5,0.5845
Pennsylvania Highlands Community College,0.8645,0.0465,0.0307,0.0089,0,0,0.0158,0,0.0336,0.3947,0.6053,2,1,0.1435,,,,,2,7583,,4900,0.26,0.2111,,1741,2000,,36066,0.5845
Rosalind Franklin University of Medicine and Science,,,,,,,,,,,,4,2,,,,,,3,,,11090,0.6788,,2102,,,,47975.5,0.5845
Benedictine University,0.4254,0.0894,0.1829,0.1556,0.013,0.0049,0,0.0183,0.1105,0.4592,0.5408,4,2,0.1568,0.4171,518,559,1098,3,,25143,8593,0.3571,0.6328,1908,32,1510,1,47975.5,0.5845
Illinois College of Optometry,,,,,,,,,,,,4,2,,,,,,3,,,9670,0.6494,,546,,,,,0.5845
University of Illinois Urbana-Champaign,0.4309,0.0636,0.1295,0.1933,0.0003,0.0006,0.0341,0.1406,0.0071,0.5357,0.4643,4,1,0.0157,0.5903,650,690,1342,3,15880,,12740,0.7408,0.3503,17485,1040,1200,1,47975.5,0.5845
Illinois Wesleyan University,0.6986,0.0686,0.0871,0.0661,0,0.0006,0.0241,0.0426,0.0124,0.4793,0.5207,3,2,0.0031,0.608,605,615,1245,3,,26039,8316,0.6839,0.6521,,10,800,1,47975.5,0.5845
Illinois Central College,0.7282,0.1277,0.0601,0.0168,0.002,0.0012,0.0454,0.0163,0.0025,0.4186,0.5814,2,1,0.2388,,,,,3,9578,,7754,0.3577,0.1083,,2672,1200,,36066,0.5845
Chamberlain University-Illinois,0.5657,0.152,0.1368,0.0673,0.0031,0.0043,0.0131,0.0036,0.0541,0.1065,0.8935,4,3,0.8878,1,,,,3,,25598,7835,0.0775,0.5978,13068,133,600,2,47975.5,0.5845
Olney Central College,0.905,0.0317,0.0166,0.0075,0.0015,0.003,0.0317,0,0.003,0.368,0.632,2,1,0.3104,,,,,3,6832,,6509,0.4194,0.1088,,371,1300,,36066,0.5845
Illinois Institute of Technology,0.3763,0.0538,0.1741,0.1557,0.0007,0.0003,0.0353,0.1758,0.028,0.6814,0.3186,4,2,0.1037,0.6023,620,675,1312,3,,22831,12715,0.5863,0.4286,3371,112,1250,1,47975.5,0.5845
Illinois State University,0.7223,0.0936,0.1157,0.0225,0.0012,0.001,0.0334,0.0064,0.0038,0.4463,0.5537,4,1,0.0437,0.8194,560,560,1132,3,20895,,8414,0.7678,0.559,2628,51,802,1,47975.5,0.5845
Illinois Valley Community College,0.7755,0.0161,0.1506,0.0087,0.0032,0.0018,0.0197,0,0.0243,0.4412,0.5588,2,1,0.2738,,,,,3,6378,,8059,0.3788,0.05,,663,1400,,36066,0.5845
Institute for Clinical Social Work,,,,,,,,,,,,4,2,,,,,,3,,,,,,125,,,,,0.5845
John A Logan College,0.7673,0.1098,0.0173,0.0098,0.0019,0.0004,0.0045,0,0.0891,0.4267,0.5733,2,1,0.2674,,,,,3,6346,,6868,0.3416,0,,1084,1526,,36066,0.5845
John Wood Community College,0.8912,0.0407,0.0204,0.0089,0.0019,0.0006,0.0312,0,0.0051,0.3893,0.6107,2,1,0.2906,,,,,3,7095,,6367,0.2759,0.2422,,362,1500,,36066,0.5845
Joliet Junior College,0.5321,0.1002,0.2814,0.0272,0.0023,0.0005,0.0368,0.0031,0.0164,0.444,0.556,2,1,0.2222,,,,,3,4693,,11043,0.2503,0.0604,,3352,1500,,36066,0.5845
Judson University,0.4503,0.1452,0.2232,0.0224,0,0.0019,0.0214,0.0448,0.0906,0.4288,0.5712,4,2,0.3078,0.3853,490,500,1036,3,,18737,5994,0.2394,0.6702,187,20,1270,1,47975.5,0.5845
Kankakee Community College,0.6167,0.1328,0.1771,0.0092,0.0023,0,0.0452,0.0051,0.0115,0.3778,0.6222,2,1,0.3033,,,,,3,6436,,7689,0.3043,0.073,,433,1200,,27754,0.5845
Kaskaskia College,0.9036,0.0477,0.0225,0.0054,0.0016,0.0011,0.0161,0,0.0021,0.3364,0.6636,2,1,0.2023,,,,,3,6574,,8845,0.4965,0,,1381,1473,,27754,0.5845
Kishwaukee College,0.5882,0.1339,0.2165,0.0097,0.0048,0,0.0338,0,0.013,0.4393,0.5607,2,1,0.234,,,,,3,5782,,7100,0.3478,0.1188,,991,1250,,36066,0.5845
Knox College,0.4622,0.0757,0.1343,0.0456,0.0008,0.0016,0.061,0.1977,0.0212,0.4304,0.5696,3,2,0.0143,0.6832,610,610,1255,3,,22292,7233,0.912,0.6062,,29,900,5,47975.5,0.5845
Educators of Beauty College of Cosmetology-Peru,0.8043,0.0217,0.1304,0,0,0,0,0,0.0435,0,1,1,3,0.1522,,,,,3,,13679,,,0.6,,,,,27754,0.5845
College of Lake County,0.3838,0.0627,0.4268,0.049,0.0016,0.0022,0.0324,0.0091,0.0324,0.4767,0.5233,2,1,0.3816,,,,,3,4735,,11628,0.2511,0.0287,,3835,1204,,27754,0.5845
Lake Forest College,0.5547,0.0458,0.1441,0.0491,0.0033,0.0026,0.0386,0.112,0.0498,0.4224,0.5776,4,2,0.0234,0.552,,,,3,,26426,8919,0.5676,0.7312,24,11,1000,2,47975.5,0.5845
Lake Forest Graduate School of Management,,,,,,,,,,,,4,2,,,,,,3,,,,0,,451,,,,,0.5845
Lake Land College,0.8852,0.0397,0.0315,0.0072,0.0016,0.0003,0.0289,0,0.0056,0.3895,0.6105,2,1,0.2414,,,,,3,4468,,6578,0.6188,0.0892,,1416,360,,27754,0.5845
Lakeview College of Nursing,0.7365,0.1014,0.0338,0.0811,0.0135,0,0.027,0,0.0068,0.1824,0.8176,3,2,0.4054,,,,,3,,,6123,0.68,0.8155,,,,,47975.5,0.5845
Lewis and Clark Community College,0.7813,0.1141,0.0293,0.0051,0.0108,0.0026,0.0006,0,0.0561,0.3892,0.6108,2,1,0.2102,,,,,3,5464,,8646,1,0.1402,,3276,1008,,36066,0.5845
Lewis University,0.5862,0.0592,0.2228,0.0524,0.0012,0.0017,0.0216,0.0216,0.0335,0.4887,0.5113,4,2,0.1982,0.639,550,555,1131,3,,18664,9240,0.4261,0.5684,2085,149,1500,1,47975.5,0.5845
Lincoln Christian University,0.8235,0.0812,0.0224,0.0112,0,0.0028,0.0112,0.0448,0.0028,0.535,0.465,4,2,0.1825,,,,,3,,18141,5550,0.7561,0.5976,294,21,1000,,47975.5,0.5845
Lincoln College of Technology-Indianapolis,0.6296,0.2109,0.0846,0.0343,0.0032,0.0011,0.031,0.0011,0.0043,0.9069,0.0931,2,3,0.3404,,,,,3,,21935,4447,0.8684,0.7037,,6,,,27754,0.5845
Lincoln Land Community College,0.7216,0.1105,0.0366,0.0126,0.0064,0.0005,0.054,0,0.0579,0.3957,0.6043,2,1,0.3177,,,,,3,6168,,9574,0.4361,0.2158,,1074,912,,36066,0.5845
Lincoln College of Technology-Melrose Park,0.1241,0.3169,0.5012,0.0108,0.0024,0,0.0241,0,0.0205,0.6578,0.3422,2,3,0.3446,,,,,3,,14935,5204,0.8462,0.7769,,,,,27754,0.5845
Loyola University Chicago,0.5582,0.0533,0.1678,0.1212,0.001,0.0022,0.0432,0.0389,0.0141,0.3291,0.6709,4,2,0.071,0.6722,615,610,1263,3,,35407,11146,0.5159,0.5701,4919,136,1200,1,47975.5,0.5845
Lutheran School of Theology at Chicago,,,,,,,,,,,,4,2,,,,,,3,,,5895,0.5217,,164,,,,,0.5845
Steven Papageorge Hair Academy,0.3818,0.0909,0.5091,0.0182,0,0,0,0,0,0.1273,0.8727,1,3,0.7818,,,,,3,,16120,,,0.3429,,,,,27754,0.5845
MacCormac College,0.1159,0.5688,0.2319,0.0072,0.0036,0.0036,0.0652,0.0036,0,0.2862,0.7138,2,2,0.5399,,,,,3,,18211,4832,1,0.8271,,,1050,,36066,0.5845
McCormick Theological Seminary,,,,,,,,,,,,4,2,,,,,,3,,,7467,0.2453,,215,,,,,0.5845
McHenry County College,0.6565,0.015,0.2115,0.0243,0.0011,0.0004,0.04,0.0015,0.0495,0.48,0.52,2,1,0.2596,,,,,3,7048,,10653,0.2818,0.0337,,2952,1200,,36066,0.5845
McKendree University,0.6117,0.1247,0.0539,0.0068,0.0023,0.0011,0.0351,0.0522,0.1122,0.479,0.521,4,2,0.25,0.6335,532,532,1106,3,,19844,6655,1,0.5373,504,24,1000,1,47975.5,0.5845
Meadville Lombard Theological School,,,,,,,,,,,,4,2,,,,,,3,,,9331,0.1667,,74,,,,,0.5845
Nebraska Methodist College of Nursing & Allied Health,0.8172,0.0339,0.0692,0.0222,0.0026,0.0013,0.0261,0.0026,0.0248,0.0966,0.9034,4,2,0.3499,0.9744,,,1120,4,,25311,5806,0.9296,0.6994,362,,1300,1,47975.5,0.5845
Millikin University,0.6833,0.1363,0.0513,0.0166,0.0016,0.0005,0.0368,0.0384,0.0353,0.4474,0.5526,4,2,0.0792,0.7125,550,525,1112,3,,21331,6237,0.7054,0.674,88,66,1000,1,47975.5,0.5845
Monmouth College,0.6733,0.0922,0.1011,0.0089,0.0022,0,0.0289,0.0344,0.0589,0.5,0.5,3,2,0.011,0.6667,550,530,1099,3,,17061,6812,0.7838,0.7177,,7,1200,5,47975.5,0.5845
Moody Bible Institute,0.5753,0.0544,0.0683,0.0315,0.0022,0.0022,0.0337,0.0782,0.1542,0.5209,0.4791,4,2,0.3011,0.9441,575,520,1080,3,,16646,6129,0.3113,0.3949,734,50,932,5,47975.5,0.5845
Moraine Valley Community College,0.4836,0.0901,0.2725,0.0279,0.002,0.001,0.0269,0.0154,0.0807,0.4611,0.5389,2,1,0.2418,,,,,3,2422,,7480,0.2714,0.059,,3722,1464,,36066,0.5845
Morrison Institute of Technology,0.875,0.0114,0.0909,0,0,0.0114,0,0.0114,0,0.9773,0.0227,2,2,0.0341,,,,,3,,18139,5099,0.9231,0.8103,,,1150,,36066,0.5845
Morton College,0.0575,0.027,0.8563,0.0097,0.0015,0.0006,0.0053,0,0.0422,0.4243,0.5757,2,1,0.2769,,,,,3,4236,,8279,0.3397,0.0255,,1029,2400,,36066,0.5845
National Louis University,0.1601,0.2037,0.4834,0.0256,0.003,0.0009,0.0171,0.0271,0.079,0.2739,0.7261,4,2,0.4172,0.9767,,,,3,,14957,6195,0.9948,0.4284,3642,84,0,3,47975.5,0.5845
Cosmetology Concepts Niles,0.5135,0.027,0.2973,0.1622,0,0,0,0,0,0.1081,0.8919,1,3,0.4324,,,,,3,,3719,,,0.0741,,,,,27754,0.5845
North Central Texas College,0.5317,0.0859,0.264,0.0338,0.008,0.0013,0.0375,0.0341,0.0036,0.4287,0.5713,2,1,0.2145,,,,,6,5307,,6041,1,0.1857,,2835,1680,,36066,0.5845
Lone Star College System,0.2775,0.139,0.4295,0.0616,0.0016,0,0.0326,0.0399,0.0182,0.4041,0.5959,2,1,0.2253,,,,,6,8016,,7187,1,0.0921,,19081,2550,,36066,0.5845
Northern Baptist Theological Seminary,,,,,,,,,,,,4,2,,,,,,3,,,6414,1,,265,,,,,0.5845
Northern Illinois University,0.515,0.1745,0.1927,0.0576,0.001,0.0009,0.0368,0.0193,0.0022,0.4881,0.5119,4,1,0.1263,0.4835,530,525,1070,3,18259,,8616,0.7328,0.6067,4478,24,1400,1,47975.5,0.5845
Northwestern State University of Louisiana,0.5189,0.3188,0.0678,0.0077,0.0139,0.0012,0.045,0.0148,0.012,0.2738,0.7262,4,1,0.2608,0.8198,555,555,1105,5,12866,,6228,0.5976,0.4843,1075,1634,1300,1,47975.5,0.5845
Northeastern Illinois University,0.2664,0.1052,0.3964,0.0931,0.0016,0.0034,0.0165,0.0153,0.102,0.4305,0.5695,4,1,0.4147,0.5848,520,495,1011,3,15843,,8265,0.5651,0.3083,1723,74,2400,1,47975.5,0.5845
Oakton Community College,0.4498,0.0683,0.1964,0.2153,0.0011,0.0046,0.0287,0,0.036,0.4893,0.5107,2,1,0.3587,,,,,3,6141,,10074,0.2719,0.0092,,464,1410,,36066,0.5845
Oehrlein School of Cosmetology,0.9512,0.0244,0.0244,0,0,0,0,0,0,0,1,1,3,0.1951,,,,,3,,9712,,,0.6515,,,,,27754,0.5845
Olivet Nazarene University,0.7239,0.089,0.0991,0.0201,0.001,0.001,0.0331,0.011,0.0218,0.4115,0.5885,4,2,0.1186,0.5776,545,525,1098,3,,20195,7244,0.323,0.7218,1207,31,1000,1,47975.5,0.5845
Parkland College,0.5893,0.1368,0.1029,0.0393,0.0014,0.0004,0.0442,0.0307,0.055,0.5019,0.4981,2,1,0.2602,,,,,3,8993,,8593,0.397,0.2994,,1621,1200,,36066,0.5845
Prairie State College,0.1707,0.5717,0.1877,0.0098,0.0026,0.0003,0.0154,0.0105,0.0312,0.3925,0.6075,2,1,0.4158,,,,,3,7669,,8382,0.2892,0.1467,,796,2500,,36066,0.5845
Principia College,0.694,0.0174,0.0473,0.0299,0,0.005,0.0224,0.1692,0.0149,0.5149,0.4851,3,2,0.0369,0.9143,568,547,1145,3,,,7953,0.967,0,,5,1000,1,47975.5,0.5845
Professional's Choice Hair Design Academy,0.4167,0.1875,0.3958,0,0,0,0,0,0,0.0208,0.9792,1,3,0.1667,,,,,3,,15300,,,0.4769,,,,,27754,0.5845
Quincy University,0.72,0.1202,0.0408,0.0063,0.0042,0,0.001,0.0261,0.0815,0.4922,0.5078,4,2,0.072,0.6176,530,540,1098,3,,17497,5693,0.5421,0.6386,106,85,,1,47975.5,0.5845
Rend Lake College,0.9106,0.0587,0.0147,0.0084,0.0028,0.0007,0,0.0007,0.0035,0.4214,0.5786,2,1,0.1736,,,,,3,5636,,6557,0.665,0,,856,1800,,27754,0.5845
Richland Community College,0.7161,0.1691,0.0368,0.0137,0.0038,0.0016,0.0417,0.0027,0.0143,0.3476,0.6524,2,1,0.3106,,,,,3,4794,,7112,0.4643,0.1212,,1025,1320,,27754,0.5845
Rock Valley College,0.5768,0.0869,0.2335,0.0345,0.0028,0.0013,0.0234,0.0046,0.0362,0.4565,0.5435,2,1,0.2538,,,,,3,7399,,8073,0.3083,0.0549,,705,1170,,36066,0.5845
Rockford University,0.5483,0.1029,0.1909,0.0276,0.0032,0,0.0329,0.087,0.0074,0.4401,0.5599,4,2,0.2067,0.5424,525,525,1069,3,,22197,5726,0.3541,0.7042,222,39,1200,1,47975.5,0.5845
Roosevelt University,0.4331,0.1452,0.2634,0.0536,0.0039,0.0022,0.0336,0.0436,0.0214,0.3371,0.6629,4,2,0.2512,0.673,570,550,1143,3,,22749,8367,0.352,0.6041,1690,88,1200,1,47975.5,0.5845
Dominican University,0.2677,0.0519,0.5788,0.0351,0.0023,0.0009,0.0126,0.015,0.0356,0.3154,0.6846,4,2,0.1009,0.6434,550,550,1106,3,,19268,7368,0.4296,0.6823,878,14,1200,1,47975.5,0.5845
Rush University,0.2909,0.1818,0.3182,0.0364,0,0.0091,0.0182,0.0091,0.1364,0.3818,0.6182,4,2,0.7143,,,,,3,,,11548,0.7582,0.5537,2643,2,,,47975.5,0.5845
Saint Francis Medical Center College of Nursing,0.8531,0.0469,0.025,0.025,0,0,0.0438,0.0031,0.0031,0.1313,0.8688,4,2,0.2969,,,,,3,,,6612,0.7679,0.5181,189,,,,47975.5,0.5845
University of Saint Francis-Fort Wayne,0.7404,0.085,0.0988,0.0172,0.0006,0,0.0339,0.0109,0.0132,0.301,0.699,4,2,0.1954,0.9622,534,525,1072,3,,17796,6736,0.4557,0.7087,504,4,1200,1,47975.5,0.5845
St. John's College-Department of Nursing,0.8571,0.084,0.0336,0.0168,0.0084,0,0,0,0,0.1092,0.8908,3,2,0.3782,,,,,3,,,8918,0.6923,0.9836,18,,,,47975.5,0.5845
Saint Xavier University,0.3979,0.1125,0.4152,0.0265,0.001,0.0007,0.0221,0,0.0241,0.3772,0.6228,4,2,0.0845,0.7265,525,525,1065,3,,14528,7474,0.3863,0.8041,666,14,1200,1,47975.5,0.5845
University of Illinois Springfield,0.6276,0.145,0.1068,0.0379,0.0019,0.0008,0.0409,0.0272,0.0119,0.4914,0.5086,4,1,0.3564,0.7681,555,553,1118,3,12477,,8063,0.6584,0.4407,1601,61,1200,1,47975.5,0.5845
Saint Anthony College of Nursing - Sauk Valley Community College Campus,,,,,,,,,,,,0,2,,,,,,3,,,,,,,,,,,0.5845
Shawnee Community College,0.7398,0.1637,0.0497,0.0044,0.0117,0.0015,0,0,0.0292,0.3129,0.6871,2,1,0.2392,,,,,3,10242,,7593,0.4286,0,,399,1470,,36066,0.5845
Saint Augustine College,0.1907,0.032,0.6891,0.0617,0,0.0022,0.0011,0.0077,0.0154,0.2514,0.7486,3,2,0.5985,,,,,3,,12193,5553,0.093,0.0582,,52,1200,,36066,0.5845
University of Saint Mary of the Lake,,,,,,,,,,,,4,2,,,,,,3,,,4947,1,,202,,,,,0.5845
Southeastern Illinois College,0.8667,0.05,0.0167,0.006,0.0048,0,0.0214,0.006,0.0286,0.4071,0.5929,2,1,0.2771,,,,,3,5714,,6214,0.5258,0,,892,1009,,36066,0.5845
National Latino Education Institute,0,0,1,0,0,0,0,0,0,0,1,1,2,0.1667,0.8,,,,3,,13939,,,0.1786,,,,3,27754,0.5845
Spertus College,,,,,,,,,,,,4,2,,,,,,3,,,11401,0.1212,,111,,,,,0.5845
Spoon River College,0.8586,0.0842,0.0312,0.0031,0.0062,0.001,0.0125,0,0.0031,0.3669,0.6331,2,1,0.2532,,,,,3,9155,,6365,0.3951,0.1755,,424,1700,,27754,0.5845
Saint Anthony College of Nursing,0.7426,0.0545,0.1436,0.0248,0.0099,0.005,0.0198,0,0,0.1287,0.8713,4,2,0.3416,1,,,,3,,,7258,0.5217,0.7534,78,,2000,3,47975.5,0.5845
Educators of Beauty College of Cosmetology-Sterling,0.8205,0.0769,0.1026,0,0,0,0,0,0,0.0513,0.9487,1,3,0.1538,,,,,3,,10609,,,0.5686,,,,,27754,0.5845
Southern Illinois University-Carbondale,0.6759,0.1376,0.0965,0.0199,0.0037,0.0012,0.0309,0.0336,0.0007,0.5378,0.4622,4,1,0.216,0.6638,575,565,1169,3,16945,,7698,0.7951,0.5267,3229,91,1100,1,47975.5,0.5845
Southern Illinois University-Edwardsville,0.7251,0.1362,0.0466,0.0238,0.0024,0.0014,0.0388,0.0144,0.0113,0.4612,0.5388,4,1,0.1466,0.8567,560,560,1137,3,14423,,8360,0.7161,0.5005,2661,61,915,1,47975.5,0.5845
Taylor Business Institute,0,0.283,0.0377,0,0,0,0,0.6792,0,0.5189,0.4811,2,3,0.6981,0.9552,,,,3,,11260,3671,,0.0087,,,750,3,36066,0.5845
Telshe Yeshiva-Chicago,1,0,0,0,0,0,0,0,0,1,0,3,2,,0.9167,,,,3,,6012,3211,0.8667,0,15,,200,3,47975.5,0.5845
South Suburban College,0.149,0.5873,0.2031,0.0115,0.0029,0.0007,0.0296,0.0007,0.0152,0.3377,0.6623,2,1,0.317,,,,,3,4746,,8021,0.3203,0,,1294,1200,,27754,0.5845
Tri-County Beauty Academy,1,0,0,0,0,0,0,0,0,0,1,1,3,0.4615,,,,,3,,12361,,,0.5714,,,,,27754,0.5845
Trinity Christian College,0.6447,0.0972,0.1501,0.0194,0.0054,0.0032,0.0086,0.041,0.0302,0.3348,0.6652,4,2,0.209,0.6906,530,530,1113,3,,21904,7188,0.4967,0.6444,63,79,1100,1,47975.5,0.5845
Trinity International University-Illinois,0.6053,0.1628,0.1009,0.0283,0.0018,0,0.0336,0.0265,0.0407,0.5965,0.4035,4,2,0.1801,0.6024,525,520,1078,3,,21204,7602,0.3416,0.7623,1000,157,1200,1,47975.5,0.5845
Triton College,0.3082,0.1581,0.4302,0.0275,0.0019,0.0014,0.023,0.0138,0.0358,0.4727,0.5273,2,1,0.4172,,,,,3,4988,,7820,0.2825,0.0381,,2342,1440,,36066,0.5845
VanderCook College of Music,0.4865,0.1081,0.2973,0.027,0,0,0.0676,0.0135,0,0.5811,0.4189,4,2,0.0734,0.8519,519,530,1034,3,,19160,5077,0.2553,0.5909,35,35,1900,1,47975.5,0.5845
Waubonsee Community College,0.4734,0.0696,0.3857,0.0328,0.0019,0.0011,0.0251,0,0.0105,0.453,0.547,2,1,0.2681,,,,,3,5130,,9631,0.2054,0.0909,,2254,1600,,36066,0.5845
Resurrection University,0.2812,0.2202,0.2334,0.1538,0.008,0.0066,0.0438,0.0013,0.0517,0.1605,0.8395,4,2,0.7241,,,,,3,,,8451,1,0.7751,106,,,,47975.5,0.5845
Western Illinois University,0.6076,0.1959,0.1252,0.0124,0.0015,0.0008,0.0269,0.0099,0.0198,0.4735,0.5265,4,1,0.1616,0.5666,530,520,1067,3,16210,,9001,0.8752,0.6599,1666,,1200,1,47975.5,0.5845
Wheaton College,0.7142,0.0259,0.0674,0.0967,0.0013,0.0013,0.0534,0.0365,0.0034,0.4559,0.5441,4,2,0.0109,0.8481,670,660,1337,3,,25358,9366,0.6754,0.4902,609,37,800,1,47975.5,0.5845
William Rainey Harper College,0.4987,0.0453,0.2853,0.1189,0.0024,0.0003,0.0247,0.009,0.0152,0.4525,0.5475,2,1,0.3,,,,,3,7532,,10071,0.3318,0.0487,,2756,1100,,27754,0.5845
The University of Texas MD Anderson Cancer Center,0.2593,0.0598,0.3333,0.2222,0,0,0.0199,0.0883,0.0171,0.2279,0.7721,4,1,0.5071,,,,,6,,,11443,1,0.3287,25,,,,47975.5,0.5845
Ball State University,0.7766,0.0844,0.0602,0.0131,0.0001,0.001,0.04,0.0128,0.0118,0.3994,0.6006,4,1,0.0507,0.7671,,,,3,15147,,7585,0.8253,0.5623,5741,1092,1384,2,47975.5,0.5845
Bethel Seminary-San Diego,,,,,,,,,,,,4,2,,,,,,8,,,7213,,,47,,,,,0.5845
Butler University,0.8251,0.0362,0.0509,0.0337,0.0018,0.0002,0.0362,0.0075,0.0084,0.4004,0.5996,4,2,0.013,0.7317,620,620,1262,3,,37645,8777,1,0.4672,830,150,1000,1,47975.5,0.5845
Calumet College of Saint Joseph,0.3738,0.2836,0.3039,0.0074,0.0018,0.0018,0.0276,0,0,0.5359,0.4641,4,2,0.326,,,,,3,,10275,5772,0.2414,0.2551,169,6,1500,,47975.5,0.5845
Christian Theological Seminary,,,,,,,,,,,,4,2,,,,,,3,,,9862,1,,145,,,,,0.5845
College of Court Reporting Inc,0.8462,0.0321,0.0705,0.0192,0.0064,0,0,0,0.0256,0.0513,0.9487,2,3,0.8662,,,,,3,,31390,,,0.7,,1,3286,,36066,0.5845
Concordia Theological Seminary,,,,,,,,,,,,4,2,,,,,,3,,,5831,0.9167,,313,,,,,0.5845
Tricoci University of Beauty Culture-Highland,0.3014,0.5215,0.1196,0.0048,0.0096,0,0.0383,0,0.0048,0.0478,0.9522,1,3,0.3971,,,,,3,,16363,,,0.7287,,,,,27754,0.5845
DePauw University,0.6389,0.0571,0.0952,0.0345,0.0015,0,0.0273,0.1353,0.0103,0.4789,0.5211,3,2,0.0025,0.6436,610,635,1253,3,,23078,9375,0.8817,0.4114,,28,1200,5,47975.5,0.5845
Don Roberts School of Hair Design,0.5,0.3333,0.1667,0,0,0,0,0,0,0,1,1,3,0.3333,,,,,3,,14627,,,0.8714,,,,,27754,0.5845
Earlham College,0.5092,0.074,0.0783,0.0348,0,0,0.0511,0.2307,0.0218,0.4331,0.5669,4,2,0.0011,0.6343,615,620,1246,3,,21370,6438,0.9091,0.4803,50,29,1200,5,47975.5,0.5845
University of Evansville,0.7473,0.041,0.0389,0.0245,0.0005,0.0011,0.033,0.105,0.0085,0.419,0.581,4,2,0.056,0.7067,595,594,1223,3,,21626,8177,0.9583,0.4516,247,248,1200,5,47975.5,0.5845
Franklin and Marshall College,0.5461,0.0606,0.1052,0.0463,0.0009,0,0.0269,0.188,0.026,0.4517,0.5483,3,2,0.0009,0.3039,,,,2,,30281,10267,0.8867,0.4353,,6,1200,3,47975.5,0.5845
Goshen College,0.5748,0.0411,0.2369,0.0237,0,0.0025,0.0224,0.0748,0.0237,0.3815,0.6185,4,2,0.1235,0.6299,552,557,1132,3,,19342,5977,0.5505,0.5976,81,24,1220,1,47975.5,0.5845
