School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
University of South Florida-Sarasota-Manatee,2082.0,,9156.0,0.5818,0.313,,,,,,145.0,367.0,,,,,1100.0,1.0,47975.5,0.5845
Paul Mitchell the School-San Antonio,,19374.0,,,0.5164,,,,,,,,19035.0,12.0,,,,,27754.0,0.5845
CEM College-Bayamon,,7826.0,2600.0,0.0714,0.1521,,,,,,,,,,,,974.0,,27754.0,0.5845
The Art Institute of Austin,,24156.0,5417.0,0.0241,0.5824,,,,,,,13.0,,,,,600.0,,47975.5,0.5845
Remington College-Houston Southeast Campus,,20848.0,2559.0,,0.6352,,,,,,,,,,,,0.0,,27754.0,0.5845
Remington College-Shreveport Campus,,20181.0,2675.0,,0.6814,,,,,,,,,,,,0.0,,27754.0,0.5845
Jenny Lea Academy of Cosmetology,,11618.0,,,0.669,,,,,,,,15100.0,13.0,,,,,27754.0,0.5845
Patrick Henry Community College,5258.0,,6681.0,0.2394,0.0,,,,,,,704.0,,,,,1434.0,,27754.0,0.5845
The Hair Academy,,13570.0,,,0.4384,,,,,,,,12419.0,11.0,,,,,27754.0,0.5845
Ross Medical Education Center-New Baltimore,,18884.0,,,0.6623,,,,,,,,15990.0,10.0,,,,,27754.0,0.5845
Ross College-Sylvania,,10993.0,1734.0,,0.5208,,,,,,,,8300.0,18.0,,,,,27754.0,0.5845
Escuela De Troqueleria Y Herramentaje,-722.0,,,,0.0,,,,,,,,,,,,900.0,,27754.0,0.5845
Fortis Institute-Nashville,,23410.0,5852.0,0.3571,0.6675,,,,,,,,,,,,1225.0,,27754.0,0.5845
ATA College-Cincinnati,,29329.0,5755.0,0.3333,0.8484,,,,,,,,,,,,2000.0,,27754.0,0.5845
Elite Welding Academy LLC,,21812.0,,,0.3766,,,,,,,,15298.0,7.0,,,,,27754.0,0.5845
Galen College of Nursing-Cincinnati,,26343.0,5767.0,0.5,0.902,,,,,,,,43760.0,24.0,,,,,36066.0,0.5845
Strayer University-North Carolina,,22816.0,8151.0,0.087,0.8556,,,,,,985.0,1.0,,,,,1350.0,,47975.5,0.5845
Strayer University-New Jersey,,22054.0,7585.0,0.0667,0.7532,,,,,,109.0,1.0,,,,,1350.0,,47975.5,0.5845
Ohio Media School-Columbus,,24145.0,,,0.8861,,,,,,,,16860.0,8.0,,,,3.0,27754.0,0.5845
Ohio Medical Career College,,12245.0,4034.0,,0.8696,,,,,,,,21289.0,10.0,,,,,27754.0,0.5845
The King's College,,34099.0,9086.0,1.0,0.7292,,,,,,,24.0,,,,,800.0,1.0,47975.5,0.5845
Chamberlain University-Illinois,,25598.0,7835.0,0.0775,0.5978,,,,,,13068.0,133.0,,,,,600.0,2.0,47975.5,0.5845
Chamberlain University-Ohio,,25285.0,6794.0,0.1714,0.7792,,,,,,,1.0,,,,,600.0,2.0,47975.5,0.5845
Chamberlain University-Arizona,,36767.0,7028.0,0.1518,0.776,,,,,,,,,,,,600.0,2.0,47975.5,0.5845
Bryan University,,17472.0,5128.0,0.1446,0.684,,,,,,,,,,,,,,36066.0,0.5845
The Salon Professional Academy-Appleton,,12181.0,,,0.726,,,,,,,,18800.0,14.0,,,,,27754.0,0.5845
Milan Institute of Cosmetology-Fairfield,,19354.0,,,0.62,,,,,,,,16584.0,13.0,,,,,27754.0,0.5845
Milan Institute of Cosmetology-Reno,,22999.0,,,0.4691,,,,,,,,17985.0,14.0,,,,,27754.0,0.5845
Ottawa University-Online,,,7498.0,1.0,0.5488,,,,,,56.0,5.0,,,,,400.0,,47975.5,0.5845
Paul Mitchell the School-Esani,,14899.0,,,0.6483,,,,,,,,19800.0,15.0,,,,,27754.0,0.5845
