School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
Gwynedd Mercy University,,24124.0,7226.0,0.1954,0.6622,,,,,,833.0,321.0,,,,,1300.0,1.0,47975.5,0.5845
Harcum College,,23588.0,5630.0,0.2731,0.7945,,,,,,,64.0,,,,,1500.0,,36066.0,0.5845
Harrisburg Area Community College,11990.0,,6916.0,0.1687,0.4245,,,,,,,2964.0,,,,,2064.0,,36066.0,0.5845
Haverford College,,22991.0,10275.0,0.9116,0.1779,,,,,,,9.0,,,,,1194.0,1.0,47975.5,0.5845
Commonwealth Technical Institute,,26811.0,6106.0,,0.0,,,,,,,,,,,,0.0,,27754.0,0.5845
Holy Family University,,14362.0,7307.0,0.2089,0.698,,,,,,974.0,185.0,,,,,1112.0,1.0,47975.5,0.5845
Hussian College-Philadelphia,,18155.0,7131.0,,0.8955,,,,,,,,,,,,900.0,3.0,27754.0,0.5845
Immaculata University,,28110.0,4984.0,1.0,0.5632,,,,,,976.0,199.0,,,,,2166.0,5.0,47975.5,0.5845
Indiana University of Pennsylvania-Main Campus,22448.0,,10056.0,0.8427,0.7082,,,,,,2068.0,273.0,,,,,1100.0,1.0,47975.5,0.5845
UPMC Jameson School of Nursing,,23179.0,,,0.8393,,,,,,,,,,,,2050.0,3.0,27754.0,0.5845
Great Lakes Institute of Technology,,14018.0,3898.0,,0.8343,,,,,,,1.0,30000.0,18.0,,,,,27754.0,0.5845
Johnson County Community College,12632.0,,8148.0,0.4095,0.0908,,,,,,,7196.0,,,,,1560.0,,36066.0,0.5845
Juniata College,,22597.0,8257.0,0.7089,0.6381,,,,,,20.0,138.0,,,,,1000.0,2.0,47975.5,0.5845
Keystone College,,25895.0,5721.0,0.2568,0.8358,,,,,,76.0,96.0,,,,,200.0,5.0,47975.5,0.5845
CUNY Kingsborough Community College,5092.0,,9899.0,0.4085,0.0458,,,,,,,5507.0,,,,,1364.0,,36066.0,0.5845
Butler Beauty Academy-Kittanning Beauty Academy,,9908.0,,,0.1481,,,,,,,,15700.0,15.0,,,,,27754.0,0.5845
Kutztown University of Pennsylvania,22422.0,,9543.0,0.8626,0.7199,,,,,,995.0,342.0,,,,,1440.0,1.0,47975.5,0.5845
Rochester University,,17029.0,6043.0,0.5738,0.6143,,,,,,43.0,199.0,,,,,1776.0,1.0,47975.5,0.5845
La Salle University,,24763.0,9630.0,0.4185,0.6511,,,,,,1268.0,113.0,,,,,1000.0,2.0,47975.5,0.5845
Lackawanna College,,18120.0,3462.0,1.0,0.7923,,,,,,,159.0,,,,,1500.0,,36066.0,0.5845
