School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
The Salon Professional Academy-Lewisville,0.5593,0.178,0.1695,0.0424,0.0,0.0,0.0424,0.0,0.0085,0.0339,0.9661,,,,,,1,3
Renaissance Academie,0.7619,0.0,0.1048,0.0286,0.0095,0.0095,0.0762,0.0,0.0095,0.0286,0.9714,,,,,,1,3
Antioch College AG,0.2,0.6667,0.0,0.0667,0.0,0.0333,0.0333,0.0,0.0,0.4,0.6,,,,,,3,2
Institute of Advanced Medical Esthetics,0.8333,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,3
Gary Manuel Aveda Institute,0.5542,0.0482,0.1205,0.0602,0.0241,0.012,0.1325,0.0,0.0482,0.0964,0.9036,,,,,,1,3
Northwest School of Wooden Boat Building,0.9231,0.0,0.0,0.0256,0.0256,0.0,0.0,0.0,0.0256,0.8205,0.1795,,,,,,2,2
The Salon Professional Academy-Onalaska,0.8088,0.0441,0.0735,0.0441,0.0,0.0,0.0294,0.0,0.0,0.1029,0.8971,,,,,,1,3
West Coast University-Orange County,0.2091,0.0425,0.2527,0.3883,0.0032,0.0286,0.07,0.0,0.0057,0.2202,0.7798,,,,,,4,3
West Coast University-Ontario,0.2464,0.0573,0.2643,0.2532,0.0068,0.0355,0.0894,0.0,0.0471,0.2298,0.7702,,,,,,3,3
Midwest Technical Institute-East Peoria,0.5956,0.3077,0.044,0.0066,0.0044,0.0,0.0198,0.0022,0.0198,0.4593,0.5407,,,,,,1,3
Paul Mitchell the School-Chicago,0.3229,0.3632,0.2915,0.0045,0.0,0.0,0.009,0.0,0.009,0.0717,0.9283,,,,,,1,3
Platt College-Miller-Motte-Fayetteville,0.1613,0.6498,0.0507,0.0046,0.0346,0.0092,0.0714,0.0,0.0184,0.2949,0.7051,,,,,,2,3
European Massage Therapy School-Las Vegas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,3
Platt College-Miller-Motte Technical-Columbus,0.0939,0.8309,0.0251,0.0042,0.0021,0.0063,0.0292,0.0,0.0084,0.1608,0.8392,,,,,,2,3
The Art Institute of Virginia Beach,0.3416,0.4897,0.0823,0.0206,0.0165,0.0123,0.0,0.0,0.037,0.4938,0.5062,,,,,,3,3
Fortis College-Indianapolis,0.223,0.6432,0.0563,0.0235,0.0,0.0,0.0469,0.0,0.007,0.1268,0.8732,,,,,,2,3
Empire Beauty School-E Memphis,0.0229,0.771,0.0,0.0076,0.0,0.0,0.0,0.0,0.1985,0.0305,0.9695,,,,,,1,3
Empire Beauty School-Nashville,0.2879,0.5606,0.0758,0.0152,0.0,0.0152,0.0152,0.0,0.0303,0.0758,0.9242,,,,,,1,3
Empire Beauty School-Jackson,0.0652,0.9348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.913,,,,,,1,3
Empire Beauty School-Springfield,0.131,0.731,0.0276,0.0138,0.0,0.0069,0.0621,0.0,0.0276,0.0207,0.9793,,,,,,1,3
Empire Beauty School-Speedway,0.0199,0.5629,0.0265,0.0,0.0,0.0,0.0132,0.0,0.3775,0.0464,0.9536,,,,,,1,3
Empire Beauty School-Morrow,0.0092,0.7926,0.0184,0.0046,0.0,0.0,0.0046,0.0,0.1705,0.0461,0.9539,,,,,,1,3
Strayer University-Arkansas,0.2457,0.6824,0.0199,0.0,0.0,0.0,0.0397,0.0,0.0124,0.1737,0.8263,,,,,,4,3
Strayer University-Georgia,0.1114,0.7983,0.0287,0.0025,0.0038,0.0026,0.0337,0.0008,0.0182,0.1972,0.8028,,,,,,4,3
Strayer University-Mississippi,0.0481,0.9162,0.0,0.0,0.0036,0.0,0.016,0.0,0.016,0.1497,0.8503,,,,,,4,3
Strayer University-South Carolina,0.2009,0.7202,0.0244,0.0026,0.0049,0.0015,0.0267,0.0015,0.0173,0.1746,0.8254,,,,,,4,3
Strayer University-Texas,0.1774,0.6069,0.1481,0.0086,0.0039,0.0039,0.0297,0.0036,0.0179,0.2285,0.7715,,,,,,4,3
The Art Institute of San Antonio,0.2647,0.1681,0.5084,0.0063,0.0063,0.0063,0.0,0.0147,0.0252,0.4769,0.5231,,,,,,3,3
