School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
Fortis Institute-Scranton,0.6406,0.089,0.1388,0.0534,0.0,0.0036,0.0391,0.0,0.0356,0.0783,0.9217,,,,,,2,3
Milan Institute of Cosmetology,0.3023,0.2093,0.3953,0.0465,0.0,0.0,0.0233,0.0,0.0233,0.1395,0.8605,,,,,,1,3
Everglades University,0.4502,0.1884,0.2231,0.0137,0.012,0.0011,0.0165,0.0,0.095,0.5487,0.4513,,,,,,4,2
Seminar L'moros Bais Yaakov,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2,2
Herzing University-Orlando,0.2911,0.3734,0.2352,0.0411,0.0066,0.0033,0.0164,0.0,0.0329,0.1595,0.8405,,,,,,4,2
Cortiva Institute-Pompano,0.1714,0.3714,0.3286,0.0714,0.0143,0.0,0.0429,0.0,0.0,0.2429,0.7571,,,,,,1,3
College of Biblical Studies-Houston,0.1739,0.4674,0.2435,0.0848,0.0022,0.0022,0.0217,0.0,0.0043,0.5674,0.4326,,,,,,3,2
Mid-EastCTC-Adult Education,0.912,0.0463,0.0093,0.0,0.0,0.0046,0.0278,0.0,0.0,0.3519,0.6481,,,,,,1,1
Polaris Career Center,0.6866,0.0945,0.0995,0.0149,0.0,0.0,0.0398,0.0,0.0647,0.5274,0.4726,,,,,,1,1
Sharps Academy of Hair Styling,0.8636,0.0909,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,3
The College of Health Care Professions-Northwest,0.1425,0.3219,0.4662,0.0131,0.0048,0.0071,0.0261,0.0,0.0184,0.076,0.924,,,,,,3,3
School of Professional Horticulture New York Botanical Garden,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,,,,,,1,2
Fortis College,0.2926,0.5922,0.0207,0.0115,0.0069,0.0,0.0438,0.0,0.0323,0.2166,0.7834,,,,,,1,3
Alhambra Beauty College,0.031,0.0233,0.3333,0.5581,0.0078,0.0,0.0155,0.031,0.0,0.1318,0.8682,,,,,,1,3
UEI College-Gardena,0.0084,0.1343,0.2949,0.0115,0.001,0.0168,0.4963,0.0,0.0367,0.4313,0.5687,,,,,,1,3
Asian-American International Beauty College,0.002,0.0,0.002,0.996,0.0,0.0,0.0,0.0,0.0,0.1717,0.8283,,,,,,1,3
Copper Mountain Community College,0.4302,0.0567,0.3742,0.0276,0.0043,0.0078,0.0666,0.0,0.0326,0.3395,0.6605,,,,,,2,1
Diversified Vocational College,0.1897,0.3552,0.3776,0.019,0.0034,0.0034,0.0259,0.0,0.0259,0.5017,0.4983,,,,,,1,3
