School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,first_gen,mhi,ms_degree,hs_degree,post_hs_ed,highest_degree,ownership
Ramapo College of New Jersey,0.6009,0.0578,0.1962,0.0828,0.0059,0.0004,0.0015,0.0172,0.0372,0.4423,0.5577,,,,,,4,1
Robert Fiance Beauty Schools-West New York,0.3579,0.1033,0.4945,0.0332,0.0037,0.0,0.0,0.0037,0.0037,0.1365,0.8635,,,,,,1,3
Rider University,0.5601,0.1383,0.1697,0.0539,0.0022,0.0005,0.0371,0.0273,0.0108,0.4375,0.5625,,,,,,4,2
Rutgers University-Camden,0.4415,0.1806,0.1749,0.1072,0.002,0.0023,0.0425,0.027,0.022,0.3759,0.6241,,,,,,4,1
Rutgers University-New Brunswick,0.3605,0.0635,0.1292,0.2895,0.0004,0.0021,0.037,0.0987,0.019,0.5015,0.4985,,,,,,4,1
Rutgers University-Newark,0.2048,0.1867,0.2889,0.169,0.0008,0.0028,0.0289,0.0892,0.029,0.4326,0.5674,,,,,,4,1
St Francis Medical Center-School of Radiologic Technology,0.8235,0.0588,0.0588,0.0,0.0,0.0,0.0,0.0,0.0588,0.1176,0.8824,,,,,,1,2
Saint Francis Medical Center School of Nursing,0.4719,0.3146,0.1348,0.0674,0.0,0.0112,0.0,0.0,0.0,0.1798,0.8202,,,,,,1,2
Saint Peter's University,0.1347,0.1986,0.4896,0.0833,0.0022,0.0052,0.0117,0.0233,0.0514,0.3795,0.6205,,,,,,4,2
Salem Community College,0.5387,0.2124,0.1021,0.0164,0.007,0.0047,0.0211,0.0035,0.0939,0.3556,0.6444,,,,,,2,1
Seton Hall University,0.5034,0.0765,0.1785,0.1051,0.0012,0.0008,0.0431,0.0371,0.0543,0.4729,0.5271,,,,,,4,2
Saint Elizabeth School of Nursing,0.8601,0.021,0.0699,0.0,0.014,0.0,0.035,0.0,0.0,0.0559,0.9441,,,,,,1,2
Raritan Valley Community College,0.4583,0.1263,0.2382,0.0622,0.0022,0.0037,0.0238,0.0224,0.0629,0.5173,0.4827,,,,,,2,1
Stevens Institute of Technology,0.6163,0.0236,0.1181,0.1719,0.0008,0.0,0.0,0.0272,0.042,0.7056,0.2944,,,,,,4,2
Stockton University,0.6459,0.0863,0.1481,0.0674,0.0021,0.0014,0.0321,0.0062,0.0105,0.4087,0.5913,,,,,,4,1
Talmudical Academy-New Jersey,0.9333,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,1.0,0.0,,,,,,3,2
Teterboro School of Aeronautics,0.0,0.0165,0.0165,0.0,0.0,0.0,0.0055,0.0,0.9615,0.9835,0.0165,,,,,,1,3
Thomas Edison State University,0.5032,0.1349,0.1218,0.0447,0.0043,0.0057,0.0266,0.0082,0.1505,0.5931,0.4069,,,,,,4,1
The College of New Jersey,0.6181,0.0563,0.147,0.1159,0.0012,0.0012,0.0132,0.0056,0.0415,0.4246,0.5754,,,,,,4,1
Union County College,0.1625,0.2921,0.4021,0.0395,0.0029,0.0038,0.0193,0.0134,0.0646,0.3772,0.6228,,,,,,2,1
William Paterson University of New Jersey,0.3585,0.1922,0.3307,0.071,0.0015,0.0006,0.0297,0.0054,0.0103,0.4454,0.5546,,,,,,4,1
Olympian Academy of Cosmetology,0.204,0.2349,0.4067,0.0188,0.0067,0.0,0.0054,0.0,0.1235,0.1396,0.8604,,,,,,1,3
Central New Mexico Community College,0.26,0.0276,0.5409,0.0228,0.0645,0.0025,0.0258,0.0023,0.0536,0.3964,0.6036,,,,,,2,1
Navajo Technical University,0.0008,0.0051,0.0025,0.0,0.9864,0.0,0.0025,0.0025,0.0,0.3902,0.6098,,,,,,3,1
New Mexico State University-Dona Ana,0.1435,0.0159,0.7609,0.0046,0.0115,0.0007,0.0117,0.0355,0.0157,0.4126,0.5874,,,,,,2,1
Clovis Community College,0.3819,0.0535,0.4771,0.0094,0.0053,0.0041,0.0264,0.0,0.0423,0.2521,0.7479,,,,,,2,1
Eastern New Mexico University-Main Campus,0.3952,0.0577,0.4286,0.0094,0.0213,0.0076,0.0279,0.0234,0.0289,0.4001,0.5999,,,,,,4,1
Eastern New Mexico University-Roswell Campus,0.3547,0.0308,0.5466,0.0158,0.0182,0.0,0.0118,0.0,0.0221,0.3768,0.6232,,,,,,2,1
Institute of American Indian and Alaska Native Culture and Arts Development,0.1183,0.0028,0.0873,0.0056,0.7014,0.0,0.0648,0.0,0.0197,0.4113,0.5887,,,,,,4,1
New Mexico Highlands University,0.1871,0.0624,0.573,0.0042,0.098,0.003,0.022,0.035,0.0154,0.3682,0.6318,,,,,,4,1
New Mexico Junior College,0.2943,0.1057,0.5279,0.009,0.0102,0.0012,0.0126,0.0024,0.0366,0.3477,0.6523,,,,,,2,1
New Mexico Military Institute,0.2872,0.1358,0.282,0.0235,0.0366,0.0522,0.0444,0.1279,0.0104,0.7963,0.2037,,,,,,2,1
