School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
State Fair Community College,4349.0,,4966.0,0.2924,0.1632,,,,,,,1127.0,,,,,1200.0,,36066.0,0.5845
Stephens College,,22337.0,6464.0,0.6212,0.8789,,,,,,172.0,,,,,,2200.0,1.0,47975.5,0.5845
Southeast Missouri State University,12774.0,,7122.0,1.0,0.4188,,,,,,1113.0,1524.0,,,,,631.0,2.0,47975.5,0.5845
Missouri State University-Springfield,16725.0,,7694.0,0.6876,0.4381,,,,,,3652.0,3933.0,,,,,1288.0,1.0,47975.5,0.5845
Three Rivers Community College,7307.0,,7851.0,0.2518,0.0473,,,,,,,347.0,,,,,1200.0,,36066.0,0.5845
North Central Missouri College,8870.0,,5315.0,1.0,0.2147,,,,,,,593.0,,,,,918.0,,36066.0,0.5845
Kansas City University of Medicine and Biosciences,,,7041.0,0.4667,,,,,,,1266.0,,,,,,,,,0.5845
Washington University in St Louis,,26869.0,15234.0,0.681,0.1677,,,,,,8369.0,418.0,,,,,1126.0,1.0,47975.5,0.5845
Webster University,,22768.0,8823.0,1.0,0.518,,,,,,7028.0,86.0,,,,,1000.0,1.0,47975.5,0.5845
Westminster College,,20674.0,8091.0,1.0,0.4416,,,,,,475.0,24.0,,,,,1000.0,1.0,47975.5,0.5845
William Jewell College,,27316.0,6917.0,0.5785,0.6812,,,,,,5.0,,,,,,800.0,1.0,47975.5,0.5845
William Woods University,,24593.0,4510.0,0.2351,0.5583,,,,,,1280.0,44.0,,,,,1300.0,1.0,47975.5,0.5845
Guy's Shreveport Academy of Cosmetology Inc,,15306.0,,,0.5086,,,,,,,,16989.0,11.0,,,,,27754.0,0.5845
Blackfeet Community College,,9462.0,1959.0,0.8942,0.0,,,,,,,,,,,,1300.0,,36066.0,0.5845
Butte Academy of Beauty Culture,,9581.0,,,0.4889,,,,,,,,12005.0,10.0,,,,,27754.0,0.5845
Highlands College of Montana Tech,10284.0,,8281.0,0.7879,0.2598,,,,,,,331.0,,,,,1350.0,,36066.0,0.5845
Crevier's Academy of Cosmetology Arts,,10062.0,,,0.6718,,,,,,,,16275.0,13.0,,,,,27754.0,0.5845
Carroll College,,23726.0,6593.0,0.6484,0.5041,,,,,,15.0,51.0,,,,,1250.0,5.0,47975.5,0.5845
Dawson Community College,9159.0,,5445.0,0.3143,0.4019,,,,,,,173.0,,,,,1200.0,,36066.0,0.5845
Chief Dull Knife College,4496.0,,6675.0,1.0,0.0,,,,,,,31.0,,,,,1000.0,,36066.0,0.5845
Montana State University Billings,13844.0,,6586.0,0.5356,0.413,,,,,,385.0,820.0,,,,,1550.0,,47975.5,0.5845
Flathead Valley Community College,9554.0,,5645.0,1.0,0.148,,,,,,,1030.0,,,,,1000.0,,36066.0,0.5845
Aaniiih Nakoda College,7402.0,,4667.0,0.8125,0.0,,,,,,,,,,,,1300.0,,36066.0,0.5845
Fort Peck Community College,628.0,,5430.0,0.5714,0.0,,,,,,,77.0,,,,,700.0,,36066.0,0.5845
Great Falls College Montana State University,9071.0,,5933.0,0.3786,0.3904,,,,,,,348.0,,,,,1400.0,,36066.0,0.5845
University of Providence,,22096.0,5924.0,0.6437,0.3881,,,,,,213.0,,,,,,1000.0,5.0,47975.5,0.5845
Helena College University of Montana,12245.0,,5289.0,0.2692,0.2724,,,,,,,633.0,,,,,1350.0,,36066.0,0.5845
Little Big Horn College,7515.0,,4156.0,0.8913,0.0,,,,,,,,,,,,600.0,,36066.0,0.5845
Miles Community College,7956.0,,5461.0,1.0,0.5584,,,,,,,126.0,,,,,1100.0,,36066.0,0.5845
Montana Technological University,15023.0,,7737.0,0.7656,0.3997,,,,,,221.0,9.0,,,,,1350.0,1.0,47975.5,0.5845
Montana State University Billings,13844.0,,6586.0,0.5356,0.413,,,,,,385.0,820.0,,,,,1550.0,,47975.5,0.5845
The University of Montana,15246.0,,8003.0,0.6883,0.4953,,,,,,2773.0,199.0,,,,,1100.0,1.0,47975.5,0.5845
Montana State University-Northern,13174.0,,5544.0,1.0,0.5141,,,,,,51.0,100.0,,,,,1400.0,,47975.5,0.5845
Rocky Mountain College of Art and Design,,25334.0,4578.0,0.2321,0.6528,,,,,,,5.0,,,,,1600.0,,47975.5,0.5845
Salish Kootenai College,6113.0,,5515.0,0.6699,0.275,,,,,,,61.0,,,,,1500.0,,36066.0,0.5845
The University of Montana-Western,13929.0,,6685.0,0.7158,0.4403,,,,,,,102.0,,,,,700.0,1.0,36066.0,0.5845
Bellevue University,,15616.0,5980.0,0.1881,0.3671,,,,,,3433.0,,,,,,1350.0,,47975.5,0.5845
Clarkson College,,20123.0,6453.0,0.8026,0.6631,,,,,,513.0,2.0,,,,,790.0,1.0,47975.5,0.5845
Bryan College of Health Sciences,,26122.0,7669.0,0.519,0.649,,,,,,116.0,69.0,,,,,1200.0,1.0,47975.5,0.5845
North Central Texas College,5307.0,,6041.0,1.0,0.1857,,,,,,,2835.0,,,,,1680.0,,36066.0,0.5845
Chadron State College,14268.0,,7466.0,1.0,0.4896,,,,,,484.0,229.0,,,,,1800.0,,47975.5,0.5845
College of Hair Design-Downtown,,14025.0,,,0.557,,,,,,,,20960.0,13.0,,,,,27754.0,0.5845
Concordia University-Nebraska,,20763.0,5230.0,0.9333,0.4662,,,,,,477.0,1012.0,,,,,1000.0,1.0,47975.5,0.5845
Creighton University,,31400.0,9845.0,0.6465,0.4771,,,,,,4349.0,41.0,,,,,1200.0,5.0,47975.5,0.5845
Doane University,,26507.0,6688.0,0.3445,0.7746,,,,,,1071.0,5.0,,,,,1000.0,3.0,47975.5,0.5845
Hastings College,,21670.0,6428.0,1.0,0.6527,,,,,,31.0,3.0,,,,,76.0,5.0,47975.5,0.5845
CHI Health School of Radiologic Technology,,,6500.0,,0.6667,,,,,,,,,,,,,,36066.0,0.5845
Joseph's College Cosmetology,,9445.0,,,0.6227,,,,,,,,19300.0,13.0,,,,,27754.0,0.5845
University of Nebraska at Kearney,16017.0,,7716.0,0.7267,0.4367,,,,,,1850.0,142.0,,,,,952.0,1.0,47975.5,0.5845
Metropolitan Community College Area,4295.0,,7458.0,0.2117,0.1174,,,,,,,6760.0,,,,,1350.0,,36066.0,0.5845
Mid-Plains Community College,6533.0,,6962.0,0.2716,0.1715,,,,,,,1033.0,,,,,1600.0,,36066.0,0.5845
Midland University,,21128.0,6228.0,1.0,0.5747,,,,,,146.0,522.0,,,,,1020.0,1.0,47975.5,0.5845
Nebraska Christian College of Hope International University,,21372.0,3653.0,0.3158,0.6642,,,,,,,1.0,,,,,1050.0,1.0,47975.5,0.5845
University of Nebraska at Omaha,14040.0,,8341.0,0.5064,0.3776,,,,,,2908.0,182.0,,,,,1162.0,1.0,47975.5,0.5845
Nebraska Indian Community College,12866.0,,3343.0,0.3529,0.0,,,,,,,118.0,,,,,,,36066.0,0.5845
University of Nebraska Medical Center,,,9333.0,0.8351,0.6145,,,,,,3137.0,21.0,,,,,,,47975.5,0.5845
Nebraska Wesleyan University,,23847.0,6759.0,0.4749,0.6623,,,,,,202.0,17.0,,,,,1000.0,1.0,47975.5,0.5845
University of Nebraska-Lincoln,17208.0,,11030.0,0.8397,0.3867,,,,,,4912.0,226.0,,,,,1044.0,1.0,47975.5,0.5845
Northeast Alabama Community College,3314.0,,6627.0,0.3224,0.0985,,,,,,,1006.0,,,,,2400.0,,27754.0,0.5845
Peru State College,14058.0,,7097.0,1.0,0.4455,,,,,,240.0,557.0,,,,,1200.0,,47975.5,0.5845
Summit Christian College,,6029.0,3512.0,,0.0,,,,,,,4.0,,,,,300.0,1.0,47975.5,0.5845
Saint Mary-of-the-Woods College,,15669.0,5627.0,0.2902,0.7165,,,,,,327.0,12.0,,,,,1600.0,5.0,47975.5,0.5845
Southeast Community College Area,9059.0,,6505.0,0.5339,0.4566,,,,,,,3365.0,,,,,1460.0,,36066.0,0.5845
Pacific Union College,,21835.0,6351.0,0.9205,0.7817,,,,,,3.0,17.0,,,,,1971.0,1.0,47975.5,0.5845
Nebraska College of Technical Agriculture,13108.0,,7483.0,0.6957,0.3612,,,,,,,92.0,,,,,728.0,,36066.0,0.5845
Wayne State College,13765.0,,7488.0,0.5279,0.5089,,,,,,742.0,319.0,,,,,1200.0,,47975.5,0.5845
Western Nebraska Community College,5339.0,,7032.0,1.0,0.1381,,,,,,,646.0,,,,,1500.0,,36066.0,0.5845
New York College of Podiatric Medicine,,,7095.0,1.0,,,,,,,330.0,,,,,,,,,0.5845
Academy of Hair Design-Las Vegas,,16692.0,,,0.6769,,,,,,,,22735.0,12.0,,,,,27754.0,0.5845
Career College of Northern Nevada,,20022.0,2278.0,0.7273,0.6888,,,,,,,,26925.0,17.0,,,,3.0,36066.0,0.5845
Roseman University of Health Sciences,,,10316.0,0.5544,0.5716,,,,,,1043.0,,,,,,,,47975.5,0.5845
Carrington College-Las Vegas,,22984.0,5473.0,0.5,0.5268,,,,,,,,44980.0,24.0,,,,,27754.0,0.5845
University of Nevada-Las Vegas,11424.0,,10856.0,0.9822,0.3315,,,,,,5344.0,591.0,,,,,1250.0,1.0,47975.5,0.5845
University of Nevada-Reno,15081.0,,10418.0,0.9828,0.3566,,,,,,3696.0,380.0,,,,,1300.0,1.0,47975.5,0.5845
Great Basin College,7437.0,,8043.0,0.3174,0.0635,,,,,,,1530.0,,,,,1670.0,,27754.0,0.5845
Sierra Nevada University,,28144.0,5263.0,0.2357,0.7406,,,,,,384.0,21.0,,,,,1600.0,1.0,47975.5,0.5845
Truckee Meadows Community College,9348.0,,8434.0,0.9908,0.0436,,,,,,,3826.0,,,,,1286.0,,36066.0,0.5845
Western Nevada College,10819.0,,7972.0,1.0,0.0463,,,,,,,1323.0,,,,,1400.0,,36066.0,0.5845
Colby-Sawyer College,,26983.0,7230.0,1.0,0.7183,,,,,,4.0,14.0,,,,,2000.0,3.0,47975.5,0.5845
Dartmouth College,,33574.0,15758.0,0.8,0.2391,,,,,,2147.0,94.0,,,,,1100.0,1.0,47975.5,0.5845
Empire Beauty School-Laconia,,12372.0,,,0.4766,,,,,,,,20795.0,12.0,,,,,27754.0,0.5845
Empire Beauty School-Somersworth,,8709.0,,,0.5348,,,,,,,,20795.0,12.0,,,,,27754.0,0.5845
Franklin Pierce University,,27617.0,7325.0,0.2773,0.8029,,,,,,514.0,5.0,,,,,1300.0,3.0,47975.5,0.5845
University of New Hampshire-Franklin Pierce School of Law,,,13402.0,0.3676,,,,,,,337.0,,,,,,,,,0.5845
Keene Beauty Academy,,13953.0,,,0.7167,,,,,,,,19900.0,13.0,,,,,27754.0,0.5845
Magdalen College,,10385.0,5896.0,0.5333,0.6024,,,,,,,1.0,,,,,700.0,2.0,47975.5,0.5845
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,,16788.0,,,0.6325,,,,,,,,20340.0,12.0,,,,,27754.0,0.5845
New England College of Optometry,,,9857.0,0.746,,,,,,,538.0,,,,,,,,,0.5845
New England School of Hair Design,,15286.0,,,0.4878,,,,,,,,20411.0,14.0,,,,,27754.0,0.5845
Southern New Hampshire University,,41095.0,8440.0,1.0,0.6789,,,,,,20612.0,2706.0,,,,,1200.0,3.0,47975.5,0.5845
New Hampshire Institute for Therapeutic Arts,,16666.0,,,0.3214,,,,,,,,12150.0,12.0,,,,,27754.0,0.5845
University of New Hampshire-Main Campus,24067.0,,11153.0,0.7641,0.6293,,,,,,2550.0,137.0,,,,,1000.0,5.0,47975.5,0.5845
Keene State College,19394.0,,9651.0,0.4886,0.7043,,,,,,124.0,64.0,,,,,900.0,5.0,47975.5,0.5845
University of New Hampshire at Manchester,13649.0,,9815.0,0.3964,0.5062,,,,,,30.0,15.0,,,,,1000.0,5.0,47975.5,0.5845
Plymouth State University,19316.0,,8694.0,0.4758,0.7357,,,,,,846.0,23.0,,,,,1310.0,3.0,47975.5,0.5845
NHTI-Concord's Community College,19717.0,,7195.0,0.1973,0.4666,,,,,,,399.0,,,,,1400.0,,36066.0,0.5845
White Mountains Community College,16023.0,,6127.0,0.187,0.5293,,,,,,,96.0,,,,,1400.0,,27754.0,0.5845
River Valley Community College,18981.0,,6343.0,0.1757,0.4178,,,,,,,100.0,,,,,1600.0,,36066.0,0.5845
Lakes Region Community College,19137.0,,6698.0,0.184,0.5,,,,,,,120.0,,,,,1400.0,,36066.0,0.5845
Manchester Community College,14731.0,,6807.0,0.2094,0.4358,,,,,,,496.0,,,,,1750.0,,36066.0,0.5845
Nashua Community College,14278.0,,6737.0,0.155,0.3264,,,,,,,236.0,,,,,1400.0,,36066.0,0.5845
Great Bay Community College,16847.0,,6413.0,0.1784,0.3609,,,,,,,204.0,,,,,1400.0,,36066.0,0.5845
Paul Mitchell the School-Portsmouth,,12379.0,,,0.64,,,,,,,,19995.0,12.0,,,,,27754.0,0.5845
Rivier University,,25196.0,7537.0,0.1981,0.6886,,,,,,894.0,89.0,,,,,1200.0,2.0,47975.5,0.5845
Saint Anselm College,,32781.0,8943.0,0.7294,0.6877,,,,,,,3.0,,,,,1000.0,5.0,47975.5,0.5845
Joseph F McCloskey School of Nursing,,,,,0.9538,,,,,,,,,,,,,,27754.0,0.5845
Granite State College,12507.0,,5368.0,0.0947,0.5251,,,,,,276.0,102.0,,,,,900.0,,47975.5,0.5845
Thomas More College of Liberal Arts,,17143.0,5063.0,0.5,0.6444,,,,,,,,,,,,700.0,5.0,47975.5,0.5845
Eastwick College-Hackensack,,31433.0,3591.0,0.2353,0.8963,,,,,,,1.0,,,,,1104.0,,27754.0,0.5845
Assumption College for Sisters,,,,,0.0,,,,,,,14.0,,,,,130.0,,36066.0,0.5845
Atlantic Cape Community College,9477.0,,7028.0,1.0,0.1355,,,,,,,260.0,,,,,1900.0,,36066.0,0.5845
Fortis Institute-Wayne,,18826.0,,,0.6888,,,,,,,,20512.0,10.0,,,,,27754.0,0.5845
Bergen Community College,9195.0,,8143.0,0.2658,0.178,,,,,,,1179.0,,,,,1400.0,,36066.0,0.5845
Berkeley College-Woodland Park,,15483.0,7111.0,1.0,0.7751,,,,,,176.0,8.0,,,,,0.0,,47975.5,0.5845
Beth Medrash Govoha,,,7322.0,0.1231,0.0,,,,,,4046.0,,,,,,,,47975.5,0.5845
Bloomfield College,,17922.0,8770.0,1.0,0.9248,,,,,,16.0,3.0,,,,,1339.0,5.0,47975.5,0.5845
Brookdale Community College,9156.0,,8173.0,1.0,0.1009,,,,,,,1860.0,,,,,2000.0,,36066.0,0.5845
Rowan College at Burlington County,7618.0,,5128.0,1.0,0.1039,,,,,,,650.0,,,,,1200.0,,36066.0,0.5845
Caldwell University,,15601.0,8161.0,1.0,0.5348,,,,,,497.0,21.0,,,,,2600.0,1.0,47975.5,0.5845
Camden County College,6603.0,,7797.0,1.0,0.1242,,,,,,,1552.0,,,,,1800.0,,36066.0,0.5845
Centenary University,,20474.0,7595.0,1.0,0.6613,,,,,,488.0,10.0,,,,,900.0,1.0,47975.5,0.5845
Adult and Continuing Education-BCTS,14681.0,,,,0.4422,,,,,,,,9263.0,8.0,,,,,27754.0,0.5845
Lincoln Technical Institute-Iselin,,23931.0,,,0.8377,,,,,,,,29132.0,13.0,,,,,27754.0,0.5845
American Institute-Clifton,,15754.0,,,0.7144,,,,,,,,18495.0,11.0,,,,,27754.0,0.5845
County College of Morris,9173.0,,7243.0,0.3481,0.1572,,,,,,,853.0,,,,,1400.0,,36066.0,0.5845
Cumberland County College,7800.0,,6669.0,1.0,0.1162,,,,,,,440.0,,,,,1920.0,,36066.0,0.5845
Charles R Drew University of Medicine and Science,,16171.0,8456.0,0.2727,0.681,,,,,,550.0,15.0,,,,,1972.0,5.0,36066.0,0.5845
Lincoln Technical Institute-South Plainfield,,20338.0,,,0.7047,,,,,,,,34405.0,14.0,,,,,27754.0,0.5845
Community College of Baltimore County,8242.0,,7888.0,0.2811,0.1814,,,,,,,1910.0,,,,,1430.0,,36066.0,0.5845
Empire Beauty School-Union,,16643.0,,,0.5909,,,,,,,,19070.0,9.0,,,,,27754.0,0.5845
Fairleigh Dickinson University-Metropolitan Campus,,15147.0,9510.0,0.2651,0.3266,,,,,,1853.0,3308.0,,,,,1230.0,3.0,47975.5,0.5845
Felician University,,16877.0,7166.0,0.3718,0.7124,,,,,,410.0,34.0,,,,,1300.0,1.0,47975.5,0.5845
Fairleigh Dickinson University-Florham Campus,,22809.0,9516.0,0.3808,0.6718,,,,,,746.0,16.0,,,,,1230.0,3.0,47975.5,0.5845
Hohokus School of Trade and Technical Sciences,,11307.0,,,0.8089,,,,,,,,13520.0,6.0,,,,,27754.0,0.5845
Georgian Court University,,18121.0,8486.0,0.3322,0.6192,,,,,,618.0,243.0,,,,,1350.0,1.0,47975.5,0.5845
Rowan University,25454.0,,8769.0,0.4874,0.5591,,,,,,3607.0,260.0,,,,,1850.0,1.0,47975.5,0.5845
Rowan College of South Jersey Gloucester Campus,7913.0,,7081.0,1.0,0.2067,,,,,,,1172.0,,,,,2000.0,,36066.0,0.5845
Empire Beauty School-Cherry Hill,,17265.0,,,0.5462,,,,,,,,19070.0,9.0,,,,,27754.0,0.5845
Eastwick College-Ramsey,,25750.0,4326.0,0.2073,0.5351,,,,,,,1.0,,,,,1149.0,,36066.0,0.5845
Holy Name Medical Center-Sister Claire Tynan School of Nursing,,,,,0.6755,,,,,,,,,,,,1500.0,3.0,27754.0,0.5845
Hudson County Community College,7309.0,,6545.0,1.0,0.0805,,,,,,,768.0,,,,,1500.0,,36066.0,0.5845
New Jersey City University,14154.0,,10664.0,1.0,0.447,,,,,,1812.0,175.0,,,,,1200.0,1.0,47975.5,0.5845
Joe Kubert School of Cartoon and Graphic Art,,26869.0,,,0.686,,,,,,,,,,,,1175.0,3.0,27754.0,0.5845
Kean University,18604.0,,8514.0,0.2621,0.606,,,,,,2189.0,173.0,,,,,1000.0,1.0,47975.5,0.5845
Lincoln Technical Institute-Union,,20771.0,,,0.7446,,,,,,,,25987.0,13.0,,,,,27754.0,0.5845
Rizzieri Aveda School for Beauty and Wellness,,16499.0,,,0.4834,,,,,,,,21050.0,10.0,,,,,27754.0,0.5845
Mercer County Community College,9129.0,,8186.0,1.0,0.0729,,,,,,,1175.0,,,,,1420.0,,36066.0,0.5845
Middlesex County College,6649.0,,9692.0,1.0,0.0648,,,,,,,1049.0,,,,,1410.0,,36066.0,0.5845
Monmouth University -  Monmouth Park Corporate Center,,,,,,,,,,,,,,,,,,,,0.5845
Montclair State University,18034.0,,10269.0,0.3549,0.5433,,,,,,4320.0,210.0,,,,,1240.0,5.0,47975.5,0.5845
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,,26290.0,,,0.753,,,,,,,,,,,,789.0,2.0,27754.0,0.5845
Eastwick College-Nutley,,19475.0,4655.0,0.1731,0.8542,,,,,,,2.0,,,,,1122.0,,27754.0,0.5845
New Brunswick Theological Seminary,,,6411.0,0.8571,,,,,,,140.0,,,,,,,,,0.5845
Robert Fiance Beauty Schools-West New York,,17740.0,,,0.4333,,,,,,,,21025.0,10.0,,,,,27754.0,0.5845
New Jersey Institute of Technology,19706.0,,12676.0,0.5587,0.4311,,,,,,2724.0,668.0,,,,,2900.0,1.0,47975.5,0.5845
Ocean County College,12243.0,,6589.0,1.0,0.1563,,,,,,,1084.0,,,,,2838.0,,36066.0,0.5845
Professional Cosmetology Education Center,,5780.0,,,0.5741,,,,,,,,16150.0,13.0,,,,,27754.0,0.5845
Parisian Beauty School,,27430.0,,,0.5588,,,,,,,,21375.0,12.0,,,,,27754.0,0.5845
Passaic County Community College,8514.0,,8157.0,1.0,0.0519,,,,,,,516.0,,,,,1600.0,,36066.0,0.5845
Pennco Tech-Blackwood,,21801.0,,,0.6226,,,,,,,,19200.0,7.0,,,,,27754.0,0.5845
Princeton Theological Seminary,,,11914.0,0.88,,,,,,,364.0,,,,,,,,,0.5845
Princeton University,,11317.0,20724.0,0.835,0.0341,,,,,,2997.0,114.0,,,,,1050.0,1.0,47975.5,0.5845
Rabbinical College of America,,14725.0,5846.0,0.88,0.0,,,,,,6.0,,,,,,200.0,3.0,47975.5,0.5845
Ramapo College of New Jersey,21729.0,,10657.0,1.0,0.5593,,,,,,568.0,335.0,,,,,1593.0,1.0,47975.5,0.5845
Robert Fiance Beauty Schools-West New York,,17740.0,,,0.4333,,,,,,,,21025.0,10.0,,,,,27754.0,0.5845
Rider University,,27964.0,11018.0,0.4281,0.6622,,,,,,904.0,76.0,,,,,1500.0,5.0,47975.5,0.5845
Rutgers University-Camden,13660.0,,12084.0,0.4355,0.6416,,,,,,1494.0,113.0,,,,,1350.0,1.0,47975.5,0.5845
Rutgers University-New Brunswick,21654.0,,12339.0,0.5751,0.4717,,,,,,14015.0,398.0,,,,,1350.0,1.0,47975.5,0.5845
Rutgers University-Newark,14109.0,,14192.0,0.5782,0.46,,,,,,4286.0,282.0,,,,,1350.0,1.0,47975.5,0.5845
St Francis Medical Center-School of Radiologic Technology,,,,,0.2667,,,,,,,,,,,,,,27754.0,0.5845
Saint Francis Medical Center School of Nursing,,,,,0.0,,,,,,,,,,,,,,27754.0,0.5845
Saint Peter's University,,11957.0,8746.0,0.3258,0.4953,,,,,,810.0,107.0,,,,,1000.0,5.0,47975.5,0.5845
Salem Community College,9303.0,,6717.0,1.0,0.1453,,,,,,,144.0,,,,,2000.0,,36066.0,0.5845
Seton Hall University,,29845.0,10070.0,0.9356,0.5138,,,,,,4117.0,192.0,,,,,1000.0,1.0,47975.5,0.5845
Saint Elizabeth School of Nursing,,21932.0,,,0.7698,,,,,,,,,,,,882.0,1.0,27754.0,0.5845
Raritan Valley Community College,6917.0,,7804.0,1.0,0.0711,,,,,,,1325.0,,,,,2400.0,,36066.0,0.5845
Stevens Institute of Technology,,37588.0,15318.0,1.0,0.5981,,,,,,3624.0,18.0,,,,,1200.0,5.0,47975.5,0.5845
Stockton University,19678.0,,9488.0,0.5131,0.6391,,,,,,1041.0,20.0,,,,,1600.0,5.0,47975.5,0.5845
Talmudical Academy-New Jersey,,9548.0,2188.0,,0.0,,,,,,,,,,,,200.0,3.0,47975.5,0.5845
Teterboro School of Aeronautics,,16537.0,,,0.0548,,,,,,,,26200.0,19.0,,,,,27754.0,0.5845
Thomas Edison State University,,,,,0.2015,,,,,,683.0,290.0,,,,,1700.0,,47975.5,0.5845
The College of New Jersey,27541.0,,10512.0,0.458,0.519,,,,,,632.0,442.0,,,,,1200.0,1.0,47975.5,0.5845
Union County College,8245.0,,8910.0,0.1892,0.129,,,,,,,436.0,,,,,1416.0,,36066.0,0.5845
William Paterson University of New Jersey,19547.0,,11180.0,0.8761,0.6035,,,,,,1500.0,142.0,,,,,1600.0,3.0,47975.5,0.5845
Olympian Academy of Cosmetology,,18012.0,,,0.7224,,,,,,,,18490.0,14.0,,,,,27754.0,0.5845
Central New Mexico Community College,3429.0,,6251.0,0.3358,0.064,,,,,,,4976.0,,,,,1440.0,,27754.0,0.5845
Navajo Technical University,4962.0,,5616.0,1.0,0.0,,,,,,18.0,652.0,,,,,1600.0,,27754.0,0.5845
New Mexico State University-Dona Ana,5539.0,,6263.0,0.2643,0.2129,,,,,,,2647.0,,,,,1240.0,,36066.0,0.5845
Clovis Community College,4577.0,,5445.0,0.4706,0.0518,,,,,,,1200.0,,,,,1250.0,,27754.0,0.5845
Eastern New Mexico University-Main Campus,9516.0,,7128.0,0.7023,0.2647,,,,,,1220.0,1173.0,,,,,950.0,1.0,47975.5,0.5845
Eastern New Mexico University-Roswell Campus,5433.0,,5123.0,0.3333,0.0194,,,,,,,990.0,,,,,1548.0,,27754.0,0.5845
Institute of American Indian and Alaska Native Culture and Arts Development,12607.0,,6683.0,1.0,0.0,,,,,,48.0,202.0,,,,,2400.0,2.0,47975.5,0.5845
New Mexico Highlands University,9661.0,,6500.0,0.965,0.3078,,,,,,1037.0,66.0,,,,,1144.0,,47975.5,0.5845
New Mexico Junior College,7381.0,,6215.0,0.5504,0.049,,,,,,,662.0,,,,,1500.0,,36066.0,0.5845
New Mexico Military Institute,5985.0,,6644.0,1.0,0.1602,,,,,,,104.0,,,,,1100.0,5.0,36066.0,0.5845
University of New Mexico-Gallup Campus,6622.0,,6827.0,0.512,0.1029,,,,,,,849.0,,,,,1158.0,,36066.0,0.5845
New Mexico Institute of Mining and Technology,14595.0,,8699.0,0.6959,0.4802,,,,,,511.0,83.0,,,,,1150.0,1.0,47975.5,0.5845
University of New Mexico-Los Alamos Campus,11136.0,,5523.0,0.1143,0.0101,,,,,,,225.0,,,,,1159.0,,36066.0,0.5845
Eastern New Mexico University-Main Campus,9516.0,,7128.0,0.7023,0.2647,,,,,,1220.0,1173.0,,,,,950.0,1.0,47975.5,0.5845
New Mexico State University-Alamogordo,5693.0,,6865.0,0.3163,0.1907,,,,,,,882.0,,,,,1240.0,,36066.0,0.5845
New Mexico State University-Carlsbad,7715.0,,6285.0,0.5,0.0955,,,,,,,1362.0,,,,,1240.0,,36066.0,0.5845
New Mexico State University-Grants,5388.0,,5826.0,0.3111,0.1677,,,,,,,557.0,,,,,1240.0,,36066.0,0.5845
New Mexico State University-Main Campus,8659.0,,8969.0,0.7389,0.3714,,,,,,2621.0,522.0,,,,,1240.0,1.0,47975.5,0.5845
