School,avg_cost_public,avg_cost_private,faculy_salary,ft_faculty_rate,federal_loan_rate,student_count,students_with_any_loan,students_with_pell_grant,married,veteran,grad_students,undergrads_non_degree_seeking,full_program_cost,avg_month_completion,three_yrs_after_not_working_not_enrolled,three_yrs_after_working_not_enrolled,booksupply_cost,test_requirements,ten_yrs_after_entry_earnings,completion_rate
DeVry University-Illinois,,28551.0,8008.0,0.0479,0.762,,,,,,4032.0,198.0,,,,,400.0,2.0,47975.5,0.5845
Poplar Bluff Technical Career Center,14379.0,,,,0.5217,,,,,,,,8959.0,10.0,,,,,27754.0,0.5845
Ranken Technical College,,15933.0,5353.0,0.5976,0.6669,,,,,,,7.0,,,,,2500.0,,36066.0,0.5845
Research College of Nursing,,,7380.0,0.9737,0.4677,,,,,,161.0,,,,,,,,47975.5,0.5845
Rockhurst University,,21116.0,7279.0,0.5299,0.3748,,,,,,805.0,692.0,,,,,1530.0,1.0,47975.5,0.5845
Rolla Technical Institute/Center,10331.0,,,,0.6972,,,,,,,,13110.0,12.0,,,,3.0,27754.0,0.5845
Maryville University of Saint Louis,,29064.0,8655.0,0.1846,0.7863,,,,,,5559.0,103.0,,,,,,5.0,47975.5,0.5845
Salem College of Hairstyling,,5033.0,,,0.0,,,,,,,,10300.0,13.0,,,,,27754.0,0.5845
American College of Hair Design Inc,,7955.0,,,0.475,,,,,,,,13725.0,13.0,,,,,27754.0,0.5845
Saint Louis Christian College,,10591.0,3490.0,0.1667,0.5556,,,,,,,,,,,,100.0,1.0,47975.5,0.5845
University of Health Sciences and Pharmacy in St. Louis,,27282.0,8450.0,0.7385,0.849,,,,,,704.0,7.0,,,,,1200.0,1.0,47975.5,0.5845
Saint Louis Community College,6796.0,,7547.0,0.2758,0.0701,,,,,,,2467.0,,,,,1000.0,,36066.0,0.5845
Saint Paul School of Theology,,,6784.0,0.3214,,,,,,,101.0,,,,,,,,,0.5845
Southwest Baptist University,,17682.0,5697.0,0.4911,0.513,,,,,,693.0,520.0,,,,,1500.0,1.0,47975.5,0.5845
Missouri State University-West Plains,7739.0,,5919.0,1.0,0.1396,,,,,,,882.0,,,,,926.0,,36066.0,0.5845
St Louis College of Health Careers-St Louis,,25221.0,3067.0,0.6667,0.6095,,,,,,,,15984.0,9.0,,,,,27754.0,0.5845
