Age,Race,Sex,Total,None,1st - 4th grade,5th - 6th grade,7th - 8th grade,9th grade,10th grade,11th grade2,High school graduate,"Some college, no degree","Associate's degree, occupational","Associate's degree, academic",Bachelor's degree,Master's degree,Professional degree,Doctoral degree
60 to 64 years,Hispanic,Female,1216,19,36,122,44,43,20,55,361,150,42,86,164,60,7,6
65 to 69 years,Hispanic,Female,953,10,43,95,44,30,12,56,304,110,38,52,101,47,6,6
70 to 74 years,Hispanic,Female,802,22,46,86,61,33,19,37,217,79,21,29,98,45,4,6
75 years and over,Hispanic,Female,1060,41,97,119,57,42,31,61,344,95,18,34,86,25,6,4
18 to 24 years,Hispanic,Male,3476,3,3,24,34,58,77,490,1421,1017,64,116,165,2,2,0
25 to 29 years,Hispanic,Male,2592,17,18,49,14,64,39,147,1020,464,99,155,405,84,11,8
30 to 34 years,Hispanic,Male,2320,4,28,86,61,94,56,186,803,352,107,121,328,73,13,5
35 to 39 years,Hispanic,Male,2297,11,55,148,90,114,68,142,771,264,80,103,322,106,20,4
40 to 44 years,Hispanic,Male,2180,16,56,135,96,136,48,118,790,226,77,86,276,100,6,15
45 to 49 years,Hispanic,Male,1961,35,53,162,71,68,46,111,655,220,76,73,274,87,14,17
50 to 54 years,Hispanic,Male,1677,32,80,111,117,72,51,86,567,133,54,58,222,69,15,10
55 to 59 years,Hispanic,Male,1490,12,77,122,64,46,50,83,455,195,46,62,178,72,14,13
60 to 64 years,Hispanic,Male,1137,33,78,100,49,48,16,79,329,134,43,48,102,62,10,7
65 to 69 years,Hispanic,Male,789,17,45,91,49,30,14,31,200,75,23,38,121,33,8,15
70 to 74 years,Hispanic,Male,620,31,37,50,41,34,22,34,141,83,25,19,59,31,8,5
75 years and over,Hispanic,Male,780,15,61,101,45,31,25,31,222,62,16,22,85,40,14,10
18 to 24 years,White,Female,10428,21,7,25,76,102,160,1097,2866,3830,221,456,1434,128,2,1
25 to 29 years,White,Female,8011,3,5,23,70,69,44,158,1846,1290,372,642,2561,769,77,81
30 to 34 years,White,Female,8193,18,15,56,57,116,97,176,1621,1100,355,534,2654,1092,130,172
35 to 39 years,White,Female,7979,22,30,115,106,122,104,189,1561,1029,313,574,2333,1175,131,176
40 to 44 years,White,Female,7619,11,40,131,128,104,98,174,1582,977,354,554,2027,1096,165,179
45 to 49 years,White,Female,7363,16,35,120,90,101,75,137,1581,1013,379,551,1940,1029,124,171
50 to 54 years,White,Female,7944,37,36,108,91,129,65,177,1941,1154,342,562,1990,1054,109,148
55 to 59 years,White,Female,8517,24,74,116,111,106,87,194,2350,1190,468,653,2043,916,76,109
60 to 64 years,White,Female,8642,31,50,133,95,90,86,208,2558,1308,422,670,1907,849,77,159
65 to 69 years,White,Female,7763,11,50,96,85,65,79,152,2394,1278,396,572,1558,829,84,114
70 to 74 years,White,Female,6672,29,49,94,109,67,93,151,2070,1135,323,433,1133,791,74,121
75 years and over,White,Female,10832,49,114,168,255,138,201,372,4168,1634,407,520,1677,933,82,115
18 to 24 years,White,Male,10802,10,9,28,91,82,183,1291,3833,3433,254,403,1120,50,8,7
25 to 29 years,White,Male,8413,19,15,41,49,94,91,261,2701,1433,339,471,2408,375,73,42
30 to 34 years,White,Male,8430,5,33,88,98,107,97,284,2364,1281,390,478,2321,628,115,140
35 to 39 years,White,Male,8192,21,56,128,124,132,116,251,2202,1194,366,451,2034,768,155,195
40 to 44 years,White,Male,7723,11,58,136,121,144,94,239,2189,1044,363,418,1829,777,141,161
45 to 49 years,White,Male,7381,38,51,156,106,100,126,196,2147,1032,340,426,1640,723,126,174
50 to 54 years,White,Male,7897,27,69,120,160,123,103,188,2327,967,360,412,1981,748,133,178
55 to 59 years,White,Male,7945,18,84,111,119,99,148,234,2459,1182,455,436,1610,672,147,170
60 to 64 years,White,Male,8258,33,91,105,95,112,108,235,2647,1277,424,404,1666,764,129,169
65 to 69 years,White,Male,7126,26,57,96,86,52,88,170,1970,1218,324,394,1523,749,175,200
70 to 74 years,White,Male,5771,33,42,62,85,85,90,104,1421,978,281,298,1295,634,163,200
75 years and over,White,Male,8535,32,76,143,227,120,163,237,2514,1239,239,297,1670,976,276,327
